Rowid_,VALUE,COUNT,VALUE_1,CLASSNAME,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_GP,EVT_PHYS,EVT_GP_N,SAF_SRM,FOR_GRP_ID,FOR_GRP_N,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R,G,B,RED,GREEN,BLUE
,3164,2224940,3164,Rocky Mountain Wetland-Herbaceous,2164,He Rocky Mountain Wetland-Herbaceous,Herb,635,Riparian,Western Herbaceous Wetland,SRM 422: Riparian,,Perennial Grassland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,184,96,24,0.721569,0.376471,0.094118
,3165,192866,3165,Northern Rocky Mountain Foothill Conifer Wooded Steppe,2165,Tr Northern Rocky Mountain Foothill Conifer Wooded Steppe,Tree,614,Conifer,Douglas-fir Forest and Woodland,SRM 109: Ponderosa Pine-Shrubland,220,Ponderosa Pine Group,Tree-dominated,Sparse tree canopy,Evergreen sparse tree canopy,55,146,173,0.215686,0.572549,0.678431
,3166,8229160,3166,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,2166,Tr Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Tree,614,Conifer,Douglas-fir Forest and Woodland,SAF 210: Interior Douglas-Fir,200,Douglas-fir Group,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,51,0,0,0.2,0
,3167,2563614,3167,Rocky Mountain Poor-Site Lodgepole Pine Forest,2167,Tr Rocky Mountain Poor-Site Lodgepole Pine Forest,Tree,622,Conifer,Lodgepole Pine Forest and Woodland,SAF 218: Lodgepole Pine,280,Lodgepole Pine Group,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,163,240,219,0.639216,0.941176,0.858824
,3168,3048,3168,Northern Rocky Mountain Avalanche Chute Shrubland,2168,Sh Northern Rocky Mountain Avalanche Chute Shrubland,Shrub,612,Shrubland,Deciduous Shrubland,LF 41: Deciduous Shrubland,51,Deciduous Shrubland,Shrub-dominated,Shrubland,Deciduous shrubland,128,97,69,0.501961,0.380392,0.270588
,3169,5298178,3169,Northern Rocky Mountain Subalpine Deciduous Shrubland,2169,Sh Northern Rocky Mountain Subalpine Deciduous Shrubland,Shrub,612,Shrubland,Deciduous Shrubland,LF 41: Deciduous Shrubland,51,Deciduous Shrubland,Shrub-dominated,Shrubland,Deciduous shrubland,128,97,69,0.501961,0.380392,0.270588
,3170,98816,3170,Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,2170,Tr Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,Tree,607,Shrubland,Chaparral,SAF 248: Knobcone Pine,360,Other Western Softwood Group,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous sparse tree canopy,224,252,192,0.878431,0.988235,0.752941
,3171,1328697,3171,North Pacific Alpine and Subalpine Dry Grassland,2171,He North Pacific Alpine and Subalpine Dry Grassland,Herb,617,Grassland,Grassland,SRM 103: Green Fescue,,Perennial Grassland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,114,48,1,0.447059,0.188235
,3172,602424,3172,Sierran-Intermontane Desert Western White Pine-White Fir Woodland,2172,Tr Sierran-Intermontane Desert Western White Pine-White Fir Woodland,Tree,643,Conifer,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 211: White Fir,260,Fir/Spruce/Mountain Hemlock Group,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0,204,0,0,0.8,0
,3173,569029,3173,North Pacific Wooded Volcanic Flowage,2173,Tr North Pacific Wooded Volcanic Flowage,Tree,625,Conifer,Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland,SAF 218: Lodgepole Pine,280,Lodgepole Pine Group,Tree-dominated,Open tree canopy,Evergreen open tree canopy,163,240,219,0.639216,0.941176,0.858824
,3174,10046224,3174,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,2174,Tr North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,Tree,642,Conifer,Western Hemlock-Silver Fir Forest,SAF 226: Coastal True Fir-Hemlock,300,Hemlock/Sitka Spruce Group,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,71,0,0,0.278431,0
,3177,13729,3177,California Coastal Closed-Cone Conifer Forest and Woodland,2177,Tr California Coastal Closed-Cone Conifer Forest and Woodland,Tree,610,Conifer-Hardwood,Conifer-Oak Forest and Woodland,SAF 248: Knobcone Pine,360,Other Western Softwood Group,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,224,252,192,0.878431,0.988235,0.752941
,3178,3957906,3178,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,2178,Tr North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,Tree,645,Conifer,Western Red-cedar-Western Hemlock Forest,SAF 227: Western Redcedar-Western Hemlock,300,Hemlock/Sitka Spruce Group,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,4,45,117,0.015686,0.176471,0.458824
,3179,16883165,3179,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna,2179,Tr Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna,Tree,631,Conifer,"Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,220,Ponderosa Pine Group,Tree-dominated,Open tree canopy,Evergreen open tree canopy,214,255,181,0.839216,1,0.709804
,3180,922707,3180,Introduced Riparian Forest and Woodland,2180,Tr Introduced Riparian Vegetation,Tree,701,Exotic Tree-Shrub,Introduced Riparian Vegetation,LF 58: Introduced Woody Wetlands and Riparian Vegetation,,,Shrub-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,255,105,46,1,0.411765,0.180392
,3181,84628227,3181,Introduced Upland Vegetation-Annual Grassland,2181,He Introduced Upland Vegetation-Annual Grassland,Herb,702,Exotic Herbaceous,Introduced Annual Grassland,LF 54: Introduced Upland Vegetation - Herbaceous,,Annual Grassland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,255,105,46,1,0.411765,0.180392
,3182,40793194,3182,Introduced Upland Vegetation-Perennial Grassland and Forbland,2182,He Introduced Upland Vegetation-Perennial Grassland and Forbland,Herb,703,Exotic Herbaceous,Introduced Perennial Grassland and Forbland,LF 54: Introduced Upland Vegetation - Herbaceous,,Perennial Grassland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,105,46,1,0.411765,0.180392
,3183,12675690,3183,Introduced Upland Vegetation-Annual and Biennial Forbland,2183,He Introduced Upland Vegetation-Annual and Biennial Forbland,Herb,704,Exotic Herbaceous,Introduced Annual and Biennial Forbland,LF 54: Introduced Upland Vegetation - Herbaceous,,Annual Grassland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,255,105,46,1,0.411765,0.180392
,3184,20370060,3184,California Annual Grassland,2184,He California Annual Grassland,Herb,702,Exotic Herbaceous,Introduced Annual Grassland,LF 54: Introduced Upland Vegetation - Herbaceous,,Annual Grassland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,255,105,46,1,0.411765,0.180392
,3185,67377,3185,Introduced Forest Wetland,2185,Tr Introduced Wetland Vegetation,Tree,705,Exotic Tree-Shrub,Introduced Wetland Vegetation,LF 59: Introduced Herbaceous Wetland and Riparian Vegetation,,,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0,132,168,0,0.517647,0.658824
,3186,174873,3186,Introduced Upland Vegetation-Shrub,2186,Sh Introduced Upland Vegetation-Shrub,Shrub,706,Shrubland,Introduced Upland Vegetation-Shrub,LF 52: Introduced Upland Vegetation - Shrub,51,Introduced Upland Vegetation-Shrub,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255,105,46,1,0.411765,0.180392
,3187,2232695,3187,Introduced Upland Vegetation-Treed,2187,Tr Introduced Upland Vegetation-Treed,Tree,707,Exotic Tree-Shrub,Introduced Upland Vegetation-Treed,LF 51: Introduced Upland Vegetation - Tree,,,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,255,105,46,1,0.411765,0.180392
,3191,13646412,3191,Recently Logged-Herb and Grass Cover,2191,He Recently Logged-Herb and Grass Cover,Herb,710,Grassland,Transitional Herbacous Vegetation,LF 62: Recently Logged - Herbaceous,,Perennial Grassland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,68,25,1,0.266667,0.098039
,3192,797051,3192,Recently Logged-Shrub Cover,2192,Sh Recently Logged-Shrub Cover,Shrub,720,Shrubland,Transitional Shrub Vegetation,LF 63: Recently Logged - Shrub,51,Transitional Shrub Vegetation,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255,68,25,1,0.266667,0.098039
,3193,6923,3193,Recently Logged-Tree Cover,2193,Tr Recently Logged-Tree Cover,Tree,730,Conifer,Transitional Forest Vegetation,LF 64: Recently Logged - Tree,,,Tree-dominated,Open tree canopy,Evergreen open tree canopy,255,68,25,1,0.266667,0.098039
,3194,37841855,3194,Ruderal Upland-Treed,2194,Tr Ruderal Upland-Treed,Tree,740,Conifer-Hardwood,Ruderal Forest,LF 53: Ruderal Forest,,,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,255,59,20,1,0.231373,0.078431
,3195,8391616,3195,Recently Burned-Herb and Grass Cover,2195,He Recently Burned-Herb and Grass Cover,Herb,710,Grassland,Transitional Herbacous Vegetation,LF 66: Recently Burned - Herbaceous,,Perennial Grassland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial Graminoid or Annual Gramminoid/Forb,255,59,20,1,0.231373,0.078431
,3196,12123,3196,Introduced Shrub Wetland,2185,Tr Introduced Wetland Vegetation,Shrub,705,Exotic Tree-Shrub,Introduced Wetland Vegetation,LF 59: Introduced Herbaceous Wetland and Riparian Vegetation,,,Shrub-dominated,Shrubland,Evergreen shrubland,0,132,168,0,0.517647,0.658824
,3199,138155,3199,Introduced Herbaceous Wetland,2185,Tr Introduced Wetland Vegetation,Herb,705,Exotic Tree-Shrub,Introduced Wetland Vegetation,LF 59: Introduced Herbaceous Wetland and Riparian Vegetation,,Perennial Grassland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial Graminoid or Annual Gramminoid/Forb,0,132,168,0,0.517647,0.658824
,3200,526363,3200,Coastal Douglas-fir Woodland,2200,Tr Coastal Douglas-fir Woodland,Tree,610,Conifer,Conifer-Oak Forest and Woodland,SAF 229: Pacific Douglas-Fir,200,Douglas-fir Group,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0,130,0,0,0.509804,0
,3201,471029,3201,Quercus garryana Woodland Alliance,2201,Tr Quercus garryana Woodland Alliance,Tree,629,Hardwood,Western Oak Woodland and Savanna,SAF 233: Oregon White Oak,500,Oak/Hickory Group,Tree-dominated,Open tree canopy,Deciduous open tree canopy,203,255,171,0.796078,1,0.670588
,3202,118326,3202,Juniperus occidentalis Wooded Herbaceous Alliance,2202,Tr Juniperus occidentalis Wooded Herbaceous Alliance,Tree,620,Conifer,Juniper Woodland and Savanna,SRM 107: Western Juniper-Big Sagebrush-Bluebunch Wheatgrass,180,Pinyon/Juniper Group,Tree-dominated,Open tree canopy,Evergreen open tree canopy,108,255,82,0.423529,1,0.321569
,3203,890396,3203,Juniperus occidentalis Woodland Alliance,2203,Tr Juniperus occidentalis Woodland Alliance,Tree,620,Conifer,Juniper Woodland and Savanna,SAF 238: Western Juniper,180,Pinyon/Juniper Group,Tree-dominated,Open tree canopy,Evergreen open tree canopy,25,93,145,0.098039,0.364706,0.568627
,3204,61642531,3204,Western Great Plains Mesquite Shrubland,2111,Tr Western Great Plains Mesquite Woodland and Shrubland,Shrub,624,Shrubland,Mesquite Woodland and Scrub,SRM 729: Mesquite,51,Mesquite Woodland and Scrub,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,150,123,89,0.588235,0.482353,0.34902
,3205,7726,3205,Tsuga mertensiana-Abies amabilis Woodland Alliance,2205,Tr Tsuga mertensiana-Abies amabilis Woodland Alliance,Tree,627,Conifer,Mountain Hemlock Forest and Woodland,SAF 226: Coastal True Fir-Hemlock,300,Hemlock/Sitka Spruce Group,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,71,0,0,0.278431,0
,3206,470150,3206,Pseudotsuga menziesii Giant Forest Alliance,2206,Tr Pseudotsuga menziesii Giant Forest Alliance,Tree,614,Conifer,Douglas-fir Forest and Woodland,SAF 229: Pacific Douglas-Fir,200,Douglas-fir Group,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0,130,0,0,0.509804,0
,3207,27586,3207,Central Mixedgrass Prairie Shrubland,2132,Sh Central Mixedgrass Prairie,Shrub,646,Grassland,Mixedgrass Prairie,SRM 704: Blue Grama-Western Wheatgrass,,Perennial Grassland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,241,140,1,0.945098,0.54902
,3208,1085569,3208,Abies concolor Forest Alliance,2208,Tr Abies concolor Forest Alliance,Tree,643,Conifer,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 211: White Fir,260,Fir/Spruce/Mountain Hemlock Group,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,204,0,0,0.8,0
,3209,8330,3209,Western Great Plains Sand Prairie Shrubland,2148,Sh Western Great Plains Sand Prairie,Shrub,647,Grassland,Sand Prairie,SRM 720: Sand Bluestem -Little Bluestem Dunes,,Perennial Grassland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,148,71,1,0.580392,0.278431
,3210,20752864,3210,Coleogyne ramosissima Shrubland Alliance,2210,Sh Coleogyne ramosissima Shrubland Alliance,Shrub,606,Shrubland,Blackbrush Shrubland,SRM 212: Blackbush,51,Blackbrush Shrubland,Shrub-dominated,Shrubland,Evergreen shrubland,140,112,80,0.54902,0.439216,0.313725
,3211,292092,3211,Grayia spinosa Shrubland Alliance,2211,Sh Grayia spinosa Shrubland Alliance,Shrub,613,Shrubland,Desert Scrub,SRM 414: Salt Desert Shrub,51,Desert Scrub,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,156,128,92,0.611765,0.501961,0.360784
,3212,36401940,3212,Western Great Plains Sandhill Grassland,2094,Sh Western Great Plains Sandhill Steppe,Herb,637,Shrubland,Sand Shrubland,SRM 605: Sandsage Prairie,51,Sand Shrubland,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,112,82,57,0.439216,0.321569,0.223529
,3213,2897424,3213,Quercus havardii Shrubland Alliance,2213,Sh Quercus havardii Shrubland Alliance,Shrub,696,Conifer-Hardwood,Juniper-Oak,SRM 730: Sand Shinnery Oak,,,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,140,47,10,0.54902,0.184314,0.039216
,3214,205850,3214,Arctostaphylos patula Shrubland Alliance,2214,Sh Arctostaphylos patula Shrubland Alliance,Shrub,607,Shrubland,Chaparral,SRM 503: Arizona Chaparral,51,Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland,89,59,40,0.34902,0.231373,0.156863
,3215,5593318,3215,Quercus turbinella Shrubland Alliance,2215,Sh Quercus turbinella Shrubland Alliance,Shrub,607,Shrubland,Chaparral,SRM 503: Arizona Chaparral,51,Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland,89,59,40,0.34902,0.231373,0.156863
,3216,177987,3216,Cercocarpus montanus Shrubland Alliance,2216,Sh Cercocarpus montanus Shrubland Alliance,Shrub,607,Shrubland,Chaparral,SRM 503: Arizona Chaparral,51,Chaparral,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,89,59,40,0.34902,0.231373,0.156863
,3217,12245642,3217,Quercus gambelii Shrubland Alliance,2217,Sh Quercus gambelii Shrubland Alliance,Shrub,612,Shrubland,Deciduous Shrubland,SRM 413: Gambel Oak,51,Deciduous Shrubland,Shrub-dominated,Shrubland,Deciduous shrubland,245,175,54,0.960784,0.686275,0.211765
,3218,25390065,3218,North American Warm Desert Sparsely Vegetated Systems II,2218,Sps North American Warm Desert Sparsely Vegetated Systems II,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,37,Barren,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
,3219,22411201,3219,Inter-Mountain Basins Sparsely Vegetated Systems II,2219,Sps Inter-Mountain Basins Sparsely Vegetated Systems II,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,38,Barren,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
,3220,47630999,3220,Artemisia tridentata ssp. vaseyana Shrubland Alliance,2220,Sh Artemisia tridentata ssp. vaseyana Shrubland Alliance,Shrub,604,Shrubland,Big Sagebrush Shrubland and Steppe,SRM 402: Mountain Big Sagebrush,51,Big Sagebrush Shrubland and Steppe,Shrub-dominated,Herbaceous - shrub-steppe,Perennial graminoid steppe,219,140,37,0.858824,0.54902,0.145098
,3221,4052337,3221,Mediterranean California Sparsely Vegetated Systems II,2221,Sps Mediterranean California Sparsely Vegetated Systems II,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,39,Barren,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
,3222,1496422,3222,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems II,2222,Sps Rocky Mountain Alpine/Montane Sparsely Vegetated Systems II,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,40,Barren,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
,3223,19854297,3223,Sonoran Desert Sparsely Vegetated,2223,Sps Sonoran Desert Sparsely Vegetated,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,41,Barren,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
,3227,34820799,3227,Dry-mesic Montane Douglas-fir Forest,2227,Tr Pseudotsuga menziesii Forest Alliance,Tree,614,Conifer,Douglas-fir Forest and Woodland,SAF 210: Interior Douglas-Fir,200,Douglas-fir Group,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0,51,0,0,0.2,0
,3228,130125,3228,Dry-mesic Montane Western Larch Forest,2228,Tr Larix occidentalis Forest Alliance,Tree,644,Conifer,Western Larch Forest and Woodland,SAF 212: Western Larch,320,Western Larch Group,Tree-dominated,Open tree canopy,Evergreen open tree canopy,180,255,148,0.705882,1,0.580392
,3229,29081,3229,Pinus albicaulis Woodland Alliance,2229,Tr Pinus albicaulis Woodland Alliance,Tree,640,Conifer,Subalpine Woodland and Parkland,SAF 208: Whitebark Pine,360,Other Western Softwood Group,Tree-dominated,Open tree canopy,Evergreen open tree canopy,191,255,233,0.74902,1,0.913725
,3230,460804,3230,Pinus sabiniana Woodland Alliance,2230,Tr Pinus sabiniana Woodland Alliance,Tree,610,Conifer-Hardwood,Conifer-Oak Forest and Woodland,SAF 250: Blue Oak-Digger Pine,920,Western Oak Group,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,121,217,207,0.47451,0.85098,0.811765
,3231,3139,3231,Sequoiadendron giganteum Forest Alliance,2231,Tr Sequoiadendron giganteum Forest Alliance,Tree,643,Conifer,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 243: Sierra Nevada Mixed Conifer,370,California Mixed Conifer Group,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,222,0,0,0.870588,0
,3232,1076379,3232,Abies grandis Forest Forest,2232,Tr Abies grandis Forest Forest,Tree,643,Conifer,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 213: Grand Fir,260,Fir/Spruce/Mountain Hemlock Group,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,96,255,71,0.376471,1,0.278431
,3233,8114781,3233,Subalpine Douglas-fir Forest,2227,Tr Pseudotsuga menziesii Forest Alliance,Tree,614,Conifer,Douglas-fir Forest and Woodland,SAF 210: Interior Douglas-Fir,200,Douglas-fir Group,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0,51,0,0,0.2,0
,3234,3020483,3234,Mesic Montane Douglas-fir Forest,2227,Tr Pseudotsuga menziesii Forest Alliance,Tree,614,Conifer,Douglas-fir Forest and Woodland,SAF 210: Interior Douglas-Fir,200,Douglas-fir Group,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0,51,0,0,0.2,0
,3235,18073734,3235,Xeric Montane Douglas-fir Forest,2227,Tr Pseudotsuga menziesii Forest Alliance,Tree,614,Conifer,Douglas-fir Forest and Woodland,SAF 210: Interior Douglas-Fir,200,Douglas-fir Group,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0,51,0,0,0.2,0
,3236,25966,3236,Subalpine Western Larch Forest,2228,Tr Larix occidentalis Forest Alliance,Tree,644,Conifer,Western Larch Forest and Woodland,SAF 212: Western Larch,320,Western Larch Group,Tree-dominated,Open tree canopy,Deciduous open tree canopy,180,255,148,0.705882,1,0.580392
,3237,8642,3237,Mesic Montane Western Larch Forest,2228,Tr Larix occidentalis Forest Alliance,Tree,644,Conifer,Western Larch Forest and Woodland,SAF 212: Western Larch,320,Western Larch Group,Tree-dominated,Open tree canopy,Deciduous open tree canopy,180,255,148,0.705882,1,0.580392
,3238,2265409,3238,Laurentian-Acadian Northern Oak Forest,2238,Tr Laurentian-Acadian Northern Oak Forest,Tree,665,Hardwood,Red Pine-White Pine Forest and Woodland,SAF 15: Red Pine,100,White/Red/Jack Pine Group,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,174,245,224,0.682353,0.960784,0.878431
,3239,879379,3239,Laurentian-Acadian Northern Pine-Oak Forest,2239,Tr Laurentian-Acadian Northern Pine-Oak Forest,Tree,665,Conifer-Hardwood,Red Pine-White Pine Forest and Woodland,SAF 15: Red Pine,100,White/Red/Jack Pine Group,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,174,245,224,0.682353,0.960784,0.878431
,3240,912569,3240,Laurentian-Acadian Hardwood Forest,2240,Tr Laurentian-Acadian Hardwood Forest,Tree,685,Hardwood,Pine-Hemlock-Hardwood Forest,SAF 24: Hemlock-Yellow Birch,100,White/Red/Jack Pine Group,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,0,92,0,0,0.360784,0
,3241,817998,3241,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,2241,Tr Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Tree,685,Conifer-Hardwood,Pine-Hemlock-Hardwood Forest,SAF 24: Hemlock-Yellow Birch,100,White/Red/Jack Pine Group,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,0,92,0,0,0.360784,0
,3242,4317360,3242,Laurentian Oak Barrens,2242,Tr Laurentian Oak Barrens,Tree,676,Hardwood,Jack Pine Forest,SAF 15: Red Pine,100,White/Red/Jack Pine Group,Tree-dominated,Sparse tree canopy,Deciduous closed tree canopy,174,245,224,0.682353,0.960784,0.878431
,3243,721496,3243,Laurentian Pine-Oak Barrens,2243,Tr Laurentian Pine-Oak Barrens,Tree,676,Conifer-Hardwood,Jack Pine Forest,SAF 15: Red Pine,100,White/Red/Jack Pine Group,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous closed tree canopy,174,245,224,0.682353,0.960784,0.878431
,3244,6158291,3244,Boreal Hardwood Forest,2244,Tr Boreal Hardwood Forest,Tree,693,Hardwood,Spruce-Fir-Hardwood Forest,SAF 5: Balsam Fir,120,Spruce/Fir Group,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,182,250,227,0.713725,0.980392,0.890196
,3245,2256859,3245,Boreal White Spruce-Fir-Hardwood Forest,2245,Tr Boreal White Spruce-Fir-Hardwood Forest,Tree,693,Conifer-Hardwood,Spruce-Fir-Hardwood Forest,SAF 5: Balsam Fir,120,Spruce/Fir Group,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,182,250,227,0.713725,0.980392,0.890196
,3247,5040,3247,Southern Appalachian Grass Bald,2414,Sh Southern Appalachian Grass and Shrub Bald,Herb,670,Conifer-Hardwood,Glades and Barrens,LF 55: Appalachian Grass and Shrub Balds,,Perennial Grassland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,82,52,34,0.321569,0.203922,0.133333
,3248,88948,3248,Northern Atlantic Coastal Plain Dune and Swale Grassland,2436,Sh Northern Atlantic Coastal Plain Dune and Swale,Herb,654,Grassland,Atlantic Dunes and Grasslands,LF 57: Dunes and Maritime Grasslands,,Perennial Grassland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,98,41,1,0.384314,0.160784
,3249,4174666,3249,Atlantic Coastal Plain Peatland Pocosin and Canebrake Shrubland,2452,Tr Atlantic Coastal Plain Peatland Pocosin and Canebrake,Shrub,687,Shrubland,Pocosin,LF 48: Pocosin,51,Pocosin,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,91,195,199,0.356863,0.764706,0.780392
,3250,1459260,3250,Inter-Mountain Basins Curl-leaf Mountain Mahogany Shrubland,2062,Tr Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,Shrub,628,Shrubland,Mountain Mahogany Woodland and Shrubland,SRM 415: Curlleaf Mountain-Mahogany,180,Pinyon/Juniper Group,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,155,235,216,0.607843,0.921569,0.847059
,3251,1176403,3251,Rocky Mountain Montane Riparian Shrubland,2159,Tr Rocky Mountain Montane Riparian Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,SAF 235: Cottonwood-Willow,700,Elm/Ash/Cottonwood Group,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,73,171,186,0.286275,0.670588,0.729412
,3252,3658017,3252,Rocky Mountain Subalpine/Upper Montane Riparian Shrubland,2160,Tr Rocky Mountain Subalpine/Upper Montane Riparian Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,SRM 422: Riparian,,,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,184,96,24,0.721569,0.376471,0.094118
,3253,1324196,3253,Western Great Plains Floodplain Shrubland,2162,Tr Western Great Plains Floodplain Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,LF 42: Great Plains Riparian,700,Elm/Ash/Cottonwood Group,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,6,53,122,0.023529,0.207843,0.478431
,3254,3119964,3254,Western Great Plains Floodplain Herbaceous,2162,Tr Western Great Plains Floodplain Systems,Herb,635,Riparian,Western Riparian Woodland and Shrubland,LF 42: Great Plains Riparian,700,Elm/Ash/Cottonwood Group,Tree-dominated,Open tree canopy,Perennial graminoid grassland,6,53,122,0.023529,0.207843,0.478431
,3255,1156999,3255,Inter-Mountain Basins Montane Riparian Shrubland,2154,Tr Inter-Mountain Basins Montane Riparian Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,SAF 235: Cottonwood-Willow,700,Elm/Ash/Cottonwood Group,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,73,171,186,0.286275,0.670588,0.729412
,3256,55077948,3256,Apacherian-Chihuahuan Semi-Desert Grassland,2121,Sh Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,Herb,618,Grassland,Grassland and Steppe,SRM 505: Grama-Tobosa Shrub,,,Shrub-dominated,Herbaceous - shrub-steppe,Perennial graminoid grassland,255,204,51,1,0.8,0.2
