Age,100,120,140,160,180,200,220,240,260,280,300,320,340,360,370,380,400,500,600,700,800,900,910,920,940,950,980,990
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.014467794,0.003106041,0.067688266,0.102573128,0.000439595,0.015414039,0.0039427,0.001774218,0.006223957,0.005251254,0.044396275,0.007705987,0.001878908,0.000136302,0.003704104,0.009371302,0.022159119,0.012419913,0.007486044,0.01804213,0.00591263,0.008830545,0.050597543,3.852472315,0.02874991,3.852472315,0.001603101,0.043317463
2,0.109067457,0.023762958,0.481426584,0.729541963,0.003413336,0.117926048,0.030163868,0.013776325,0.047616765,0.040175041,0.334687436,0.058955124,0.014808031,0.00107422,0.028761364,0.071695719,0.164618065,0.093629224,0.057272441,0.134033335,0.045234939,0.066570278,0.375884521,18.6193982,0.216735156,18.6193982,0.012447644,0.303698024
3,0.347012815,0.076714117,1.446853242,2.192525694,0.011182336,0.380701456,0.097378217,0.04513224,0.153721522,0.129697354,1.064853192,0.190325225,0.04923612,0.003571741,0.094224315,0.231455774,0.516247051,0.297893996,0.184893008,0.420332446,0.146032258,0.211802313,1.178784819,39.24877972,0.689572113,39.24877972,0.040779384,0.900083244
4,0.77573228,0.17397634,3.058821729,4.635262952,0.025731903,0.86337494,0.220839482,0.103854724,0.348617816,0.294134534,2.380433687,0.431629632,0.114980348,0.008341031,0.216821505,0.524907672,1.137761496,0.665929265,0.419310164,0.926374439,0.331179696,0.473474997,2.597934413,60.00778668,1.541508915,60.00778668,0.093838278,1.877336018
5,1.429438705,0.325174564,5.336898855,8.087404804,0.048794235,1.613711204,0.412765219,0.196934981,0.651592315,0.549759057,4.386415432,0.806747499,0.221252454,0.016050338,0.411148741,0.981091008,2.067424203,1.227105137,0.783721507,1.683313194,0.618999186,0.872470442,4.720701575,77.95796821,2.840532181,77.95796821,0.177941252,3.232874876
6,2.331343559,0.537841422,8.251383806,12.50394337,0.081869518,2.669091698,0.682717091,0.330427803,1.077739086,0.909306034,7.154025794,1.334367045,0.376683962,0.027325822,0.689846843,1.622732655,3.325770233,2.001347556,1.296281865,2.707868518,1.023829781,1.422955975,7.593975512,92.2463016,4.632766962,92.2463016,0.298559132,4.935373622
7,3.495560846,0.817685158,11.74216393,17.79378542,0.126245521,4.057844147,1.037940942,0.509530668,1.638496439,1.382426154,10.7265754,2.028650237,0.58935049,0.04275331,1.063766789,2.46705507,4.919508661,3.000772721,1.970748994,4.005502995,1.556537638,2.133546201,11.23307556,103.0721555,6.946260124,103.0721555,0.460388116,6.937684108
8,4.928740611,1.168828939,15.73218474,23.84016446,0.183015799,5.80043018,1.483670577,0.738657197,2.342126472,1.976090282,15.12447075,2.899826517,0.866795195,0.062880009,1.542123062,3.526498349,6.844732236,4.231089382,2.817060372,5.573035309,2.224971577,3.008300032,15.62907999,111.024352,9.794226416,111.024352,0.667416148,9.185582242
9,6.631467043,1.594024373,20.1368946,30.51495307,0.253096587,7.91050493,2.023398791,1.021505334,3.194142922,2.694950449,20.34950452,3.954722537,1.21605137,0.088216134,2.132636004,4.809364428,9.089546054,5.692799034,3.841847806,7.400780535,3.034369535,4.047574034,20.7548283,116.7495152,13.17782671,116.7495152,0.922984515,11.62351938
10,8.599451834,2.094841767,24.87070246,37.68844867,0.337242466,10.3958612,2.659118876,1.3611206,4.197692404,3.541661505,26.38851748,5.197234175,1.643664235,0.119236496,2.841663867,6.32039111,11.63620951,7.382220371,5.048895978,9.474294133,3.987720731,5.248750801,26.56981207,120.8168842,17.08853944,120.8168842,1.229845009,14.19824881
11,10.82454972,2.671839415,29.85123797,45.23582926,0.436060904,13.25926957,3.39153951,1.759954749,5.353893641,4.517167335,33.21651483,6.62874654,2.155711928,0.156382022,3.674325271,8.061262835,14.46287134,9.292361068,6.439550464,11.77578463,5.086087929,6.606858797,33.02413671,123.6808226,21.51017859,123.6808226,1.59021292,16.86096388
12,13.29561971,3.324714007,35.00201193,53.04118499,0.550025719,16.49922485,4.220275684,2.219920122,6.662138856,5.620955147,40.79930905,8.248507133,2.757825751,0.200061224,4.634612686,10.03106449,17.54496527,11.41365712,8.013080244,14.28524997,6.328893752,8.115098026,40.06170821,125.6852435,26.42060519,125.6852435,2.005816151,19.5684111
13,15.99925272,4.052434049,40.25392776,60.99980861,0.679489554,20.11060813,5.144018054,2.742439999,8.120361113,6.851281036,49.09575263,10.05395685,3.455209663,0.250651613,5.725497547,12.22668391,20.85632333,13.73459746,9.76699925,16.98138398,7.714174655,9.76528413,47.62277535,127.0823368,31.79317314,127.0823368,2.47794071,22.28331289
14,18.92038353,4.853357988,45.54598163,69.01925643,0.824695425,24.08527306,6.160682892,3.328495206,9.725271035,8.205369697,58.059616,12.04102305,4.25265908,0.308501064,6.949027559,14.64316836,24.37005504,16.24224932,11.69735109,19.84229222,9.238805798,11.54822192,55.64593711,128.053378,37.59794535,128.053378,3.007472826,24.97433971
15,22.04280293,5.72533861,50.8254029,77.01956113,0.985787407,28.41256386,7.267544597,3.978667226,11.47256598,9.679590924,67.64115916,14.20437856,5.154578972,0.373929128,8.306416712,17.27403941,28.05923299,18.92269786,13.79896063,22.84605018,10.89869976,13.45401797,64.06970815,128.7269897,43.80271143,128.7269897,3.5949379,27.61580155
