FromStratumID,FromSecondaryStratumID,FromStateClassID,FromAgeMin,FromStockTypeID,ToAgeMin,ToStockTypeID,StateAttributeTypeID,FlowTypeID,Multiplier
NA,NA,Forest: Pinyon/Juniper Group,1,Atmosphere,1,Biomass: Foliage,Net Growth,Net Growth: Atmosphere -> Foliage,0.5462
NA,NA,Forest: Pinyon/Juniper Group,1,Atmosphere,1,Biomass: Merchantable,Net Growth,Net Growth: Atmosphere -> Merchantable,0.0023
NA,NA,Forest: Pinyon/Juniper Group,1,Atmosphere,1,Biomass: Other Wood,Net Growth,Net Growth: Atmosphere -> Other Wood,0.2535
NA,NA,Forest: Pinyon/Juniper Group,2,Atmosphere,2,Biomass: Coarse Root,Net Growth,Net Growth: Atmosphere -> Coarse Roots,0.0938
NA,NA,Forest: Pinyon/Juniper Group,2,Atmosphere,2,Biomass: Fine Root,Net Growth,Net Growth: Atmosphere -> Fine Roots,0.1222
NA,NA,Forest: Pinyon/Juniper Group,2,Atmosphere,2,Biomass: Foliage,Net Growth,Net Growth: Atmosphere -> Foliage,0.3826
NA,NA,Forest: Pinyon/Juniper Group,2,Atmosphere,2,Biomass: Merchantable,Net Growth,Net Growth: Atmosphere -> Merchantable,0.004
NA,NA,Forest: Pinyon/Juniper Group,2,Atmosphere,2,Biomass: Other Wood,Net Growth,Net Growth: Atmosphere -> Other Wood,0.3974
NA,NA,Forest: Pinyon/Juniper Group,3,Atmosphere,3,Biomass: Coarse Root,Net Growth,Net Growth: Atmosphere -> Coarse Roots,0.0907
NA,NA,Forest: Pinyon/Juniper Group,3,Atmosphere,3,Biomass: Fine Root,Net Growth,Net Growth: Atmosphere -> Fine Roots,0.1425
NA,NA,Forest: Pinyon/Juniper Group,3,Atmosphere,3,Biomass: Foliage,Net Growth,Net Growth: Atmosphere -> Foliage,0.3263
NA,NA,Forest: Pinyon/Juniper Group,3,Atmosphere,3,Biomass: Merchantable,Net Growth,Net Growth: Atmosphere -> Merchantable,0.0059
NA,NA,Forest: Pinyon/Juniper Group,3,Atmosphere,3,Biomass: Other Wood,Net Growth,Net Growth: Atmosphere -> Other Wood,0.4346
NA,NA,Forest: Pinyon/Juniper Group,4,Atmosphere,4,Biomass: Coarse Root,Net Growth,Net Growth: Atmosphere -> Coarse Roots,0.0879
NA,NA,Forest: Pinyon/Juniper Group,4,Atmosphere,4,Biomass: Fine Root,Net Growth,Net Growth: Atmosphere -> Fine Roots,0.1608
NA,NA,Forest: Pinyon/Juniper Group,4,Atmosphere,4,Biomass: Foliage,Net Growth,Net Growth: Atmosphere -> Foliage,0.2908
NA,NA,Forest: Pinyon/Juniper Group,4,Atmosphere,4,Biomass: Merchantable,Net Growth,Net Growth: Atmosphere -> Merchantable,0.0076
NA,NA,Forest: Pinyon/Juniper Group,4,Atmosphere,4,Biomass: Other Wood,Net Growth,Net Growth: Atmosphere -> Other Wood,0.4529
NA,NA,Forest: Pinyon/Juniper Group,5,Atmosphere,5,Biomass: Coarse Root,Net Growth,Net Growth: Atmosphere -> Coarse Roots,0.0858
NA,NA,Forest: Pinyon/Juniper Group,5,Atmosphere,5,Biomass: Fine Root,Net Growth,Net Growth: Atmosphere -> Fine Roots,0.1771
NA,NA,Forest: Pinyon/Juniper Group,5,Atmosphere,5,Biomass: Foliage,Net Growth,Net Growth: Atmosphere -> Foliage,0.2659
NA,NA,Forest: Pinyon/Juniper Group,5,Atmosphere,5,Biomass: Merchantable,Net Growth,Net Growth: Atmosphere -> Merchantable,0.0094
NA,NA,Forest: Pinyon/Juniper Group,5,Atmosphere,5,Biomass: Other Wood,Net Growth,Net Growth: Atmosphere -> Other Wood,0.4618
NA,NA,Forest: Pinyon/Juniper Group,6,Atmosphere,6,Biomass: Coarse Root,Net Growth,Net Growth: Atmosphere -> Coarse Roots,0.0839
NA,NA,Forest: Pinyon/Juniper Group,6,Atmosphere,6,Biomass: Fine Root,Net Growth,Net Growth: Atmosphere -> Fine Roots,0.1917
NA,NA,Forest: Pinyon/Juniper Group,6,Atmosphere,6,Biomass: Foliage,Net Growth,Net Growth: Atmosphere -> Foliage,0.2475
NA,NA,Forest: Pinyon/Juniper Group,6,Atmosphere,6,Biomass: Merchantable,Net Growth,Net Growth: Atmosphere -> Merchantable,0.0113
NA,NA,Forest: Pinyon/Juniper Group,6,Atmosphere,6,Biomass: Other Wood,Net Growth,Net Growth: Atmosphere -> Other Wood,0.4657
NA,NA,Forest: Pinyon/Juniper Group,7,Atmosphere,7,Biomass: Coarse Root,Net Growth,Net Growth: Atmosphere -> Coarse Roots,0.0823
NA,NA,Forest: Pinyon/Juniper Group,7,Atmosphere,7,Biomass: Fine Root,Net Growth,Net Growth: Atmosphere -> Fine Roots,0.2048
NA,NA,Forest: Pinyon/Juniper Group,7,Atmosphere,7,Biomass: Foliage,Net Growth,Net Growth: Atmosphere -> Foliage,0.2331
NA,NA,Forest: Pinyon/Juniper Group,7,Atmosphere,7,Biomass: Merchantable,Net Growth,Net Growth: Atmosphere -> Merchantable,0.013
NA,NA,Forest: Pinyon/Juniper Group,7,Atmosphere,7,Biomass: Other Wood,Net Growth,Net Growth: Atmosphere -> Other Wood,0.4667
NA,NA,Forest: Pinyon/Juniper Group,8,Atmosphere,8,Biomass: Coarse Root,Net Growth,Net Growth: Atmosphere -> Coarse Roots,0.0809
NA,NA,Forest: Pinyon/Juniper Group,8,Atmosphere,8,Biomass: Fine Root,Net Growth,Net Growth: Atmosphere -> Fine Roots,0.2166
NA,NA,Forest: Pinyon/Juniper Group,8,Atmosphere,8,Biomass: Foliage,Net Growth,Net Growth: Atmosphere -> Foliage,0.2217
NA,NA,Forest: Pinyon/Juniper Group,8,Atmosphere,8,Biomass: Merchantable,Net Growth,Net Growth: Atmosphere -> Merchantable,0.0149
NA,NA,Forest: Pinyon/Juniper Group,8,Atmosphere,8,Biomass: Other Wood,Net Growth,Net Growth: Atmosphere -> Other Wood,0.4659
NA,NA,Forest: Pinyon/Juniper Group,9,Atmosphere,9,Biomass: Coarse Root,Net Growth,Net Growth: Atmosphere -> Coarse Roots,0.0795
NA,NA,Forest: Pinyon/Juniper Group,9,Atmosphere,9,Biomass: Fine Root,Net Growth,Net Growth: Atmosphere -> Fine Roots,0.2275
NA,NA,Forest: Pinyon/Juniper Group,9,Atmosphere,9,Biomass: Foliage,Net Growth,Net Growth: Atmosphere -> Foliage,0.2123
NA,NA,Forest: Pinyon/Juniper Group,9,Atmosphere,9,Biomass: Merchantable,Net Growth,Net Growth: Atmosphere -> Merchantable,0.0167
NA,NA,Forest: Pinyon/Juniper Group,9,Atmosphere,9,Biomass: Other Wood,Net Growth,Net Growth: Atmosphere -> Other Wood,0.4639
NA,NA,Forest: Pinyon/Juniper Group,10,Atmosphere,10,Biomass: Coarse Root,Net Growth,Net Growth: Atmosphere -> Coarse Roots,0.0784
