FromStockTypeID,ToStockTypeID,TransitionGroupID,FlowTypeID,Multiplier
Biomass: Other Wood,DOM: Aboveground Fast,Management: Forest Selection [Type],LULC: Mortality,0.5
Biomass: Coarse Root,DOM: Aboveground Fast,Management: Forest Selection [Type],LULC: Mortality,0.25
Biomass: Coarse Root,DOM: Belowground Fast,Management: Forest Selection [Type],LULC: Mortality,0.25
Biomass: Fine Root,DOM: Aboveground Very Fast,Management: Forest Selection [Type],LULC: Mortality,0.25
Biomass: Fine Root,DOM: Belowground Very Fast,Management: Forest Selection [Type],LULC: Mortality,0.25
Biomass: Merchantable,DOM: Aboveground Medium,Management: Forest Clearcut [Type],LULC: Mortality,0.03
Biomass: Merchantable,Forestry Sector,Management: Forest Clearcut [Type],LULC: Harvest,0.97
Biomass: Foliage,DOM: Aboveground Very Fast,Management: Forest Clearcut [Type],LULC: Mortality,1
Biomass: Other Wood,DOM: Aboveground Fast,Management: Forest Clearcut [Type],LULC: Mortality,1
Biomass: Coarse Root,DOM: Aboveground Fast,Management: Forest Clearcut [Type],LULC: Mortality,0.5
Biomass: Coarse Root,DOM: Belowground Fast,Management: Forest Clearcut [Type],LULC: Mortality,0.5
Biomass: Fine Root,DOM: Aboveground Very Fast,Management: Forest Clearcut [Type],LULC: Mortality,0.5
Biomass: Fine Root,DOM: Belowground Very Fast,Management: Forest Clearcut [Type],LULC: Mortality,0.5
DOM: Snag Stem,DOM: Aboveground Medium,Management: Forest Clearcut [Type],LULC: Transfer,1
DOM: Snag Branch,DOM: Aboveground Fast,Management: Forest Clearcut [Type],LULC: Transfer,1
Biomass: Merchantable,DOM: Aboveground Medium,Management: Forest Selection 85% [Type],LULC: Mortality,0.85
Biomass: Foliage,DOM: Aboveground Very Fast,Management: Forest Selection 85% [Type],LULC: Mortality,0.85
Biomass: Other Wood,DOM: Aboveground Fast,Management: Forest Selection 85% [Type],LULC: Mortality,0.85
Biomass: Coarse Root,DOM: Aboveground Fast,Management: Forest Selection 85% [Type],LULC: Mortality,0.45
Biomass: Coarse Root,DOM: Belowground Fast,Management: Forest Selection 85% [Type],LULC: Mortality,0.4
Biomass: Fine Root,DOM: Aboveground Very Fast,Management: Forest Selection 85% [Type],LULC: Mortality,0.45
Biomass: Fine Root,DOM: Belowground Very Fast,Management: Forest Selection 85% [Type],LULC: Mortality,0.4
Biomass: Merchantable,Forestry Sector,Management: Forest Selection 20% [Type],LULC: Harvest,0.2
Biomass: Foliage,DOM: Aboveground Very Fast,Management: Forest Selection 20% [Type],LULC: Mortality,0.2
Biomass: Other Wood,DOM: Aboveground Fast,Management: Forest Selection 20% [Type],LULC: Mortality,0.2
Biomass: Coarse Root,DOM: Aboveground Fast,Management: Forest Selection 20% [Type],LULC: Mortality,0.1
Biomass: Coarse Root,DOM: Belowground Fast,Management: Forest Selection 20% [Type],LULC: Mortality,0.1
Biomass: Fine Root,DOM: Aboveground Very Fast,Management: Forest Selection 20% [Type],LULC: Mortality,0.1
Biomass: Fine Root,DOM: Belowground Very Fast,Management: Forest Selection 20% [Type],LULC: Mortality,0.1
Biomass: Merchantable,DOM: Aboveground Medium,Management: Salvage Logging [Type],LULC: Mortality,0.15
Biomass: Merchantable,Forestry Sector,Management: Salvage Logging [Type],LULC: Harvest,0.85
Biomass: Foliage,DOM: Aboveground Very Fast,Management: Salvage Logging [Type],LULC: Mortality,1
Biomass: Other Wood,DOM: Aboveground Fast,Management: Salvage Logging [Type],LULC: Mortality,1
Biomass: Coarse Root,DOM: Aboveground Fast,Management: Salvage Logging [Type],LULC: Mortality,0.5
