SecondaryStratumID,Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
Colusa,2031,Management: Forest Selection [Type],22.113154630278842,Normal,Iteration and Timestep,53.266329826297614,0,159.21471333800764
Colusa,2041,Management: Forest Selection [Type],19.131774026332035,Normal,Iteration and Timestep,46.08475825757592,0,137.74877298959066
Colusa,2051,Management: Forest Selection [Type],19.53628295249567,Normal,Iteration and Timestep,47.05914233976429,0,140.66123725796885
Colusa,2061,Management: Forest Selection [Type],17.004356710952905,Normal,Iteration and Timestep,40.96021975125189,0,122.4313683188609
Colusa,2071,Management: Forest Selection [Type],11.88057697954683,Normal,Iteration and Timestep,28.618021376865862,0,85.54015425273718
Colusa,2081,Management: Forest Selection [Type],7.6407241608687055,Normal,Iteration and Timestep,18.40503266355812,0,55.01321395825468
Colusa,2091,Management: Forest Selection [Type],3.4158531542707156,Normal,Iteration and Timestep,8.228132249590688,0,24.59414271074915
Contra Costa,2017,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Contra Costa,2021,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Contra Costa,2031,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Contra Costa,2041,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Contra Costa,2051,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Contra Costa,2061,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Contra Costa,2071,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Contra Costa,2081,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Contra Costa,2091,Management: Forest Selection [Type],0,Normal,Iteration and Timestep,0,0,0
Del Norte,2017,Management: Forest Selection [Type],49.04446002552901,Normal,Iteration and Timestep,78.53131581438232,0,321.0182838034626
Del Norte,2021,Management: Forest Selection [Type],51.68125895163273,Normal,Iteration and Timestep,82.75342956784374,0,338.27733131977783
Del Norte,2031,Management: Forest Selection [Type],48.64894018661345,Normal,Iteration and Timestep,77.8979987513631,0,318.4294266760153
Del Norte,2041,Management: Forest Selection [Type],42.089902857930475,Normal,Iteration and Timestep,67.39549078962784,0,275.4975459791813
Del Norte,2051,Management: Forest Selection [Type],42.97982249549048,Normal,Iteration and Timestep,68.82045418142107,0,281.3224745159377
Del Norte,2061,Management: Forest Selection [Type],37.40958476409639,Normal,Iteration and Timestep,59.90123887723382,0,244.8627366377218
Del Norte,2071,Management: Forest Selection [Type],26.137269355003028,Normal,Iteration and Timestep,41.851702581186274,0,171.08030850547436
Del Norte,2081,Management: Forest Selection [Type],16.809593153911152,Normal,Iteration and Timestep,26.91597517831652,0,110.02642791650936
Del Norte,2091,Management: Forest Selection [Type],7.514876939395574,Normal,Iteration and Timestep,12.033024197365032,0,49.1882854214983
El Dorado,2017,Management: Forest Selection [Type],1136.9397551372635,Normal,Iteration and Timestep,653.29737722701,0,2166.8734156733726
El Dorado,2021,Management: Forest Selection [Type],1198.0655484242131,Normal,Iteration and Timestep,688.4208921316879,0,2283.3719864085
El Dorado,2031,Management: Forest Selection [Type],1127.7708861442209,Normal,Iteration and Timestep,648.0288499913082,0,2149.398630063103
El Dorado,2041,Management: Forest Selection [Type],975.7204753429338,Normal,Iteration and Timestep,560.6591066659219,0,1859.6084353594738
El Dorado,2051,Management: Forest Selection [Type],996.3504305772793,Normal,Iteration and Timestep,572.5132929462507,0,1898.9267029825794
El Dorado,2061,Management: Forest Selection [Type],867.222192258598,Normal,Iteration and Timestep,498.31486771011845,0,1652.823472304622
El Dorado,2071,Management: Forest Selection [Type],605.9094259568884,Normal,Iteration and Timestep,348.16184149262017,0,1154.792082411952
El Dorado,2081,Management: Forest Selection [Type],389.676932204304,Normal,Iteration and Timestep,223.91240751732195,0,742.6783884364382
El Dorado,2091,Management: Forest Selection [Type],174.2085108678065,Normal,Iteration and Timestep,100.10201747833216,0,332.0209265951135
Fresno,2017,Management: Forest Selection [Type],994.2649623357245,Normal,Iteration and Timestep,910.1185931948161,80.25457095086566,3370.6919799363577
Fresno,2021,Management: Forest Selection [Type],1047.7200678376453,Normal,Iteration and Timestep,959.0497003558277,84.56933282994446,3551.9119788576672
Fresno,2031,Management: Forest Selection [Type],986.2466965104363,Normal,Iteration and Timestep,902.7789271206642,79.60735666900382,3343.5089800981605
Fresno,2041,Management: Forest Selection [Type],853.2771215744087,Normal,Iteration and Timestep,781.0627980576479,68.87438649479533,2892.7242327814038
Fresno,2051,Management: Forest Selection [Type],871.318219681307,Normal,Iteration and Timestep,797.5770467244894,70.33061862898442,2953.8859824173455
Fresno,2061,Management: Forest Selection [Type],758.3943093084995,Normal,Iteration and Timestep,694.2100828468522,61.21568415943045,2571.0587346960788
Fresno,2071,Management: Forest Selection [Type],529.8737332877886,Normal,Iteration and Timestep,485.0295997335276,42.77007712636859,1796.3432393074806
Fresno,2081,Management: Forest Selection [Type],340.77629757474426,Normal,Iteration and Timestep,311.935808151449,27.50660697912734,1155.2774931233482
Fresno,2091,Management: Forest Selection [Type],152.3470506804739,Normal,Iteration and Timestep,139.4536554088831,12.297071355374575,516.4769969257321
Glenn,2017,Management: Forest Selection [Type],124.84044370134657,Normal,Iteration and Timestep,126.81065429532981,0,401.27285475432825
Glenn,2021,Management: Forest Selection [Type],131.55229551324692,Normal,Iteration and Timestep,133.62843140798194,0,422.8466641497223
Glenn,2031,Management: Forest Selection [Type],123.83366592956149,Normal,Iteration and Timestep,125.78798772843197,0,398.0367833450191
Glenn,2041,Management: Forest Selection [Type],107.13793454745938,Normal,Iteration and Timestep,108.82876716070979,0,344.37193247397664
Glenn,2051,Management: Forest Selection [Type],109.40318453397576,Normal,Iteration and Timestep,111.12976693622988,0,351.6530931449221
Glenn,2061,Management: Forest Selection [Type],95.22439758133625,Normal,Iteration and Timestep,96.72721278575223,0,306.07842079715226
Glenn,2071,Management: Forest Selection [Type],66.53123108546224,Normal,Iteration and Timestep,67.58121562916433,0,213.85038563184295
Glenn,2081,Management: Forest Selection [Type],42.78805530086475,Normal,Iteration and Timestep,43.46332909315739,0,137.5330348956367
Glenn,2091,Management: Forest Selection [Type],19.128777663916004,Normal,Iteration and Timestep,19.4306647710586,0,61.48535677687288
Humboldt,2017,Management: Forest Selection [Type],1475.7923880409185,Normal,Iteration and Timestep,897.1208899688336,0,2889.1645542311635
Humboldt,2021,Management: Forest Selection [Type],1555.136064817312,Normal,Iteration and Timestep,945.3531958811365,0,3044.4959818780003
Humboldt,2031,Management: Forest Selection [Type],1463.8908365244592,Normal,Iteration and Timestep,889.8860440819881,0,2865.8648400841375
Humboldt,2041,Management: Forest Selection [Type],1266.5234405431806,Normal,Iteration and Timestep,769.9081831251348,0,2479.477913812632
Humboldt,2051,Management: Forest Selection [Type],1293.3019314552134,Normal,Iteration and Timestep,786.186586370537,0,2531.9022706434394
