Timestep,SecondaryStratumID,TransitionGroupID,Amount,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2091,Colusa,Ag Contraction: Cropland,645.3167921111111,Iteration and Timestep,664.6001328735251,25.697561,2266.2416
2017,Contra Costa,Ag Contraction: Cropland,191.80430208333334,Iteration and Timestep,141.0305099095804,42.49203,394.97353599999997
2021,Contra Costa,Ag Contraction: Cropland,191.80430208333334,Iteration and Timestep,141.0305099095804,42.49203,394.97353599999997
2031,Contra Costa,Ag Contraction: Cropland,191.80430208333334,Iteration and Timestep,141.0305099095804,42.49203,394.97353599999997
2041,Contra Costa,Ag Contraction: Cropland,191.80430208333334,Iteration and Timestep,141.0305099095804,42.49203,394.97353599999997
2051,Contra Costa,Ag Contraction: Cropland,191.80430208333334,Iteration and Timestep,141.0305099095804,42.49203,394.97353599999997
2061,Contra Costa,Ag Contraction: Cropland,191.80430208333334,Iteration and Timestep,141.0305099095804,42.49203,394.97353599999997
2071,Contra Costa,Ag Contraction: Cropland,191.80430208333334,Iteration and Timestep,141.0305099095804,42.49203,394.97353599999997
2081,Contra Costa,Ag Contraction: Cropland,191.80430208333334,Iteration and Timestep,141.0305099095804,42.49203,394.97353599999997
2091,Contra Costa,Ag Contraction: Cropland,191.80430208333334,Iteration and Timestep,141.0305099095804,42.49203,394.97353599999997
2017,Del Norte,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2021,Del Norte,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2031,Del Norte,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2041,Del Norte,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2051,Del Norte,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2061,Del Norte,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2071,Del Norte,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2081,Del Norte,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2091,Del Norte,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2017,El Dorado,Ag Contraction: Cropland,93.7657462,Iteration and Timestep,98.10462860816881,4.451546,232.69445
2021,El Dorado,Ag Contraction: Cropland,93.7657462,Iteration and Timestep,98.10462860816881,4.451546,232.69445
2031,El Dorado,Ag Contraction: Cropland,93.7657462,Iteration and Timestep,98.10462860816881,4.451546,232.69445
2041,El Dorado,Ag Contraction: Cropland,93.7657462,Iteration and Timestep,98.10462860816881,4.451546,232.69445
2051,El Dorado,Ag Contraction: Cropland,93.7657462,Iteration and Timestep,98.10462860816881,4.451546,232.69445
2061,El Dorado,Ag Contraction: Cropland,93.7657462,Iteration and Timestep,98.10462860816881,4.451546,232.69445
2071,El Dorado,Ag Contraction: Cropland,93.7657462,Iteration and Timestep,98.10462860816881,4.451546,232.69445
2081,El Dorado,Ag Contraction: Cropland,93.7657462,Iteration and Timestep,98.10462860816881,4.451546,232.69445
2091,El Dorado,Ag Contraction: Cropland,93.7657462,Iteration and Timestep,98.10462860816881,4.451546,232.69445
2017,Fresno,Ag Contraction: Cropland,648.9308629166667,Iteration and Timestep,490.94676297996597,94.089495,1476.092185
2021,Fresno,Ag Contraction: Cropland,648.9308629166667,Iteration and Timestep,490.94676297996597,94.089495,1476.092185
2031,Fresno,Ag Contraction: Cropland,648.9308629166667,Iteration and Timestep,490.94676297996597,94.089495,1476.092185
2041,Fresno,Ag Contraction: Cropland,648.9308629166667,Iteration and Timestep,490.94676297996597,94.089495,1476.092185
