SecondaryStratumID,Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
Alameda,2017,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2021,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2031,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2041,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2051,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2061,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2071,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2081,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2091,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2017,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2021,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2031,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2041,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2051,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2061,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2071,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2081,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2091,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2017,Intensification: Open to Medium [Type],15.053763440860212,Normal,Iteration and Timestep,13.036941562346387,0,22.58064516129032
Alameda,2021,Intensification: Open to Medium [Type],24.94623655913978,Normal,Iteration and Timestep,21.604074589031153,0,37.41935483870967
Alameda,2031,Intensification: Open to Medium [Type],31.397849462365585,Normal,Iteration and Timestep,27.191335258608177,0,47.096774193548384
Alameda,2041,Intensification: Open to Medium [Type],43.87096774193547,Normal,Iteration and Timestep,37.993372553123756,0,65.80645161290322
Alameda,2051,Intensification: Open to Medium [Type],47.31182795698924,Normal,Iteration and Timestep,40.9732449102315,0,70.96774193548387
Alameda,2061,Intensification: Open to Medium [Type],51.61290322580644,Normal,Iteration and Timestep,44.69808535661618,0,77.41935483870967
Alameda,2071,Intensification: Open to Medium [Type],47.74193548387096,Normal,Iteration and Timestep,41.34572895486997,0,71.61290322580645
Alameda,2081,Intensification: Open to Medium [Type],29.247311827956985,Normal,Iteration and Timestep,25.328915035415836,0,43.87096774193548
Alameda,2091,Intensification: Open to Medium [Type],21.0752688172043,Normal,Iteration and Timestep,18.251718187284943,0,31.612903225806456
Alameda,2017,Intensification: Open to Medium [Type],15.053763440860212,Normal,Iteration and Timestep,13.036941562346387,0,22.58064516129032
Alameda,2021,Intensification: Open to Medium [Type],24.94623655913978,Normal,Iteration and Timestep,21.604074589031153,0,37.41935483870967
Alameda,2031,Intensification: Open to Medium [Type],31.397849462365585,Normal,Iteration and Timestep,27.191335258608177,0,47.096774193548384
Alameda,2041,Intensification: Open to Medium [Type],43.87096774193547,Normal,Iteration and Timestep,37.993372553123756,0,65.80645161290322
Alameda,2051,Intensification: Open to Medium [Type],47.31182795698924,Normal,Iteration and Timestep,40.9732449102315,0,70.96774193548387
Alameda,2061,Intensification: Open to Medium [Type],51.61290322580644,Normal,Iteration and Timestep,44.69808535661618,0,77.41935483870967
Alameda,2071,Intensification: Open to Medium [Type],47.74193548387096,Normal,Iteration and Timestep,41.34572895486997,0,71.61290322580645
Alameda,2081,Intensification: Open to Medium [Type],29.247311827956985,Normal,Iteration and Timestep,25.328915035415836,0,43.87096774193548
Alameda,2091,Intensification: Open to Medium [Type],21.0752688172043,Normal,Iteration and Timestep,18.251718187284943,0,31.612903225806456
Alameda,2017,Intensification: Open to High [Type],22.58064516129032,Normal,Iteration and Timestep,22.58064516129032,0,45.16129032258064
Alameda,2021,Intensification: Open to High [Type],37.41935483870967,Normal,Iteration and Timestep,37.41935483870967,0,74.83870967741935
Alameda,2031,Intensification: Open to High [Type],47.096774193548384,Normal,Iteration and Timestep,47.096774193548384,0,94.19354838709677
Alameda,2041,Intensification: Open to High [Type],65.80645161290322,Normal,Iteration and Timestep,65.80645161290322,0,131.61290322580643
Alameda,2051,Intensification: Open to High [Type],70.96774193548387,Normal,Iteration and Timestep,70.96774193548387,0,141.93548387096774
Alameda,2061,Intensification: Open to High [Type],77.41935483870967,Normal,Iteration and Timestep,77.41935483870967,0,154.83870967741933
Alameda,2071,Intensification: Open to High [Type],71.61290322580645,Normal,Iteration and Timestep,71.61290322580645,0,143.2258064516129
Alameda,2081,Intensification: Open to High [Type],43.87096774193548,Normal,Iteration and Timestep,43.87096774193548,0,87.74193548387096
Alameda,2091,Intensification: Open to High [Type],31.612903225806456,Normal,Iteration and Timestep,31.612903225806456,0,63.22580645161291
Alameda,2017,Intensification: Open to High [Type],22.58064516129032,Normal,Iteration and Timestep,22.58064516129032,0,45.16129032258064
Alameda,2021,Intensification: Open to High [Type],37.41935483870967,Normal,Iteration and Timestep,37.41935483870967,0,74.83870967741935
Alameda,2031,Intensification: Open to High [Type],47.096774193548384,Normal,Iteration and Timestep,47.096774193548384,0,94.19354838709677
Alameda,2041,Intensification: Open to High [Type],65.80645161290322,Normal,Iteration and Timestep,65.80645161290322,0,131.61290322580643
Alameda,2051,Intensification: Open to High [Type],70.96774193548387,Normal,Iteration and Timestep,70.96774193548387,0,141.93548387096774
Alameda,2061,Intensification: Open to High [Type],77.41935483870967,Normal,Iteration and Timestep,77.41935483870967,0,154.83870967741933
Alameda,2071,Intensification: Open to High [Type],71.61290322580645,Normal,Iteration and Timestep,71.61290322580645,0,143.2258064516129
Alameda,2081,Intensification: Open to High [Type],43.87096774193548,Normal,Iteration and Timestep,43.87096774193548,0,87.74193548387096
Alameda,2091,Intensification: Open to High [Type],31.612903225806456,Normal,Iteration and Timestep,31.612903225806456,0,63.22580645161291
Alameda,2017,Intensification: Low to Medium [Type],30.107526881720425,Normal,Iteration and Timestep,34.492505230850405,0,67.74193548387096
Alameda,2021,Intensification: Low to Medium [Type],49.89247311827956,Normal,Iteration and Timestep,57.15900866826639,0,112.25806451612902
Alameda,2031,Intensification: Low to Medium [Type],62.79569892473117,Normal,Iteration and Timestep,71.94151091005942,0,141.29032258064515
Alameda,2041,Intensification: Low to Medium [Type],87.74193548387095,Normal,Iteration and Timestep,100.52101524419261,0,197.41935483870967
Alameda,2051,Intensification: Low to Medium [Type],94.62365591397848,Normal,Iteration and Timestep,108.40501643981557,0,212.90322580645162
Alameda,2061,Intensification: Low to Medium [Type],103.22580645161288,Normal,Iteration and Timestep,118.26001793434425,0,232.25806451612902
Alameda,2071,Intensification: Low to Medium [Type],95.48387096774192,Normal,Iteration and Timestep,109.39051658926844,0,214.83870967741936
Alameda,2081,Intensification: Low to Medium [Type],58.49462365591397,Normal,Iteration and Timestep,67.01401016279507,0,131.61290322580643
Alameda,2091,Intensification: Low to Medium [Type],42.1505376344086,Normal,Iteration and Timestep,48.28950732319058,0,94.83870967741936
Alameda,2017,Intensification: Low to Medium [Type],30.107526881720425,Normal,Iteration and Timestep,34.492505230850405,0,67.74193548387096
Alameda,2021,Intensification: Low to Medium [Type],49.89247311827956,Normal,Iteration and Timestep,57.15900866826639,0,112.25806451612902
Alameda,2031,Intensification: Low to Medium [Type],62.79569892473117,Normal,Iteration and Timestep,71.94151091005942,0,141.29032258064515
Alameda,2041,Intensification: Low to Medium [Type],87.74193548387095,Normal,Iteration and Timestep,100.52101524419261,0,197.41935483870967
Alameda,2051,Intensification: Low to Medium [Type],94.62365591397848,Normal,Iteration and Timestep,108.40501643981557,0,212.90322580645162
Alameda,2061,Intensification: Low to Medium [Type],103.22580645161288,Normal,Iteration and Timestep,118.26001793434425,0,232.25806451612902
Alameda,2071,Intensification: Low to Medium [Type],95.48387096774192,Normal,Iteration and Timestep,109.39051658926844,0,214.83870967741936
Alameda,2081,Intensification: Low to Medium [Type],58.49462365591397,Normal,Iteration and Timestep,67.01401016279507,0,131.61290322580643
Alameda,2091,Intensification: Low to Medium [Type],42.1505376344086,Normal,Iteration and Timestep,48.28950732319058,0,94.83870967741936
Alameda,2017,Intensification: Low to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2021,Intensification: Low to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2031,Intensification: Low to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2041,Intensification: Low to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2051,Intensification: Low to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2061,Intensification: Low to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2071,Intensification: Low to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2081,Intensification: Low to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2091,Intensification: Low to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2017,Intensification: Low to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2021,Intensification: Low to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2031,Intensification: Low to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2041,Intensification: Low to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2051,Intensification: Low to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2061,Intensification: Low to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2071,Intensification: Low to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2081,Intensification: Low to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2091,Intensification: Low to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2017,Intensification: Medium to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2021,Intensification: Medium to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2031,Intensification: Medium to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2041,Intensification: Medium to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2051,Intensification: Medium to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2061,Intensification: Medium to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2071,Intensification: Medium to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2081,Intensification: Medium to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2091,Intensification: Medium to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2017,Intensification: Medium to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2021,Intensification: Medium to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2031,Intensification: Medium to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2041,Intensification: Medium to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2051,Intensification: Medium to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2061,Intensification: Medium to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2071,Intensification: Medium to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2081,Intensification: Medium to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alameda,2091,Intensification: Medium to High [Type],0,Normal,Iteration and Timestep,0,0,0
Alpine,2017,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alpine,2021,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alpine,2031,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alpine,2041,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alpine,2051,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alpine,2061,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alpine,2071,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alpine,2081,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alpine,2091,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alpine,2017,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alpine,2021,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alpine,2031,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alpine,2041,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alpine,2051,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alpine,2061,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alpine,2071,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alpine,2081,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Alpine,2091,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2017,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2021,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2031,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2041,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2051,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2061,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2071,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2081,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2091,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2017,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2021,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2031,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2041,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2051,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2061,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2071,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2081,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2091,Intensification: Open to Low [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2017,Intensification: Open to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2021,Intensification: Open to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2031,Intensification: Open to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2041,Intensification: Open to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2051,Intensification: Open to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2061,Intensification: Open to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2071,Intensification: Open to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2081,Intensification: Open to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2091,Intensification: Open to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2017,Intensification: Open to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2021,Intensification: Open to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2031,Intensification: Open to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2041,Intensification: Open to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2051,Intensification: Open to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2061,Intensification: Open to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2071,Intensification: Open to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2081,Intensification: Open to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2091,Intensification: Open to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2017,Intensification: Low to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2021,Intensification: Low to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2031,Intensification: Low to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2041,Intensification: Low to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2051,Intensification: Low to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2061,Intensification: Low to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2071,Intensification: Low to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2081,Intensification: Low to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2091,Intensification: Low to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2017,Intensification: Low to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2021,Intensification: Low to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2031,Intensification: Low to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2041,Intensification: Low to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2051,Intensification: Low to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2061,Intensification: Low to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2071,Intensification: Low to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2081,Intensification: Low to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Amador,2091,Intensification: Low to Medium [Type],0,Normal,Iteration and Timestep,0,0,0
Butte,2017,Intensification: Open to Low [Type],11.666666666666668,Normal,Iteration and Timestep,11.666666666666668,0,23.333333333333336
Butte,2021,Intensification: Open to Low [Type],12.5,Normal,Iteration and Timestep,12.5,0,25
Butte,2031,Intensification: Open to Low [Type],19.166666666666664,Normal,Iteration and Timestep,19.166666666666664,0,38.33333333333333
Butte,2041,Intensification: Open to Low [Type],20,Normal,Iteration and Timestep,20,0,40
Butte,2051,Intensification: Open to Low [Type],20.833333333333336,Normal,Iteration and Timestep,20.833333333333336,0,41.66666666666667
Butte,2061,Intensification: Open to Low [Type],20.833333333333336,Normal,Iteration and Timestep,20.833333333333336,0,41.66666666666667
Butte,2071,Intensification: Open to Low [Type],16.666666666666668,Normal,Iteration and Timestep,16.666666666666668,0,33.333333333333336
Butte,2081,Intensification: Open to Low [Type],16.666666666666668,Normal,Iteration and Timestep,16.666666666666668,0,33.333333333333336
Butte,2091,Intensification: Open to Low [Type],21.66666666666667,Normal,Iteration and Timestep,21.66666666666667,0,43.33333333333334
Butte,2017,Intensification: Open to Low [Type],11.666666666666668,Normal,Iteration and Timestep,11.666666666666668,0,23.333333333333336
Butte,2021,Intensification: Open to Low [Type],12.5,Normal,Iteration and Timestep,12.5,0,25
Butte,2031,Intensification: Open to Low [Type],19.166666666666664,Normal,Iteration and Timestep,19.166666666666664,0,38.33333333333333
Butte,2041,Intensification: Open to Low [Type],20,Normal,Iteration and Timestep,20,0,40
Butte,2051,Intensification: Open to Low [Type],20.833333333333336,Normal,Iteration and Timestep,20.833333333333336,0,41.66666666666667
Butte,2061,Intensification: Open to Low [Type],20.833333333333336,Normal,Iteration and Timestep,20.833333333333336,0,41.66666666666667
Butte,2071,Intensification: Open to Low [Type],16.666666666666668,Normal,Iteration and Timestep,16.666666666666668,0,33.333333333333336
Butte,2081,Intensification: Open to Low [Type],16.666666666666668,Normal,Iteration and Timestep,16.666666666666668,0,33.333333333333336
Butte,2091,Intensification: Open to Low [Type],21.66666666666667,Normal,Iteration and Timestep,21.66666666666667,0,43.33333333333334
Butte,2017,Intensification: Open to Medium [Type],3.888888888888889,Normal,Iteration and Timestep,6.735753140545634,0,11.666666666666668
Butte,2021,Intensification: Open to Medium [Type],4.166666666666666,Normal,Iteration and Timestep,7.216878364870322,0,12.5
Butte,2031,Intensification: Open to Medium [Type],6.3888888888888875,Normal,Iteration and Timestep,11.065880159467826,0,19.166666666666664
Butte,2041,Intensification: Open to Medium [Type],6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Butte,2051,Intensification: Open to Medium [Type],6.944444444444445,Normal,Iteration and Timestep,12.028130608117204,0,20.833333333333336
Butte,2061,Intensification: Open to Medium [Type],6.944444444444445,Normal,Iteration and Timestep,12.028130608117204,0,20.833333333333336
Butte,2071,Intensification: Open to Medium [Type],5.555555555555555,Normal,Iteration and Timestep,9.622504486493762,0,16.666666666666668
Butte,2081,Intensification: Open to Medium [Type],5.555555555555555,Normal,Iteration and Timestep,9.622504486493762,0,16.666666666666668
Butte,2091,Intensification: Open to Medium [Type],7.222222222222222,Normal,Iteration and Timestep,12.509255832441893,0,21.66666666666667
Butte,2017,Intensification: Open to Medium [Type],3.888888888888889,Normal,Iteration and Timestep,6.735753140545634,0,11.666666666666668
Butte,2021,Intensification: Open to Medium [Type],4.166666666666666,Normal,Iteration and Timestep,7.216878364870322,0,12.5
Butte,2031,Intensification: Open to Medium [Type],6.3888888888888875,Normal,Iteration and Timestep,11.065880159467826,0,19.166666666666664
Butte,2041,Intensification: Open to Medium [Type],6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Butte,2051,Intensification: Open to Medium [Type],6.944444444444445,Normal,Iteration and Timestep,12.028130608117204,0,20.833333333333336
