SecondaryStratumID,Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
Colusa,2051,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Colusa,2061,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Colusa,2071,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Colusa,2081,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Colusa,2091,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Contra Costa,2017,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Contra Costa,2021,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Contra Costa,2031,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Contra Costa,2041,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Contra Costa,2051,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Contra Costa,2061,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Contra Costa,2071,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Contra Costa,2081,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Contra Costa,2091,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Del Norte,2017,Management: Forest Clearcut,129.8024198622872,Normal,Iteration and Timestep,153.01860445801665,0,486.75907448357697
Del Norte,2021,Management: Forest Clearcut,173.16577674702913,Normal,Iteration and Timestep,204.13783907750917,0,649.3716628013592
Del Norte,2031,Management: Forest Clearcut,179.78174496161662,Normal,Iteration and Timestep,211.9371252881117,0,674.1815436060623
Del Norte,2041,Management: Forest Clearcut,196.53740359203928,Normal,Iteration and Timestep,231.68966536496367,0,737.0152634701473
Del Norte,2051,Management: Forest Clearcut,186.82918936411198,Normal,Iteration and Timestep,220.24506059940566,0,700.6094601154199
Del Norte,2061,Management: Forest Clearcut,164.32051489491758,Normal,Iteration and Timestep,193.71053251333407,0,616.2019308559409
Del Norte,2071,Management: Forest Clearcut,139.58254678819912,Normal,Iteration and Timestep,164.54798407368992,0,523.4345504557467
Del Norte,2081,Management: Forest Clearcut,128.5799039965482,Normal,Iteration and Timestep,151.57743200605748,0,482.17463998705574
Del Norte,2091,Management: Forest Clearcut,102.33176923215218,Normal,Iteration and Timestep,120.63461171399318,0,383.74413462057066
El Dorado,2017,Management: Forest Clearcut,411.0409962305761,Normal,Iteration and Timestep,409.7160549576928,0,1362.9254085540156
El Dorado,2021,Management: Forest Clearcut,548.3582930322589,Normal,Iteration and Timestep,546.5907259490992,0,1818.2406558438056
El Dorado,2031,Management: Forest Clearcut,569.3088590451193,Normal,Iteration and Timestep,567.4737603292144,0,1887.7083220969744
El Dorado,2041,Management: Forest Clearcut,622.3684447081243,Normal,Iteration and Timestep,620.3623147918971,0,2063.6427377164123
El Dorado,2051,Management: Forest Clearcut,591.625766319688,Normal,Iteration and Timestep,589.7187317341196,0,1961.7064883231758
El Dorado,2061,Management: Forest Clearcut,520.348297167239,Normal,Iteration and Timestep,518.671016940902,0,1725.3654063966344
El Dorado,2071,Management: Forest Clearcut,442.01139816263054,Normal,Iteration and Timestep,440.586627519602,0,1465.6167412760908
El Dorado,2081,Management: Forest Clearcut,407.1696959890693,Normal,Iteration and Timestep,405.85723338745413,0,1350.0889919637561
El Dorado,2091,Management: Forest Clearcut,324.0506025684819,Normal,Iteration and Timestep,323.0060643793888,0,1074.483576937598
Fresno,2017,Management: Forest Clearcut,70.30964409207223,Normal,Iteration and Timestep,124.06850053236741,0,486.75907448357697
Fresno,2021,Management: Forest Clearcut,93.79812907130744,Normal,Iteration and Timestep,165.5163153916569,0,649.3716628013592
Fresno,2031,Management: Forest Clearcut,97.38177852087567,Normal,Iteration and Timestep,171.840028438182,0,674.1815436060623
Fresno,2041,Management: Forest Clearcut,106.45776027902127,Normal,Iteration and Timestep,187.85551908862055,0,737.0152634701473
Fresno,2051,Management: Forest Clearcut,101.199144238894,Normal,Iteration and Timestep,178.57615755295873,0,700.6094601154199
Fresno,2061,Management: Forest Clearcut,89.00694556808035,Normal,Iteration and Timestep,157.06178599249833,0,616.2019308559409
Fresno,2071,Management: Forest Clearcut,75.60721284360787,Normal,Iteration and Timestep,133.41659807940448,0,523.4345504557467
Fresno,2081,Management: Forest Clearcut,69.64744799813027,Normal,Iteration and Timestep,122.89998833898775,0,482.17463998705574
Fresno,2091,Management: Forest Clearcut,55.429708334082434,Normal,Iteration and Timestep,97.81134418701319,0,383.74413462057066
Glenn,2017,Management: Forest Clearcut,59.49277577021497,Normal,Iteration and Timestep,125.55737582048259,0,389.4072595868616
Glenn,2021,Management: Forest Clearcut,79.36764767572168,Normal,Iteration and Timestep,167.50258225801775,0,519.4973302410873
Glenn,2031,Management: Forest Clearcut,82.39996644074095,Normal,Iteration and Timestep,173.9021825768457,0,539.3452348848498
Glenn,2041,Management: Forest Clearcut,90.079643313018,Normal,Iteration and Timestep,190.1098659930077,0,589.6122107761178
Glenn,2051,Management: Forest Clearcut,85.63004512521799,Normal,Iteration and Timestep,180.71914813385803,0,560.4875680923359
Glenn,2061,Management: Forest Clearcut,75.31356932683723,Normal,Iteration and Timestep,158.94659487523694,0,492.9615446847527
Glenn,2071,Management: Forest Clearcut,63.97533394459127,Normal,Iteration and Timestep,135.01765455266298,0,418.7476403645974
Glenn,2081,Management: Forest Clearcut,58.93245599841793,Normal,Iteration and Timestep,124.37484097896004,0,385.7397119896446
Glenn,2091,Management: Forest Clearcut,46.90206089806975,Normal,Iteration and Timestep,98.98512232274057,0,306.9953076964565
Humboldt,2017,Management: Forest Clearcut,1238.531422852657,Normal,Iteration and Timestep,1205.2423689520654,0,4964.942559732485
Humboldt,2021,Management: Forest Clearcut,1652.2901197945694,Normal,Iteration and Timestep,1607.880124341592,0,6623.590960573863
Humboldt,2031,Management: Forest Clearcut,1715.417483175425,Normal,Iteration and Timestep,1669.3107603214203,0,6876.651744781835
Humboldt,2041,Management: Forest Clearcut,1875.2943926073744,Normal,Iteration and Timestep,1824.8905231833764,0,7517.555687395502
Humboldt,2051,Management: Forest Clearcut,1782.6618485159017,Normal,Iteration and Timestep,1734.7477421260198,0,7146.216493177283
Humboldt,2061,Management: Forest Clearcut,1567.8915796223384,Normal,Iteration and Timestep,1525.7500349337781,0,6285.259694730597
Humboldt,2071,Management: Forest Clearcut,1331.8501339374,Normal,Iteration and Timestep,1296.0528743135505,0,5339.032414648616
Humboldt,2081,Management: Forest Clearcut,1226.866583967064,Normal,Iteration and Timestep,1193.8910557818797,0,4918.181327867968
Humboldt,2091,Management: Forest Clearcut,976.4156314234519,Normal,Iteration and Timestep,950.1716847749525,0,3914.190173129821
Imperial,2017,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Imperial,2021,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Imperial,2031,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Imperial,2041,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Imperial,2051,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Imperial,2061,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Imperial,2071,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Imperial,2081,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Imperial,2091,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Inyo,2017,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Inyo,2021,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Inyo,2031,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Inyo,2041,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Inyo,2051,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Inyo,2061,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Inyo,2071,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
Inyo,2081,Management: Forest Clearcut,0,Normal,Iteration and Timestep,0,0,0
