SecondaryStratumID,Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
Colusa,2091,Management: Forest Clearcut [Type],191.87206731028533,Normal,Iteration and Timestep,682.0314990979517
Contra Costa,2017,Management: Forest Clearcut [Type],5.408434160928633,Normal,Iteration and Timestep,22.94604282476167
Contra Costa,2021,Management: Forest Clearcut [Type],7.215240697792879,Normal,Iteration and Timestep,30.611673751815008
Contra Costa,2031,Management: Forest Clearcut [Type],7.490906040067359,Normal,Iteration and Timestep,31.78122274897738
Contra Costa,2041,Management: Forest Clearcut [Type],8.189058483001636,Normal,Iteration and Timestep,34.74323270918207
Contra Costa,2051,Management: Forest Clearcut [Type],7.784549556837999,Normal,Iteration and Timestep,33.02704668073729
Contra Costa,2061,Management: Forest Clearcut [Type],6.8466881206215655,Normal,Iteration and Timestep,29.048037592565322
Contra Costa,2071,Management: Forest Clearcut [Type],5.8159394495082966,Normal,Iteration and Timestep,24.674941342306035
Contra Costa,2081,Management: Forest Clearcut [Type],5.357495999856175,Normal,Iteration and Timestep,22.72993051006862
Contra Costa,2091,Management: Forest Clearcut [Type],4.263823718006341,Normal,Iteration and Timestep,18.089871988717924
Del Norte,2017,Management: Forest Clearcut [Type],329.9144838166466,Normal,Iteration and Timestep,216.75849626553938
Del Norte,2021,Management: Forest Clearcut [Type],440.12968256536567,Normal,Iteration and Timestep,289.171445433473
Del Norte,2031,Management: Forest Clearcut [Type],456.94526844410893,Normal,Iteration and Timestep,300.21952391348947
Del Norte,2041,Management: Forest Clearcut [Type],499.53256746309984,Normal,Iteration and Timestep,328.1999835422266
Del Norte,2051,Management: Forest Clearcut [Type],474.857522967118,Normal,Iteration and Timestep,311.9881292508982
Del Norte,2061,Management: Forest Clearcut [Type],417.6479753579155,Normal,Iteration and Timestep,274.4006448569293
Del Norte,2071,Management: Forest Clearcut [Type],354.77230642000615,Normal,Iteration and Timestep,233.09043836643318
Del Norte,2081,Management: Forest Clearcut [Type],326.80725599122667,Normal,Iteration and Timestep,214.71700350292764
Del Norte,2091,Management: Forest Clearcut [Type],260.0932467983868,Normal,Iteration and Timestep,170.8849530115582
El Dorado,2017,Management: Forest Clearcut [Type],2093.064020279381,Normal,Iteration and Timestep,1109.6047148566772
El Dorado,2021,Management: Forest Clearcut [Type],2792.2981500458445,Normal,Iteration and Timestep,1480.2926057478553
El Dorado,2031,Management: Forest Clearcut [Type],2898.980637506068,Normal,Iteration and Timestep,1536.8486355355642
El Dorado,2041,Management: Forest Clearcut [Type],3169.165632921633,Normal,Iteration and Timestep,1680.0829283674784
El Dorado,2051,Management: Forest Clearcut [Type],3012.6206784963056,Normal,Iteration and Timestep,1597.0931020485582
El Dorado,2061,Management: Forest Clearcut [Type],2649.668302680546,Normal,Iteration and Timestep,1404.6796528795055
El Dorado,2071,Management: Forest Clearcut [Type],2250.768566959711,Normal,Iteration and Timestep,1193.209280629812
El Dorado,2081,Management: Forest Clearcut [Type],2073.3509519443396,Normal,Iteration and Timestep,1099.1541441350353
El Dorado,2091,Management: Forest Clearcut [Type],1650.0997788684538,Normal,Iteration and Timestep,874.774243346843
Fresno,2017,Management: Forest Clearcut [Type],1384.55914519773,Normal,Iteration and Timestep,1272.626508810574
Fresno,2021,Management: Forest Clearcut [Type],1847.101618634977,Normal,Iteration and Timestep,1697.7754200641896
Fresno,2031,Management: Forest Clearcut [Type],1917.671946257244,Normal,Iteration and Timestep,1762.6405939204626
Fresno,2041,Management: Forest Clearcut [Type],2096.398971648419,Normal,Iteration and Timestep,1926.9186972738496
Fresno,2051,Management: Forest Clearcut [Type],1992.8446865505277,Normal,Iteration and Timestep,1831.7361052021447
