Timestep,SecondaryStratumID,TransitionGroupID,Amount,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2091,Contra Costa,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2017,Del Norte,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2021,Del Norte,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2031,Del Norte,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2041,Del Norte,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2051,Del Norte,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2061,Del Norte,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2071,Del Norte,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2081,Del Norte,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2091,Del Norte,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2017,El Dorado,Ag Expansion: Cropland,29.055298554285713,Iteration and Timestep,37.66736846192664,0.15031194285714286,126.93843574285714
2021,El Dorado,Ag Expansion: Cropland,40.230413382857144,Iteration and Timestep,52.15481787035997,0.2081242285714286,175.76091102857143
2031,El Dorado,Ag Expansion: Cropland,58.110597108571426,Iteration and Timestep,75.33473692385328,0.3006238857142857,253.87687148571428
2041,El Dorado,Ag Expansion: Cropland,51.40552821142857,Iteration and Timestep,66.64226727879328,0.2659365142857143,224.5833863142857
2051,El Dorado,Ag Expansion: Cropland,58.110597108571426,Iteration and Timestep,75.33473692385328,0.3006238857142857,253.87687148571428
2061,El Dorado,Ag Expansion: Cropland,55.87557414285714,Iteration and Timestep,72.43724704216662,0.2890614285714286,244.11237642857142
2071,El Dorado,Ag Expansion: Cropland,37.99539041714285,Iteration and Timestep,49.257327988673296,0.19656177142857142,165.99641597142855
2081,El Dorado,Ag Expansion: Cropland,15.645160759999998,Iteration and Timestep,20.28242917180665,0.08093719999999999,68.3514654
2091,El Dorado,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2017,Fresno,Ag Expansion: Cropland,258.63072971688626,Iteration and Timestep,218.12357607448882,13.33083294117647,798.897774117647
2021,Fresno,Ag Expansion: Cropland,312.5121317412375,Iteration and Timestep,263.565987756674,16.10808980392157,965.3348103921569
2031,Fresno,Ag Expansion: Cropland,312.5121317412375,Iteration and Timestep,263.565987756674,16.10808980392157,965.3348103921569
2041,Fresno,Ag Expansion: Cropland,258.63072971688626,Iteration and Timestep,218.12357607448882,13.33083294117647,798.897774117647
2051,Fresno,Ag Expansion: Cropland,231.69002870471058,Iteration and Timestep,195.40237023339625,11.94220450980392,715.6792559803922
2061,Fresno,Ag Expansion: Cropland,242.4663091095809,Iteration and Timestep,204.4908525698333,12.497655882352943,748.9666632352942
2071,Fresno,Ag Expansion: Cropland,156.25606587061876,Iteration and Timestep,131.782993878337,8.054044901960784,482.66740519607845
2081,Fresno,Ag Expansion: Cropland,102.37466384626748,Iteration and Timestep,86.34058219615183,5.2767880392156865,316.23036892156864
2091,Fresno,Ag Expansion: Cropland,37.716981417045915,Iteration and Timestep,31.809688177529623,1.9440798039215688,116.50592539215687
2017,Glenn,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2021,Glenn,Ag Expansion: Cropland,146.5075732777778,Iteration and Timestep,113.96565589079447,13.624428666666669,370.5574806666667
2031,Glenn,Ag Expansion: Cropland,73.2537866388889,Iteration and Timestep,56.98282794539723,6.812214333333334,185.27874033333336
2041,Glenn,Ag Expansion: Cropland,219.76135991666666,Iteration and Timestep,170.94848383619168,20.436643,555.836221
2051,Glenn,Ag Expansion: Cropland,219.76135991666666,Iteration and Timestep,170.94848383619168,20.436643,555.836221
2061,Glenn,Ag Expansion: Cropland,146.5075732777778,Iteration and Timestep,113.96565589079447,13.624428666666669,370.5574806666667
2071,Glenn,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2081,Glenn,Ag Expansion: Cropland,146.5075732777778,Iteration and Timestep,113.96565589079447,13.624428666666669,370.5574806666667
2091,Glenn,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2017,Humboldt,Ag Expansion: Cropland,0.2,Iteration and Timestep,0.1,0,0.4
2021,Humboldt,Ag Expansion: Cropland,0.1,Iteration and Timestep,0.05,0,0.2
2031,Humboldt,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2041,Humboldt,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2051,Humboldt,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2061,Humboldt,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2071,Humboldt,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2081,Humboldt,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2091,Humboldt,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2017,Imperial,Ag Expansion: Cropland,749.6808149999998,Iteration and Timestep,1078.5064198649022,80.31460615384614,3959.696861538461
2021,Imperial,Ag Expansion: Cropland,649.7233729999999,Iteration and Timestep,934.7055638829154,69.605992,3431.73728
2031,Imperial,Ag Expansion: Cropland,549.7659309999999,Iteration and Timestep,790.9047079009284,58.897377846153844,2903.7776984615384
2041,Imperial,Ag Expansion: Cropland,424.8191285,Iteration and Timestep,611.1536379234446,45.511610153846156,2243.8282215384615
2051,Imperial,Ag Expansion: Cropland,537.2712507499999,Iteration and Timestep,772.92960090318,57.558801076923075,2837.7827507692305
2061,Imperial,Ag Expansion: Cropland,337.35636675,Iteration and Timestep,485.3278889392061,36.14157276923077,1781.8635876923076
2071,Imperial,Ag Expansion: Cropland,462.30316924999994,Iteration and Timestep,665.0789589166898,49.527340461538465,2441.8130646153845
2081,Imperial,Ag Expansion: Cropland,387.33508774999996,Iteration and Timestep,557.2283169301995,41.49587984615385,2045.8433784615384
2091,Imperial,Ag Expansion: Cropland,287.37764574999994,Iteration and Timestep,413.4274609482125,30.787265692307688,1517.8837969230765
2017,Inyo,Ag Expansion: Cropland,0.1,Iteration and Timestep,0.05,0,0.2
2021,Inyo,Ag Expansion: Cropland,0.2,Iteration and Timestep,0.1,0,0.4
2031,Inyo,Ag Expansion: Cropland,0.1,Iteration and Timestep,0.05,0,0.2
2041,Inyo,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2051,Inyo,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2061,Inyo,Ag Expansion: Cropland,0.1,Iteration and Timestep,0.05,0,0.2
2071,Inyo,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2081,Inyo,Ag Expansion: Cropland,0.1,Iteration and Timestep,0.05,0,0.2
2091,Inyo,Ag Expansion: Cropland,0.1,Iteration and Timestep,0.05,0,0.2
2017,Kern,Ag Expansion: Cropland,1238.2978612748716,Iteration and Timestep,568.6913226191622,154.80048871999998,2293.0560943599994
2021,Kern,Ag Expansion: Cropland,1475.7796428892304,Iteration and Timestep,677.7554118885905,184.48825367999999,2732.8202768399997
2031,Kern,Ag Expansion: Cropland,1390.9647208841022,Iteration and Timestep,638.8039514352232,173.88548047999998,2575.7616402399995
2041,Kern,Ag Expansion: Cropland,1085.631001665641,Iteration and Timestep,498.57869380310115,135.71549696,2010.35054848
2051,Kern,Ag Expansion: Cropland,1187.4089080717947,Iteration and Timestep,545.3204463471418,148.4388248,2198.8209124
2061,Kern,Ag Expansion: Cropland,1051.7050328635896,Iteration and Timestep,482.99810962175417,131.47438768,1947.52709384
2071,Kern,Ag Expansion: Cropland,1102.5939860666665,Iteration and Timestep,506.36898589377455,137.8360516,2041.7622757999998
2081,Kern,Ag Expansion: Cropland,712.4453448430769,Iteration and Timestep,327.1922678082851,89.06329488,1319.29254744
2091,Kern,Ag Expansion: Cropland,593.7044540358974,Iteration and Timestep,272.6602231735709,74.2194124,1099.4104562
2017,Kings,Ag Expansion: Cropland,3581.2603260416663,Iteration and Timestep,3026.9903543006867,280.7509125,8694.42578125
2021,Kings,Ag Expansion: Cropland,2793.3830543125,Iteration and Timestep,2361.052476354536,218.98571175,6781.652109375
2031,Kings,Ag Expansion: Cropland,3366.3847064791667,Iteration and Timestep,2845.370933042646,263.90585775,8172.7602343749995
2041,Kings,Ag Expansion: Cropland,2363.6318151874993,Iteration and Timestep,1997.813633838453,185.29560224999997,5738.321015624999
2051,Kings,Ag Expansion: Cropland,2793.3830543125,Iteration and Timestep,2361.052476354536,218.98571175,6781.652109375
2061,Kings,Ag Expansion: Cropland,1575.7545434583333,Iteration and Timestep,1331.8757558923023,123.53040150000001,3825.54734375
2071,Kings,Ag Expansion: Cropland,1074.3780978125,Iteration and Timestep,908.09710629020606,84.22527375,2608.327734375
2081,Kings,Ag Expansion: Cropland,1432.5041304166666,Iteration and Timestep,1210.7961417202748,112.300365,3477.7703125
2091,Kings,Ag Expansion: Cropland,1074.3780978125,Iteration and Timestep,908.09710629020606,84.22527375,2608.327734375
2017,Lake,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2021,Lake,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2031,Lake,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2041,Lake,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2051,Lake,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2061,Lake,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2071,Lake,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2081,Lake,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2091,Lake,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2017,Lassen,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2021,Lassen,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2031,Lassen,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2041,Lassen,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2051,Lassen,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2061,Lassen,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2071,Lassen,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2081,Lassen,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2091,Lassen,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2017,Los Angeles,Ag Expansion: Cropland,689.6564526518324,Iteration and Timestep,514.228727278067,173.01597764921465,1672.7017802041885
2021,Los Angeles,Ag Expansion: Cropland,828.4981807434554,Iteration and Timestep,617.7533225386679,207.84757710994762,2009.4503234136123
2031,Los Angeles,Ag Expansion: Cropland,760.2153636492145,Iteration and Timestep,566.8395871646019,190.71728229319368,1843.8362857696332
2041,Los Angeles,Ag Expansion: Cropland,707.8652038769633,Iteration and Timestep,527.805723377818,177.5840562670157,1716.865523575916
2051,Los Angeles,Ag Expansion: Cropland,805.7372417120417,Iteration and Timestep,600.7820774139793,202.1374788376963,1954.2456441989527
