Timestep,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2017,Alameda,Urbanization,358.44083370967735,Normal,Iteration and Timestep,230.76402937210273,106.23007499999999,943.7342791935482
2021,Alameda,Urbanization,593.9876672903225,Normal,Iteration and Timestep,382.40896295948454,176.03841,1563.9025198064514
2031,Alameda,Urbanization,747.6051674516127,Normal,Iteration and Timestep,481.3078326903857,221.56558499999997,1968.3600680322577
2041,Alameda,Urbanization,1044.599001096774,Normal,Iteration and Timestep,672.512314170128,309.58479,2750.3113279354834
2051,Alameda,Urbanization,1126.528334516129,Normal,Iteration and Timestep,725.2583780266086,333.86595,2966.0220203225804
2061,Alameda,Urbanization,1228.9400012903225,Normal,Iteration and Timestep,791.1909578472093,364.21739999999994,3235.6603858064514
2071,Alameda,Urbanization,1136.7695011935482,Normal,Iteration and Timestep,731.8516360086687,336.901095,2992.9858568709674
2081,Alameda,Urbanization,696.399334064516,Normal,Iteration and Timestep,448.3415427800853,206.38985999999997,1833.5408852903224
2091,Alameda,Urbanization,501.8171671935484,Normal,Iteration and Timestep,323.06964112094386,148.722105,1321.227990870968
2017,Alpine,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2021,Alpine,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2031,Alpine,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2041,Alpine,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2051,Alpine,Urbanization,10,Normal,Iteration and Timestep,5,0,20
2061,Alpine,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2071,Alpine,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2081,Alpine,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2091,Alpine,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2017,Amador,Urbanization,5.6360956458333336,Normal,Iteration and Timestep,5.408976040087828,0.25292875000000004,15.4792395
2021,Amador,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2031,Amador,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2041,Amador,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2051,Amador,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2061,Amador,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2071,Amador,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2081,Amador,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2091,Amador,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2017,Butte,Urbanization,72.15776205555557,Normal,Iteration and Timestep,47.52176436935262,17.82304591666667,153.6795085
2021,Butte,Urbanization,77.31188791666666,Normal,Iteration and Timestep,50.91617611002066,19.096120624999998,164.65661624999998
2031,Butte,Urbanization,118.54489480555554,Normal,Iteration and Timestep,78.07147003536501,29.280718291666663,252.47347824999997
2041,Butte,Urbanization,123.69902066666667,Normal,Iteration and Timestep,81.46588177603306,30.553793,263.450586
2051,Butte,Urbanization,128.8531465277778,Normal,Iteration and Timestep,84.8602935167011,31.826867708333335,274.42769375
2061,Butte,Urbanization,128.8531465277778,Normal,Iteration and Timestep,84.8602935167011,31.826867708333335,274.42769375
2071,Butte,Urbanization,103.08251722222222,Normal,Iteration and Timestep,67.88823481336088,25.461494166666668,219.542155
2081,Butte,Urbanization,103.08251722222222,Normal,Iteration and Timestep,67.88823481336088,25.461494166666668,219.542155
2091,Butte,Urbanization,134.0072723888889,Normal,Iteration and Timestep,88.25470525736915,33.09994241666667,285.4048015
2017,Calaveras,Urbanization,20,Normal,Iteration and Timestep,10,0,40
2021,Calaveras,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2031,Calaveras,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2041,Calaveras,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2051,Calaveras,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2061,Calaveras,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2071,Calaveras,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2081,Calaveras,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2091,Calaveras,Urbanization,20,Normal,Iteration and Timestep,10,0,40
2017,Colusa,Urbanization,1787.3631666666665,Normal,Iteration and Timestep,1209.1899002674816,212.46014999999997,4016.5085499999996
2021,Colusa,Urbanization,0,Normal,Iteration and Timestep,0,0,0
2031,Colusa,Urbanization,1429.8905333333332,Normal,Iteration and Timestep,967.3519202139852,169.96812,3213.20684
2041,Colusa,Urbanization,1787.3631666666665,Normal,Iteration and Timestep,1209.1899002674816,212.46014999999997,4016.5085499999996
2051,Colusa,Urbanization,2144.8358,Normal,Iteration and Timestep,1451.0278803209778,254.95217999999997,4819.810259999999
2061,Colusa,Urbanization,2502.308433333333,Normal,Iteration and Timestep,1692.865860374474,297.44421,5623.11197
2071,Colusa,Urbanization,2144.8358,Normal,Iteration and Timestep,1451.0278803209778,254.95217999999997,4819.810259999999
2081,Colusa,Urbanization,714.9452666666666,Normal,Iteration and Timestep,483.6759601069926,84.98406,1606.60342
2091,Colusa,Urbanization,1072.4179,Normal,Iteration and Timestep,725.5139401604889,127.47608999999999,2409.9051299999996
2017,Contra Costa,Urbanization,492.06466834508547,Normal,Iteration and Timestep,342.9267588298785,149.41214651282053,1048.282011897436
2021,Contra Costa,Urbanization,619.8736731100428,Normal,Iteration and Timestep,431.99864424023656,188.22049625641026,1320.563053948718
2031,Contra Costa,Urbanization,581.5309716805556,Normal,Iteration and Timestep,405.2770786171292,176.57799133333336,1238.8787413333334
2041,Contra Costa,Urbanization,651.825924301282,Normal,Iteration and Timestep,454.2666155928261,197.92258369230768,1388.6333144615385
2051,Contra Costa,Urbanization,511.2360190598291,Normal,Iteration and Timestep,356.28754164143226,155.233398974359,1089.1241682051284
2061,Contra Costa,Urbanization,472.8933176303419,Normal,Iteration and Timestep,329.5659760183248,143.59089405128205,1007.4398555897437
2071,Contra Costa,Urbanization,268.3989100064103,Normal,Iteration and Timestep,187.05095936175195,81.49753446153848,571.7901883076925
2081,Contra Costa,Urbanization,319.5225119123932,Normal,Iteration and Timestep,222.67971352589515,97.02087435897437,680.7026051282052
2091,Contra Costa,Urbanization,191.7135071474359,Normal,Iteration and Timestep,133.60782811553707,58.212524615384616,408.4215630769231
2017,Del Norte,Urbanization,50,Normal,Iteration and Timestep,25,0,100
2021,Del Norte,Urbanization,70,Normal,Iteration and Timestep,35,0,140
2031,Del Norte,Urbanization,50,Normal,Iteration and Timestep,25,0,100
2041,Del Norte,Urbanization,50,Normal,Iteration and Timestep,25,0,100
2051,Del Norte,Urbanization,80,Normal,Iteration and Timestep,40,0,160
2061,Del Norte,Urbanization,50,Normal,Iteration and Timestep,25,0,100
2071,Del Norte,Urbanization,100,Normal,Iteration and Timestep,50,0,200
2081,Del Norte,Urbanization,80,Normal,Iteration and Timestep,40,0,160
2091,Del Norte,Urbanization,100,Normal,Iteration and Timestep,50,0,200
2017,El Dorado,Urbanization,168.13354346666665,Normal,Iteration and Timestep,244.14023376813313,6.9605992,884.6435959999998
2021,El Dorado,Urbanization,270.21462342857143,Normal,Iteration and Timestep,392.3682328416426,11.186677285714287,1421.7486364285714
2031,El Dorado,Urbanization,324.2575481142857,Normal,Iteration and Timestep,470.8418794099711,13.424012742857144,1706.0983637142856
2041,El Dorado,Urbanization,396.31478102857136,Normal,Iteration and Timestep,575.4734081677424,16.407126685714285,2085.231333428571
2051,El Dorado,Urbanization,600.4769409523809,Normal,Iteration and Timestep,871.9294063147613,24.85928285714286,3159.441414285714
2061,El Dorado,Urbanization,558.4435550857143,Normal,Iteration and Timestep,810.8943478727281,23.11913305714286,2938.2805152857145
2071,El Dorado,Urbanization,432.3433974857143,Normal,Iteration and Timestep,627.7891725466282,17.89868365714286,2274.797818285714
2081,El Dorado,Urbanization,378.30047279999997,Normal,Iteration and Timestep,549.3155259782997,15.6613482,1990.4480909999997
2091,El Dorado,Urbanization,342.2718563428571,Normal,Iteration and Timestep,496.99976159941394,14.169791228571428,1800.881606142857
2017,Fresno,Urbanization,1115.7963378153597,Normal,Iteration and Timestep,489.4370264704293,466.38871247058836,2009.4207228823532
2021,Fresno,Urbanization,1200.5403634722222,Normal,Iteration and Timestep,526.6094588605885,501.81064000000003,2162.034955
2031,Fresno,Urbanization,1567.7644746519609,Normal,Iteration and Timestep,687.6899992179449,655.3056592941177,2823.363294176471
2041,Fresno,Urbanization,1412.4004276143792,Normal,Iteration and Timestep,619.5405398359864,590.3654588235295,2543.5705352941177
2051,Fresno,Urbanization,1666.6325045849676,Normal,Iteration and Timestep,731.057837006464,696.6312414117648,3001.413231647059
2061,Fresno,Urbanization,1596.0124832042484,Normal,Iteration and Timestep,700.0808100146646,667.1129684705883,2874.234704882353
2071,Fresno,Urbanization,1186.4163591960785,Normal,Iteration and Timestep,520.4140534622286,495.90698541176477,2136.599249647059
2081,Fresno,Urbanization,1355.904410509804,Normal,Iteration and Timestep,594.7589182425469,566.7508404705883,2441.827713882353
2091,Fresno,Urbanization,1016.928307882353,Normal,Iteration and Timestep,446.0691886819102,425.06313035294124,1831.3707854117647
2017,Glenn,Urbanization,32.08822741666667,Normal,Iteration and Timestep,27.785359670836343,7.284348,82.758287
2021,Glenn,Urbanization,21.392151611111114,Normal,Iteration and Timestep,18.523573113890897,4.856232,55.17219133333334
2031,Glenn,Urbanization,21.392151611111114,Normal,Iteration and Timestep,18.523573113890897,4.856232,55.17219133333334
2041,Glenn,Urbanization,53.480379027777786,Normal,Iteration and Timestep,46.30893278472724,12.14058,137.93047833333333
2051,Glenn,Urbanization,21.392151611111114,Normal,Iteration and Timestep,18.523573113890897,4.856232,55.17219133333334
2061,Glenn,Urbanization,32.08822741666667,Normal,Iteration and Timestep,27.785359670836343,7.284348,82.758287
2071,Glenn,Urbanization,21.392151611111114,Normal,Iteration and Timestep,18.523573113890897,4.856232,55.17219133333334
2081,Glenn,Urbanization,21.392151611111114,Normal,Iteration and Timestep,18.523573113890897,4.856232,55.17219133333334
2091,Glenn,Urbanization,42.78430322222223,Normal,Iteration and Timestep,37.047146227781795,9.712464,110.34438266666668
2017,Humboldt,Urbanization,90,Normal,Iteration and Timestep,45,0,180
2021,Humboldt,Urbanization,160,Normal,Iteration and Timestep,80,0,320
2031,Humboldt,Urbanization,180,Normal,Iteration and Timestep,90,0,360
2041,Humboldt,Urbanization,150,Normal,Iteration and Timestep,75,0,300
2051,Humboldt,Urbanization,229.99999999999997,Normal,Iteration and Timestep,114.99999999999999,0,459.99999999999994
2061,Humboldt,Urbanization,260,Normal,Iteration and Timestep,130,0,520
2071,Humboldt,Urbanization,290,Normal,Iteration and Timestep,145,0,580
2081,Humboldt,Urbanization,340,Normal,Iteration and Timestep,170,0,680
2091,Humboldt,Urbanization,300,Normal,Iteration and Timestep,150,0,600
2017,Imperial,Urbanization,669.7397651538462,Normal,Iteration and Timestep,827.2826736010062,133.63976907692307,3079.177949769231
2021,Imperial,Urbanization,1041.8174124615384,Normal,Iteration and Timestep,1286.8841589348986,207.88408523076922,4789.832366307693
2031,Imperial,Urbanization,1165.8432948974357,Normal,Iteration and Timestep,1440.084654046196,232.63219061538462,5360.050505153846
2041,Imperial,Urbanization,1066.6225889487177,Normal,Iteration and Timestep,1317.524257957158,212.8337063076923,4903.875994076922
2051,Imperial,Urbanization,1116.2329419230769,Normal,Iteration and Timestep,1378.8044560016767,222.73294846153843,5131.963249615384
2061,Imperial,Urbanization,1091.4277654358973,Normal,Iteration and Timestep,1348.1643569794176,217.78332738461538,5017.919621846154
2071,Imperial,Urbanization,1091.4277654358973,Normal,Iteration and Timestep,1348.1643569794176,217.78332738461538,5017.919621846154
2081,Imperial,Urbanization,1165.8432948974357,Normal,Iteration and Timestep,1440.084654046196,232.63219061538462,5360.050505153846
2091,Imperial,Urbanization,1215.4536478717948,Normal,Iteration and Timestep,1501.364852090715,242.53143276923075,5588.137760692307
2017,Inyo,Urbanization,40,Normal,Iteration and Timestep,20,0,80
2021,Inyo,Urbanization,10,Normal,Iteration and Timestep,5,0,20
2031,Inyo,Urbanization,30,Normal,Iteration and Timestep,15,0,60
2041,Inyo,Urbanization,10,Normal,Iteration and Timestep,5,0,20
2051,Inyo,Urbanization,30,Normal,Iteration and Timestep,15,0,60
2061,Inyo,Urbanization,80,Normal,Iteration and Timestep,40,0,160
2071,Inyo,Urbanization,40,Normal,Iteration and Timestep,20,0,80
2081,Inyo,Urbanization,20,Normal,Iteration and Timestep,10,0,40
2091,Inyo,Urbanization,80,Normal,Iteration and Timestep,40,0,160
2017,Kern,Urbanization,1360.8677042358972,Normal,Iteration and Timestep,664.7944363664278,437.3171811333333,2387.701358133333
2021,Kern,Urbanization,2097.3372853517944,Normal,Iteration and Timestep,1024.5655431059063,673.9829497466666,3679.869151946666
2031,Kern,Urbanization,2193.398535062564,Normal,Iteration and Timestep,1071.49220920236,704.8523978266666,3848.412777226666
2041,Kern,Urbanization,2289.4597847733335,Normal,Iteration and Timestep,1118.4188752988139,735.7218459066667,4016.956402506666
2051,Kern,Urbanization,2577.643533905641,Normal,Iteration and Timestep,1259.1988735881753,828.3301901466667,4522.587278346667
2061,Kern,Urbanization,1953.2454107856406,Normal,Iteration and Timestep,954.1755439612257,627.6787776266665,3427.053714026666
2071,Kern,Urbanization,2433.551659339487,Normal,Iteration and Timestep,1188.8088744434942,782.0260180266665,4269.771840426665
2081,Kern,Urbanization,1985.2658273558973,Normal,Iteration and Timestep,969.8177659933771,637.9685936533333,3483.2349224533327
2091,Kern,Urbanization,1665.0616616533332,Normal,Iteration and Timestep,813.3955456718646,535.0704333866667,2921.4228381866665
