Timestep,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2021,Contra Costa,Ag Expansion,261.0468981613248,Normal,Iteration and Timestep,742.6361975931164,0,2613.9498865128207
2031,Contra Costa,Ag Expansion,244.89966734722225,Normal,Iteration and Timestep,696.6999379481814,0,2452.262264666667
2041,Contra Costa,Ag Expansion,274.50292383974363,Normal,Iteration and Timestep,780.9164139638956,0,2748.6895713846156
2051,Contra Costa,Ag Expansion,215.2964108547009,Normal,Iteration and Timestep,612.4834619324672,0,2155.8349579487185
2061,Contra Costa,Ag Expansion,199.1491800405983,Normal,Iteration and Timestep,566.5472022875322,0,1994.1473361025644
2071,Contra Costa,Ag Expansion,113.03061569871798,Normal,Iteration and Timestep,321.5538175145453,0,1131.8133529230772
2081,Contra Costa,Ag Expansion,134.56025678418806,Normal,Iteration and Timestep,382.802163707792,0,1347.3968487179488
2091,Contra Costa,Ag Expansion,80.73615407051282,Normal,Iteration and Timestep,229.68129822467517,0,808.4381092307693
2017,Del Norte,Ag Expansion,0.5,Normal,Iteration and Timestep,0.25,0,1
2021,Del Norte,Ag Expansion,0.7,Normal,Iteration and Timestep,0.35,0,1.4
2031,Del Norte,Ag Expansion,0.5,Normal,Iteration and Timestep,0.25,0,1
2041,Del Norte,Ag Expansion,0.5,Normal,Iteration and Timestep,0.25,0,1
2051,Del Norte,Ag Expansion,0.8,Normal,Iteration and Timestep,0.4,0,1.6
2061,Del Norte,Ag Expansion,0.5,Normal,Iteration and Timestep,0.25,0,1
2071,Del Norte,Ag Expansion,1,Normal,Iteration and Timestep,0.5,0,2
2081,Del Norte,Ag Expansion,0.8,Normal,Iteration and Timestep,0.4,0,1.6
2091,Del Norte,Ag Expansion,1,Normal,Iteration and Timestep,0.5,0,2
2017,El Dorado,Ag Expansion,53.02735553333333,Normal,Iteration and Timestep,76.72006587479399,0.32374879999999995,273.4058616
2021,El Dorado,Ag Expansion,85.22253567857143,Normal,Iteration and Timestep,123.30010587020465,0.5203105714285714,439.40227757142856
2031,El Dorado,Ag Expansion,102.26704281428572,Normal,Iteration and Timestep,147.96012704424558,0.6243726857142857,527.2827330857143
2041,El Dorado,Ag Expansion,124.99305232857142,Normal,Iteration and Timestep,180.84015527630015,0.7631221714285714,644.4566737714285
2051,El Dorado,Ag Expansion,189.38341261904762,Normal,Iteration and Timestep,274.0002352671214,1.1562457142857143,976.4495057142857
2061,El Dorado,Ag Expansion,176.12657373571432,Normal,Iteration and Timestep,254.82021879842296,1.0753085142857144,908.0980403142858
2071,El Dorado,Ag Expansion,136.3560570857143,Normal,Iteration and Timestep,197.28016939232745,0.8324969142857144,703.0436441142857
2081,El Dorado,Ag Expansion,119.31154995,Normal,Iteration and Timestep,172.62014821828652,0.7284348,615.1631886
2091,El Dorado,Ag Expansion,107.94854519285714,Normal,Iteration and Timestep,156.18013410225922,0.6590600571428571,556.5762182571428
2017,Fresno,Ag Expansion,425.66307599237535,Normal,Iteration and Timestep,358.99505228926296,21.940329215686276,1314.8525865686277
2021,Fresno,Ag Expansion,457.9919172069861,Normal,Iteration and Timestep,386.26049929857396,23.606683333333333,1414.7148083333334
2031,Fresno,Ag Expansion,598.0835624702995,Normal,Iteration and Timestep,504.41076967225547,30.82755117647059,1847.451102647059
2041,Fresno,Ag Expansion,538.814020243513,Normal,Iteration and Timestep,454.4241168218518,27.77256862745098,1664.3703627450982
2051,Fresno,Ag Expansion,635.8005438873454,Normal,Iteration and Timestep,536.2204578497851,32.77163098039216,1963.9570280392159
2061,Fresno,Ag Expansion,608.8598428751698,Normal,Iteration and Timestep,513.4992520086925,31.383002549019608,1880.738509901961
2071,Fresno,Ag Expansion,452.603777004551,Normal,Iteration and Timestep,381.71625813035547,23.328957647058825,1398.0711047058826
2081,Fresno,Ag Expansion,517.2614594337725,Normal,Iteration and Timestep,436.24715214897765,26.66166588235294,1597.795548235294
2091,Fresno,Ag Expansion,387.9460945753294,Normal,Iteration and Timestep,327.1853641117333,19.996249411764705,1198.3466611764707
2017,Glenn,Ag Expansion,219.76135991666666,Normal,Iteration and Timestep,170.94848383619168,20.436643,555.836221
2021,Glenn,Ag Expansion,146.5075732777778,Normal,Iteration and Timestep,113.96565589079447,13.624428666666669,370.5574806666667
2031,Glenn,Ag Expansion,146.5075732777778,Normal,Iteration and Timestep,113.96565589079447,13.624428666666669,370.5574806666667
2041,Glenn,Ag Expansion,366.26893319444446,Normal,Iteration and Timestep,284.91413972698615,34.06107166666667,926.3937016666667
2051,Glenn,Ag Expansion,146.5075732777778,Normal,Iteration and Timestep,113.96565589079447,13.624428666666669,370.5574806666667
2061,Glenn,Ag Expansion,219.76135991666666,Normal,Iteration and Timestep,170.94848383619168,20.436643,555.836221
2071,Glenn,Ag Expansion,146.5075732777778,Normal,Iteration and Timestep,113.96565589079447,13.624428666666669,370.5574806666667
2081,Glenn,Ag Expansion,146.5075732777778,Normal,Iteration and Timestep,113.96565589079447,13.624428666666669,370.5574806666667
2091,Glenn,Ag Expansion,293.0151465555556,Normal,Iteration and Timestep,227.93131178158893,27.248857333333337,741.1149613333334
2017,Humboldt,Ag Expansion,0.9,Normal,Iteration and Timestep,0.45,0,1.8
2021,Humboldt,Ag Expansion,1.6,Normal,Iteration and Timestep,0.8,0,3.2
2031,Humboldt,Ag Expansion,1.8,Normal,Iteration and Timestep,0.9,0,3.6
2041,Humboldt,Ag Expansion,1.5,Normal,Iteration and Timestep,0.75,0,3
2051,Humboldt,Ag Expansion,2.3,Normal,Iteration and Timestep,1.15,0,4.6
2061,Humboldt,Ag Expansion,2.6,Normal,Iteration and Timestep,1.3,0,5.2
2071,Humboldt,Ag Expansion,2.9,Normal,Iteration and Timestep,1.45,0,5.8
2081,Humboldt,Ag Expansion,3.4,Normal,Iteration and Timestep,1.7,0,6.8
2091,Humboldt,Ag Expansion,3,Normal,Iteration and Timestep,1.5,0,6
2017,Imperial,Ag Expansion,337.35636675,Normal,Iteration and Timestep,485.3278889392061,36.14157276923077,1781.8635876923076
2021,Imperial,Ag Expansion,524.7765704999999,Normal,Iteration and Timestep,754.9544939054317,56.22022430769231,2771.787803076923
2031,Imperial,Ag Expansion,587.24997175,Normal,Iteration and Timestep,844.8300288941736,62.91310815384615,3101.7625415384614
2041,Imperial,Ag Expansion,537.2712507499999,Normal,Iteration and Timestep,772.92960090318,57.558801076923075,2837.7827507692305
2051,Imperial,Ag Expansion,562.2606112499999,Normal,Iteration and Timestep,808.8798148986767,60.235954615384614,2969.772646153846
2061,Imperial,Ag Expansion,549.7659309999999,Normal,Iteration and Timestep,790.9047079009284,58.897377846153844,2903.7776984615384
2071,Imperial,Ag Expansion,549.7659309999999,Normal,Iteration and Timestep,790.9047079009284,58.897377846153844,2903.7776984615384
2081,Imperial,Ag Expansion,587.24997175,Normal,Iteration and Timestep,844.8300288941736,62.91310815384615,3101.7625415384614
2091,Imperial,Ag Expansion,612.23933225,Normal,Iteration and Timestep,880.7802428896703,65.59026169230769,3233.752436923077
2017,Inyo,Ag Expansion,0.4,Normal,Iteration and Timestep,0.2,0,0.8
2021,Inyo,Ag Expansion,0.1,Normal,Iteration and Timestep,0.05,0,0.2
2031,Inyo,Ag Expansion,0.3,Normal,Iteration and Timestep,0.15,0,0.6
2041,Inyo,Ag Expansion,0.1,Normal,Iteration and Timestep,0.05,0,0.2
2051,Inyo,Ag Expansion,0.3,Normal,Iteration and Timestep,0.15,0,0.6
2061,Inyo,Ag Expansion,0.8,Normal,Iteration and Timestep,0.4,0,1.6
2071,Inyo,Ag Expansion,0.4,Normal,Iteration and Timestep,0.2,0,0.8
2081,Inyo,Ag Expansion,0.2,Normal,Iteration and Timestep,0.1,0,0.4
2091,Inyo,Ag Expansion,0.8,Normal,Iteration and Timestep,0.4,0,1.6
2017,Kern,Ag Expansion,1441.8536740871793,Normal,Iteration and Timestep,662.1748277072436,180.2471444,2669.9968221999998
2021,Kern,Ag Expansion,2222.1509565343586,Normal,Iteration and Timestep,1020.5282638782226,277.79265784,4114.9362789199995
2031,Kern,Ag Expansion,2323.9288629405123,Normal,Iteration and Timestep,1067.2700164222633,290.51598567999997,4303.406642839999
2041,Kern,Ag Expansion,2425.7067693466665,Normal,Iteration and Timestep,1114.011768966304,303.23931352,4491.87700676
2051,Kern,Ag Expansion,2731.0404885651283,Normal,Iteration and Timestep,1254.2370265984264,341.40929704,5057.28809852
2061,Kern,Ag Expansion,2069.4840969251277,Normal,Iteration and Timestep,950.4156350621614,258.70766607999997,3832.230733039999
2071,Kern,Ag Expansion,2578.373628955897,Normal,Iteration and Timestep,1184.124397782365,322.3243052799999,4774.5825526399985
2081,Kern,Ag Expansion,2103.4100657271792,Normal,Iteration and Timestep,965.9962192435083,262.94877536,3895.05418768
