SecondaryStratumID,Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
Alameda,2017,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Alameda,2021,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Alameda,2031,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Alameda,2041,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Alameda,2051,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Alameda,2061,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Alameda,2071,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Alameda,2081,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Alameda,2091,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Alpine,2017,Management: Forest Clearcut [Type],49.04446002552901,Normal,Iteration and Timestep,117.23725862046257
Alpine,2021,Management: Forest Clearcut [Type],51.68125895163273,Normal,Iteration and Timestep,123.54033704091755
Alpine,2031,Management: Forest Clearcut [Type],48.64894018661345,Normal,Iteration and Timestep,116.29179685739432
Alpine,2041,Management: Forest Clearcut [Type],42.089902857930475,Normal,Iteration and Timestep,100.61288928651257
Alpine,2051,Management: Forest Clearcut [Type],42.97982249549048,Normal,Iteration and Timestep,102.74017825341613
Alpine,2061,Management: Forest Clearcut [Type],37.40958476409639,Normal,Iteration and Timestep,89.42492509020498
Alpine,2071,Management: Forest Clearcut [Type],26.137269355003028,Normal,Iteration and Timestep,62.47926484275995
Alpine,2081,Management: Forest Clearcut [Type],16.809593153911152,Normal,Iteration and Timestep,40.18212493040048
Alpine,2091,Management: Forest Clearcut [Type],7.514876939395574,Normal,Iteration and Timestep,17.963773498296682
Amador,2017,Management: Forest Clearcut [Type],334.39404562860693,Normal,Iteration and Timestep,249.64810152015372
Amador,2021,Management: Forest Clearcut [Type],352.3722201247686,Normal,Iteration and Timestep,263.0700424620975
Amador,2031,Management: Forest Clearcut [Type],331.6973194541826,Normal,Iteration and Timestep,247.63481037886214
Amador,2041,Management: Forest Clearcut [Type],286.9766103949805,Normal,Iteration and Timestep,214.2477322857771
Amador,2051,Management: Forest Clearcut [Type],293.0442442874351,Normal,Iteration and Timestep,218.7776373536831
Amador,2061,Management: Forest Clearcut [Type],255.06535066429356,Normal,Iteration and Timestep,190.4237871138269
Amador,2071,Management: Forest Clearcut [Type],178.20865469320245,Normal,Iteration and Timestep,133.0449895870174
Amador,2081,Management: Forest Clearcut [Type],114.61086241303059,Normal,Iteration and Timestep,85.5648735048914
Amador,2091,Management: Forest Clearcut [Type],51.237797314060735,Normal,Iteration and Timestep,38.25253168453968
Butte,2017,Management: Forest Clearcut [Type],717.8325512827428,Normal,Iteration and Timestep,410.5803975526986
Butte,2021,Management: Forest Clearcut [Type],756.4256992011699,Normal,Iteration and Timestep,432.65461247488673
Butte,2031,Management: Forest Clearcut [Type],712.0435790949787,Normal,Iteration and Timestep,407.2692653143704
Butte,2041,Management: Forest Clearcut [Type],616.0431236478915,Normal,Iteration and Timestep,352.35965569542753
Butte,2051,Management: Forest Clearcut [Type],629.0683110703607,Normal,Iteration and Timestep,359.80970323166605
Butte,2061,Management: Forest Clearcut [Type],547.5402860926835,Normal,Iteration and Timestep,313.17792420854363
Butte,2071,Management: Forest Clearcut [Type],382.5545787414079,Normal,Iteration and Timestep,218.81065541618952
