county,class,1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016
Monterey, Prime Farmland,"176,779","176,892","176,738","176,356","175,448","174,681","173,238","170,774","169,255","169,338","169,369","167,638","166,812","166,252","166,327","166,188","165,517"
Monterey, Farmland of Statewide Importance,"37,762","37,678","37,905","37,297","37,396","37,961","38,209","38,714","45,877","44,998","44,546","43,401","43,091","43,372","43,823","43,994","44,508"
Monterey, Unique Farmland,"10,875","10,984","11,253","12,001","12,706","13,074","13,610","15,236","24,142","26,476","26,479","25,104","24,768","25,526","25,707","26,101","26,355"
Monterey, Farmland of Local Importance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monterey,Important Farmland Subtotal,"225,416","225,554","225,896","225,654","225,550","225,716","225,057","224,724","239,274","240,812","240,394","236,143","234,671","235,150","235,857","236,283","236,380"
Monterey, Grazing Land ,"1,081,510","1,081,159","1,080,857","1,080,441","1,080,482","1,080,452","1,078,186","1,076,031","1,060,663","1,057,448","1,066,538","1,065,575","1,066,494","1,065,697","1,063,390","1,062,699","1,063,918"
Monterey,Agricultural Land Subtotal,"1,306,926","1,306,713","1,306,753","1,306,095","1,306,032","1,306,168","1,303,243","1,300,755","1,299,937","1,298,260","1,306,932","1,301,718","1,301,165","1,300,847","1,299,247","1,298,982","1,300,298"
Monterey, Urban and Built-Up Land,"42,374","43,197","43,880","45,253","46,370","47,112","49,231","50,030","52,486","54,060","54,291","55,950","56,534","56,779","57,925","58,147","58,339"
Monterey, Other Land,"765,284","764,671","763,947","763,233","762,178","761,302","762,274","764,098","762,459","762,559","753,657","757,209","757,182","757,256","757,710","757,847","757,297"
Monterey, Water Area,"6,544","6,547","6,547","6,547","6,547","6,545","6,379","6,245","6,246","6,246","6,246","6,246","6,246","6,246","6,246","6,246","5,287"
Monterey,Total Area Inventoried,"2,121,128","2,121,128","2,121,127","2,121,128","2,121,127","2,121,127","2,121,127","2,121,128","2,121,128","2,121,125","2,121,126","2,121,123","2,121,127","2,121,128","2,121,128","2,121,222","2,121,221"
Modoc, Prime Farmland,,,,,,,,,,,,,"79,250","78,065","77,394","76,001","75,575"
Modoc, Farmland of Statewide Importance,,,,,,,,,,,,,"44,542","43,193","42,754","42,397","42,082"
Modoc, Unique Farmland,,,,,,,,,,,,,"13,971","14,555","14,747","16,531","16,538"
Modoc, Farmland of Local Importance,,,,,,,,,,,,,"148,176","150,183","151,460","150,395","253,857"
Modoc,Important Farmland Subtotal,,,,,,,,,,,,,"285,939","285,996","286,355","285,324","388,052"
Modoc, Grazing Land ,,,,,,,,,,,,,"814,860","814,097","813,708","813,805","711,317"
Modoc,Agricultural Land Subtotal,,,,,,,,,,,,,"1,100,799","1,100,093","1,100,063","1,099,129","1,099,369"
Modoc, Urban and Built-Up Land,,,,,,,,,,,,,"3,430","3,651","3,676","3,712","3,713"
Modoc, Other Land,,,,,,,,,,,,,"22,743","23,226","23,231","24,103","23,829"
Modoc, Water Area,,,,,,,,,,,,,"57,265","57,265","57,265","57,308","57,341"
Modoc,Total Area Inventoried,,,,,,,,,,,,,"1,184,237","1,184,235","1,184,235","1,184,252","1,184,252"
Mariposa, Prime Farmland,0,0,29,29,29,29,29,29,45,49,24,5,6,6,6,6,6
Mariposa, Farmland of Statewide Importance,14,73,98,98,98,98,98,98,76,117,98,24,41,49,48,38,15
Mariposa, Unique Farmland,116,116,116,131,131,131,131,131,137,60,56,65,284,285,295,292,108
Mariposa, Farmland of Local Importance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mariposa,Important Farmland Subtotal,130,189,243,258,258,258,258,258,258,226,178,94,331,340,349,336,129
Mariposa, Grazing Land ,"409,719","408,883","408,335","408,252","407,561","408,160","408,160","408,330","408,323","406,413","404,018","404,080","403,769","403,602","403,571","403,508","401,955"
Mariposa,Agricultural Land Subtotal,"409,849","409,072","408,578","408,510","407,819","408,418","408,418","408,588","408,581","406,639","404,196","404,174","404,100","403,942","403,920","403,844","402,084"
Mariposa, Urban and Built-Up Land,"3,324","3,022","2,098","2,120","2,120","2,139","2,144","2,226","2,226","2,378","2,406","2,421","2,423","2,441","2,444","2,463","2,322"
Mariposa, Other Land,"68,613","69,691","71,111","71,151","71,843","71,827","71,822","71,585","71,592","73,382","75,796","75,804","75,874","76,015","76,037","76,094","77,998"
Mariposa, Water Area,"6,659","6,659","6,659","6,664","6,664","6,063","6,063","6,047","6,047","6,047","6,047","6,047","6,047","6,047","6,047","6,047","6,047"
Mariposa,Total Area Inventoried,"488,445","488,444","488,446","488,445","488,446","488,447","488,447","488,446","488,446","488,446","488,445","488,446","488,444","488,445","488,448","488,448","488,451"
Napa, Prime Farmland,"25,870","27,151","27,803","28,261","28,467","29,548","29,519","29,936","31,515","31,894","32,446","31,999","31,742","31,621","31,379","30,655","30,619"
Napa, Farmland of Statewide Importance,"4,805","5,426","5,842","6,860","7,264","7,338","7,432","8,063","9,082","9,696","9,792","9,679","9,798","9,709","9,740","9,574","9,593"
Napa, Unique Farmland,"11,782","11,982","12,995","13,716","15,202","14,689","15,027","15,752","16,705","17,902","17,812","16,359","16,326","16,414","16,461","16,312","16,803"
Napa, Farmland of Local Importance,"26,970","25,950","25,784","23,540","22,764","22,387","22,142","20,653","21,104","19,714","19,280","18,991","18,490","18,463","18,562","18,651","18,326"
Napa,Important Farmland Subtotal,"69,427","70,509","72,424","72,377","73,697","73,962","74,120","74,404","78,406","79,206","79,330","77,028","76,356","76,207","76,142","75,192","75,341"
Napa, Grazing Land ,"191,670","190,811","189,537","188,236","187,324","186,961","186,722","185,643","180,920","180,181","179,907","179,299","178,957","179,029","179,036","178,987","179,202"
Napa,Agricultural Land Subtotal,"261,097","261,320","261,961","260,613","261,021","260,923","260,842","260,047","259,326","259,387","259,237","256,327","255,313","255,236","255,178","254,179","254,543"
Napa, Urban and Built-Up Land,"17,450","17,750","18,450","19,346","19,824","20,212","20,325","20,599","21,114","21,397","22,244","22,815","23,328","23,556","23,535","24,055","23,875"
Napa, Other Land,"204,767","204,245","202,903","203,296","202,413","202,075","202,157","202,678","203,024","202,676","201,981","204,320","204,825","204,670","203,796","204,275","204,063"
Napa, Water Area,"22,545","22,545","22,545","22,603","22,603","22,649","22,535","22,535","22,397","22,396","22,396","22,396","22,397","22,396","23,349","23,347","23,376"
Napa,Total Area Inventoried,"505,859","505,860","505,859","505,858","505,861","505,859","505,859","505,859","505,861","505,856","505,858","505,858","505,863","505,858","505,858","505,856","505,857"
Nevada, Prime Farmland,312,291,394,394,394,400,375,375,374,697,659,605,514,398,373,309,290
Nevada, Farmland of Statewide Importance,961,919,937,948,944,978,"1,013",988,987,"3,257","3,076","2,788","2,285","1,586","1,392","1,274","1,283"
Nevada, Unique Farmland,230,227,219,198,272,265,314,304,285,477,458,438,500,480,475,436,462
Nevada, Farmland of Local Importance,"32,349","33,145","33,077","33,186","19,616","19,568","19,888","20,279","20,327","24,297","22,851","22,964","22,664","23,470","23,705","23,411","6,043"
Nevada,Important Farmland Subtotal,"33,852","34,582","34,627","34,726","21,226","21,211","21,590","21,946","21,973","28,728","27,044","26,795","25,963","25,934","25,945","25,430","8,078"
Nevada, Grazing Land ,"128,377","127,069","126,890","125,400","130,970","130,986","130,367","129,889","129,758","121,986","121,983","117,931","116,866","116,808","116,784","117,278","133,508"
Nevada,Agricultural Land Subtotal,"162,229","161,651","161,517","160,126","152,196","152,197","151,957","151,835","151,731","150,714","149,027","144,726","142,829","142,742","142,729","142,708","141,586"
Nevada, Urban and Built-Up Land,"12,889","13,314","13,755","13,897","14,405","14,424","14,508","14,647","14,727","15,399","17,167","17,393","17,506","17,541","17,556","17,579","17,609"
Nevada, Other Land,"114,671","114,416","114,106","115,386","122,807","122,791","122,778","122,761","122,785","123,129","123,050","127,122","128,908","128,961","128,959","128,963","130,057"
Nevada, Water Area,"1,598","2,010","2,010","1,979","1,979","1,979","2,145","2,145","2,145","2,145","2,145","2,145","2,145","2,145","2,145","2,145","2,145"
Nevada,Total Area Inventoried,"291,387","291,391","291,388","291,388","291,387","291,391","291,388","291,388","291,388","291,387","291,389","291,386","291,388","291,389","291,389","291,395","291,397"
Orange, Prime Farmland,"19,945","19,755","16,637","14,537","14,016","13,111","13,068","11,099","10,247","8,531","7,259","6,267","3,772","3,243","3,071","2,551","2,391"
Orange, Farmland of Statewide Importance,"2,095","1,902","1,471","1,330","1,241","1,241","1,225",842,834,736,620,567,441,367,367,306,411
Orange, Unique Farmland,"4,495","4,889","5,664","5,299","4,993","5,562","5,943","6,259","5,872","5,343","5,601","5,081","4,209","3,655","3,599","3,214","2,913"
Orange, Farmland of Local Importance,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
Orange,Important Farmland Subtotal,"26,535","26,546","23,772","21,166","20,250","19,914","20,236","18,200","16,953","14,610","13,480","11,915","8,422","7,265","7,037","6,071","5,715"
Orange, Grazing Land ,"40,651","40,704","40,036","39,863","39,557","39,278","38,953","38,517","37,963","36,960","35,872","35,655","37,554","37,639","37,386","37,106","37,114"
Orange,Agricultural Land Subtotal,"67,186","67,250","63,808","61,029","59,807","59,192","59,189","56,717","54,916","51,570","49,352","47,570","45,976","44,904","44,423","43,177","42,829"
Orange, Urban and Built-Up Land,"230,561","233,058","242,629","252,087","257,302","260,344","262,247","269,987","273,384","277,989","282,181","284,246","287,923","289,171","289,825","291,249","292,689"
Orange, Other Land,"211,020","208,461","202,160","195,480","191,486","188,919","187,038","181,770","180,188","178,928","176,954","176,668","174,843","174,666","174,493","174,278","173,173"
Orange, Water Area,692,692,863,863,863,"1,005",986,986,972,972,972,972,972,972,972,"1,015","1,026"
Orange,Total Area Inventoried,"509,459","509,461","509,460","509,459","509,458","509,460","509,460","509,460","509,460","509,459","509,459","509,456","509,714","509,713","509,713","509,719","509,717"
Placer, Prime Farmland,"10,427","10,552","10,474","10,543","10,515","10,458","9,867","9,750","9,768","9,538","9,236","8,524","7,894","7,339","7,330","7,406","7,431"
Placer, Farmland of Statewide Importance,"5,933","5,661","5,490","5,595","5,565","5,608","5,546","5,195","6,089","5,493","5,510","5,021","4,823","4,067","4,045","4,004","4,097"
Placer, Unique Farmland,"21,016","22,365","23,899","24,640","24,025","23,848","23,301","22,727","22,686","22,105","23,283","22,793","20,195","18,058","17,894","17,947","18,784"
Placer, Farmland of Local Importance,"113,658","112,002","110,577","109,161","113,310","113,505","114,270","114,452","102,658","87,832","86,235","101,846","101,011","103,273","99,237","98,601","94,732"
Placer,Important Farmland Subtotal,"151,034","150,580","150,440","149,939","153,415","153,419","152,984","152,124","141,201","124,968","124,264","138,184","133,923","132,737","128,506","127,958","125,044"
Placer, Grazing Land ,"57,859","56,549","54,760","53,108","36,369","35,853","33,694","31,695","39,208","50,478","46,000","28,692","24,448","24,194","27,883","27,689","30,267"
Placer,Agricultural Land Subtotal,"208,893","207,129","205,200","203,047","189,784","189,272","186,678","183,819","180,409","175,446","170,264","166,876","158,371","156,931","156,389","155,647","155,311"
Placer, Urban and Built-Up Land,"23,264","24,741","27,018","29,545","31,535","32,563","35,002","37,608","41,446","46,853","52,183","55,770","58,622","58,714","59,708","60,437","61,214"
Placer, Other Land,"174,151","174,423","174,074","173,700","184,974","184,577","184,804","185,057","184,648","184,202","184,058","183,874","189,458","190,803","190,351","190,370","189,929"
Placer, Water Area,"5,220","5,237","5,237","5,237","5,238","5,118","5,047","5,047","5,027","5,027","5,027","5,011","5,011","5,011","5,011","5,011","5,012"
Placer,Total Area Inventoried,"411,528","411,530","411,529","411,529","411,531","411,530","411,531","411,531","411,530","411,528","411,532","411,531","411,462","411,459","411,459","411,465","411,466"
Riverside, Prime Farmland,"201,920","198,560","196,210",193071,"188,883","177,111","168,763","159,459","151,011","139,253","134,429","128,505","122,935","119,635","119,309","118,077","117,484"
Riverside, Farmland of Statewide Importance,"65,677","64,486","63,224",62121,"60,647","58,399","55,842","53,767","49,446","49,508","48,499","46,916","44,653","44,085","43,919","44,001","43,757"
Riverside, Unique Farmland,"37,620","37,788","39,649",42169,"43,096","42,616","41,320","41,674","40,950","39,936","38,691","37,949","37,133","35,392","33,340","32,582","32,565"
Riverside, Farmland of Local Importance,"256,325","253,218","245,054",227700,"225,501","234,269","241,461","246,838","243,414","250,581","244,848","231,085","229,156","229,875","229,658","228,808","226,029"
Riverside,Important Farmland Subtotal,"561,542","554,052","544,137","525,061","518,127","512,395","507,386","501,738","484,821","479,278","466,467","444,455","433,877","428,987","426,226","423,468","419,835"
Riverside, Grazing Land ,"141,932","141,348","139,764",137267,"136,473","135,950","135,507","134,599","124,714","117,005","116,028","111,696","111,219","110,842","110,385","110,102","110,203"
Riverside,Agricultural Land Subtotal,"703,474","695,400","683,901","662,328","654,600","648,345","642,893","636,337","609,535","596,283","582,495","556,151","545,096","539,829","536,611","533,570","530,038"
Riverside, Urban and Built-Up Land,"163,792","173,406","188,214",207238,"217,507","225,710","231,987","240,888","254,816","262,867","277,272","300,540","315,679","321,555","325,407","329,871","334,445"
Riverside, Other Land,"1,009,369","1,007,643","1,004,336",1006884,"1,004,336","1,002,388","1,001,125","1,000,442","1,007,724","1,012,928","1,012,307","1,015,386","1,021,336","1,020,717","1,020,083","1,018,674","1,017,635"
Riverside, Water Area,"57,980","58,165","58,165",58165,"58,172","58,172","58,611","56,948","62,541","62,541","62,541","62,350","62,350","62,361","62,361","62,361","62,361"
Riverside,Total Area Inventoried,"1,934,615","1,934,614","1,934,616","1,934,615","1,934,615","1,934,615","1,934,616","1,934,616","1,934,616","1,934,619","1,934,615","1,934,427","1,944,461","1,944,462","1,944,462","1,944,476","1,944,479"
Sacramento, Prime Farmland,,,"124,415","124,099","123,462","123,245","123,104","121,974","115,389","112,037","110,278","106,667","104,366","97,477","93,916","91,568","90,691"
Sacramento, Farmland of Statewide Importance,,,"79,822","79,386","76,944","76,239","74,276","67,713","63,536","60,817","56,141","51,218","49,470","45,263","43,580","43,105","43,342"
Sacramento, Unique Farmland,,,"12,082","12,329","11,610","11,311","11,369","13,521","15,476","15,743","15,187","15,267","15,463","15,076","15,060","15,125","15,540"
Sacramento, Farmland of Local Importance,,,"31,821","29,433","27,602","28,269","28,426","33,732","33,530","37,924","39,873","41,960","43,819","53,929","56,981","58,852","57,910"
Sacramento,Important Farmland Subtotal,,,"248,140","245,247","239,618","239,064","237,175","236,940","227,931","226,521","221,479","215,112","213,118","211,745","209,537","208,650","207,483"
Sacramento, Grazing Land ,,,"176,777","174,373","171,426","171,185","170,710","165,253","168,144","165,023","163,175","156,979","156,144","155,824","154,744","153,452","153,174"
Sacramento,Agricultural Land Subtotal,,,"424,917","419,620","411,044","410,249","407,885","402,193","396,075","391,544","384,654","372,091","369,262","367,569","364,281","362,102","360,657"
Sacramento, Urban and Built-Up Land,,,"131,321","137,415","142,735","144,368","146,904","150,716","157,162","159,903","165,630","175,523","177,915","178,784","180,246","181,296","182,237"
Sacramento, Other Land,,,"61,150","60,354","63,609","62,818","62,833","64,922","64,593","66,383","67,548","70,239","70,757","71,585","73,401","74,558","75,069"
Sacramento, Water Area,,,"18,695","18,695","18,695","18,648","18,461","18,252","18,253","18,253","18,253","18,230","18,147","18,147","18,148","18,120","18,116"
Sacramento,Total Area Inventoried,,,"636,083","636,084","636,083","636,083","636,083","636,083","636,083","636,083","636,085","636,083","636,081","636,085","636,076","636,076","636,079"
Santa Barbara, Prime Farmland,"67,703","68,405","69,299","68,406","69,295","69,180","69,532","72,115","74,106","66,460","67,774","67,222","67,170","66,569","66,441","67,215","66,978"
Santa Barbara, Farmland of Statewide Importance,"4,985","4,940","5,170","5,615","5,775","5,781","5,787","6,761","8,008","11,862","12,380","12,243","12,298","12,475","12,815","13,000","13,194"
Santa Barbara, Unique Farmland,"21,763","22,376","22,953","23,231","24,682","25,102","25,169","29,331","32,297","33,936","35,135","34,438","34,779","35,605","36,032","36,585","37,325"
Santa Barbara, Farmland of Local Importance,"33,392","33,870","34,115","33,607","30,755","29,995","28,160","26,199","25,399","23,088","20,837","20,096","11,106","10,642","10,341","9,721","8,951"
Santa Barbara,Important Farmland Subtotal,"127,843","129,591","131,537","130,859","130,507","130,058","128,648","134,406","139,810","135,346","136,126","133,999","125,353","125,291","125,629","126,521","126,448"
Santa Barbara, Grazing Land ,"601,695","599,817","597,326","596,535","595,935","596,395","597,139","589,641","583,709","586,286","583,309","584,449","581,985","581,642","580,257","579,106","579,054"
Santa Barbara,Agricultural Land Subtotal,"729,538","729,408","728,863","727,394","726,442","726,453","725,787","724,047","723,519","721,632","719,435","718,448","707,338","706,933","705,886","705,627","705,502"
Santa Barbara, Urban and Built-Up Land,"53,466","54,535","55,485","56,609","57,853","58,178","59,265","59,532","61,027","61,076","62,029","62,215","62,334","62,761","63,464","63,695","63,996"
Santa Barbara, Other Land,"252,593","251,654","251,248","251,521","251,229","250,968","250,547","251,973","251,006","252,843","254,087","254,961","265,467","265,910","266,254","266,306","266,131"
Santa Barbara, Water Area,"4,218","4,218","4,218","4,291","4,291","4,216","4,216","4,264","4,264","4,264","4,264","4,191","4,191","3,723","3,723","3,723","3,723"
Santa Barbara,Total Area Inventoried,"1,039,815","1,039,815","1,039,814","1,039,815","1,039,815","1,039,815","1,039,815","1,039,816","1,039,816","1,039,815","1,039,815","1,039,815","1,039,330","1,039,327","1,039,327","1,039,351","1,039,352"
San Bernardino, Prime Farmland,"43,184","41,761","38,648","34,742","33,211","32,016","30,722","29,975","24,928","21,648","20,316","17,046","14,090","12,848","12,482","11,714","11,323"
San Bernardino, Farmland of Statewide Importance,"12,770","12,462","11,588","14,383","12,906","12,155","12,169","12,026","11,318","9,708","8,777","7,938","6,747","6,242","5,860","5,702","5,770"
San Bernardino, Unique Farmland,"6,297","5,487","4,699","4,762","4,653","4,521","4,314","3,888","3,676","3,412","2,653","3,150","2,661","2,511","2,623","2,674","2,738"
San Bernardino, Farmland of Local Importance,"7,324","7,251","6,420","5,863","4,731","5,297","5,258","5,036","4,816","3,312","2,929","2,785","1,828","1,160",956,606,562
San Bernardino,Important Farmland Subtotal,"69,575","66,961","61,355","59,750","55,501","53,989","52,463","50,925","44,738","38,080","34,675","30,919","25,326","22,761","21,921","20,696","20,393"
San Bernardino, Grazing Land ,"963,608","957,019","952,531","944,928","942,010","936,810","933,838","933,101","936,090","919,330","915,549","902,854","901,666","902,588","902,869","900,735","898,633"
San Bernardino,Agricultural Land Subtotal,"1,033,183","1,023,980","1,013,886","1,004,678","997,511","990,799","986,301","984,026","980,828","957,410","950,224","933,773","926,992","925,349","924,790","921,431","919,026"
San Bernardino, Urban and Built-Up Land,"169,349","187,679","197,962","210,470","222,712","227,401","232,528","234,903","237,821","249,954","259,266","268,684","275,695","277,874","278,910","282,906","286,407"
San Bernardino, Other Land,"246,913","237,785","237,596","234,296","229,221","231,244","230,172","230,071","230,350","241,635","239,510","246,636","246,413","245,813","245,336","244,701","243,604"
San Bernardino, Water Area,98,98,98,98,98,98,543,543,543,543,543,449,449,510,510,510,510
San Bernardino,Total Area Inventoried,"1,449,543","1,449,542","1,449,542","1,449,542","1,449,542","1,449,542","1,449,544","1,449,543","1,449,542","1,449,542","1,449,543","1,449,542","1,449,549","1,449,546","1,449,546","1,449,548","1,449,547"
San Benito, Prime Farmland,"38,743","42,421","42,610","41,991","41,322","35,968","35,429","34,278","33,902","32,509","32,085","30,432","28,701","27,427","27,446","26,981","26,833"
San Benito, Farmland of Statewide Importance,"16,871","12,912","13,049","12,821","12,682","11,746","11,616","9,766","9,597","9,040","9,464","9,106","6,587","6,476","6,359","6,913","7,107"
San Benito, Unique Farmland,"1,668","1,729","1,674","1,779","1,747",861,847,901,"1,119","2,581","2,625","2,578","2,399","2,252","2,258","2,261","2,412"
San Benito, Farmland of Local Importance,"34,037","35,381","36,632","37,744","38,392","42,721","39,045","39,381","37,083","32,922","27,389","26,482","23,234","21,311","20,448","18,573","17,157"
San Benito,Important Farmland Subtotal,"91,319","92,443","93,965","94,335","94,143","91,296","86,937","84,326","81,701","77,052","71,563","68,598","60,921","57,466","56,511","54,728","53,509"
San Benito, Grazing Land ,"596,180","592,250","589,946","586,761","586,557","588,775","592,444","593,629","595,537","598,926","603,616","605,732","612,455","614,820","615,859","616,957","618,326"
San Benito,Agricultural Land Subtotal,"687,499","684,693","683,911","681,096","680,700","680,071","679,381","677,955","677,238","675,978","675,179","674,330","673,376","672,286","672,370","671,685","671,835"
San Benito, Urban and Built-Up Land,"4,390","4,580","4,902","5,470","5,614","5,746","6,180","6,748","7,032","7,416","7,644","7,780","7,902","8,023","8,045","8,061","8,145"
San Benito, Other Land,"196,485","199,079","199,478","201,725","201,977","202,474","202,730","203,665","203,977","204,857","205,427","206,138","206,968","207,935","207,829","208,516","208,313"
San Benito, Water Area,"1,013","1,036","1,097","1,097","1,097","1,097","1,097","1,019","1,140","1,140","1,140","1,140","1,140","1,145","1,145","1,145","1,110"
San Benito,Total Area Inventoried,"889,387","889,388","889,388","889,388","889,388","889,388","889,388","889,387","889,387","889,391","889,390","889,388","889,386","889,389","889,389","889,407","889,403"
Santa Clara, Prime Farmland,"37,989","37,413","36,151","35,815","34,622","34,156","33,871","32,009","30,052","26,577","24,717","20,768","18,804","17,272","16,609","15,691","14,909"
Santa Clara, Farmland of Statewide Importance,"5,482","5,380","5,362","5,362","5,314","5,245","5,174","4,900","4,596","5,932","5,630","4,460","4,028","3,630","3,565","3,383","3,273"
Santa Clara, Unique Farmland,752,785,"1,197","1,353","1,344","1,345","1,345","1,412","1,169","2,325","2,396","2,453","2,489","2,525","2,573","2,440","2,227"
Santa Clara, Farmland of Local Importance,"6,333",6303,"8,645","9,039","8,888","8,853","8,806","8,687","8,208","7,339","6,005","6,113","5,967","4,327","4,001","5,105","5,581"
Santa Clara,Important Farmland Subtotal,"50,556","49,881","51,355","51,569","50,168","49,599","49,196","47,007","44,025","42,173","38,748","33,794","31,288","27,754","26,748","26,619","25,990"
Santa Clara, Grazing Land ,"410,124","410,172","406,251","405,537","405,215","404,408","404,279","390,678","389,210","388,696","388,646","388,510","390,091","392,776","393,624","393,535","394,061"
Santa Clara,Agricultural Land Subtotal,"460,680","460,053","457,606","457,106","455,383","454,007","453,475","437,685","433,235","430,869","427,394","422,304","421,379","420,530","420,372","420,154","420,051"
Santa Clara, Urban and Built-Up Land,"172,483","172,120","172,257","172,963","174,496","176,202","176,726","179,482","184,182","185,131","187,177","188,243","188,882","189,130","189,286","189,386","189,552"
Santa Clara, Other Land,"194,259","195,122","197,267","197,062","197,203","196,662","196,567","209,601","209,357","210,774","212,204","216,224","216,504","217,107","217,100","217,222","217,634"
Santa Clara, Water Area,"7,802","7,931","8,095","8,095","8,142","8,353","8,457","8,457","8,452","8,452","8,452","8,458","8,458","8,458","8,467","8,466","7,993"
Santa Clara,Total Area Inventoried,"835,224","835,226","835,225","835,226","835,224","835,224","835,225","835,225","835,226","835,226","835,227","835,229","835,223","835,225","835,225","835,228","835,230"
Santa Cruz, Prime Farmland,"16,765","17,094","17,290","17,297","17,306","17,262","17,230","17,179","17,030","15,540","15,212","14,712","14,357","13,816","13,826","13,688","13,437"
Santa Cruz, Farmland of Statewide Importance,"2,805","2,846","3,004","3,073","3,114","3,114","3,068","3,057","3,215","3,367","3,268","2,913","2,706","2,450","2,471","2,404","2,335"
Santa Cruz, Unique Farmland,"4,078","4,080","4,305","4,251","4,334","4,160","4,203","4,393","4,395","5,557","5,367","4,610","4,249","3,761","3,682","3,554","3,520"
Santa Cruz, Farmland of Local Importance,230,272,515,583,636,718,718,869,869,811,758,522,516,548,483,300,251
Santa Cruz,Important Farmland Subtotal,"23,878","24,292","25,114","25,204","25,390","25,254","25,219","25,498","25,509","25,275","24,605","22,757","21,828","20,575","20,462","19,946","19,543"
Santa Cruz, Grazing Land ,"16,780","16,596","16,481","16,876","16,849","16,615","16,187","16,718","16,587","16,727","16,867","17,718","17,952","18,268","18,227","18,522","19,303"
Santa Cruz,Agricultural Land Subtotal,"40,658","40,888","41,595","42,080","42,239","41,869","41,406","42,216","42,096","42,002","41,472","40,475","39,780","38,843","38,689","38,468","38,846"
Santa Cruz, Urban and Built-Up Land,"25,938","26,320","26,818","27,082","27,360","27,585","27,719","28,587","29,293","31,092","31,422","31,704","32,013","32,749","32,972","32,993","33,037"
Santa Cruz, Other Land,"218,360","218,057","216,845","216,096","215,659","215,804","216,227","214,548","213,964","212,260","212,459","213,174","213,563","213,759","213,690","213,896","213,474"
Santa Cruz, Water Area,753,444,451,451,451,451,357,357,357,357,357,357,357,357,357,357,357
Santa Cruz,Total Area Inventoried,"285,709","285,709","285,709","285,709","285,709","285,709","285,709","285,708","285,710","285,711","285,710","285,710","285,713","285,708","285,708","285,714","285,714"
San Diego, Prime Farmland,"15,497","12,364","11,759","12,130","12,014","11,796","11,100","10,660","10,257","9,401","8,527","8,251","7,754","7,084","6,989","5,987","5,669"
San Diego, Farmland of Statewide Importance,"28,542","16,090","15,314","15,543","14,466","13,961","13,902","13,617","13,142","13,450","12,181","10,960","10,412","9,440","8,836","8,287","8,075"
San Diego, Unique Farmland,"69,588","67,682","69,219","70,819","70,462","69,153","67,734","67,535","57,306","57,522","55,565","53,251","51,975","48,359","47,458","45,724","43,618"
San Diego, Farmland of Local Importance,"98,493","115,241","111,451","107,209","102,475","104,493","105,190","105,001","112,398","133,543","134,489","134,892","153,186","154,038","152,510","154,765","155,566"
San Diego,Important Farmland Subtotal,"212,120","211,377","207,743","205,701","199,417","199,403","197,926","196,813","193,103","213,916","210,762","207,354","223,327","218,921","215,793","214,763","212,928"
San Diego, Grazing Land ,"159,835","160,232","156,246","152,251","146,306","144,760","142,857","142,335","137,619","111,442","107,328","106,679","126,871","126,495","125,017","124,845","127,183"
San Diego,Agricultural Land Subtotal,"371,955","371,609","363,989","357,952","345,723","344,163","340,783","339,148","330,722","325,358","318,090","314,033","350,198","345,416","340,810","339,608","340,111"
San Diego, Urban and Built-Up Land,"252,931","264,889","274,812","287,820","297,095","301,546","307,169","311,491","323,909","332,715","338,845","345,315","350,500","355,144","360,919","362,781","364,827"
San Diego, Other Land,"1,530,215","1,518,702","1,516,346","1,509,273","1,512,228","1,509,453","1,507,356","1,504,625","1,499,018","1,495,576","1,496,460","1,494,046","1,452,698","1,452,833","1,451,664","1,451,005","1,449,131"
San Diego, Water Area ,"11,591","11,494","11,546","11,646","11,646","11,530","11,385","11,429","13,043","13,043","13,298","13,298","13,298","13,298","13,298","13,298","12,622"
San Diego,Total Area Inventoried,"2,166,692","2,166,694","2,166,693","2,166,691","2,166,692","2,166,692","2,166,693","2,166,693","2,166,692","2,166,692","2,166,693","2,166,692","2,166,694","2,166,691","2,166,691","2,166,692","2,166,691"
Shasta, Prime Farmland,"19,534","19,638","19,968","21,581","21,602","21,673","21,502","20,218","19,814","15,717","14,846","13,282","12,289","11,082","10,596","10,509","10,490"
Shasta, Farmland of Statewide Importance,"4,369","4,393","4,396","4,748","4,752","4,713","4,685","4,583","4,714","4,222","4,058","3,445","3,287","2,929","2,770","2,741","2,662"
Shasta, Unique Farmland,251,245,259,346,346,402,402,358,405,940,763,488,509,498,511,515,492
Shasta, Farmland of Local Importance,"6,541","6,637","6,957","10,968","11,120","10,366","10,212","10,172","10,416","9,482","9,171","8,513","6,104","5,208","5,304","5,413","5,363"
Shasta,Important Farmland Subtotal,"30,695","30,913","31,580","37,643","37,820","37,154","36,801","35,331","35,349","30,361","28,838","25,728","22,189","19,717","19,181","19,178","19,007"
Shasta, Grazing Land ,"418,481","418,043","416,885","411,067","410,505","410,237","410,145","409,926","409,479","412,225","408,927","409,615","412,731","414,053","414,276","414,168","414,181"
