SecondaryStratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionFrequency,ValueDistributionSD,ValueDistributionTypeID
Butte,Management: Forest Clearcut,Forest Harvest,2009,2009,300,Iteration and Timestep,150,Normal
Butte,Management: Forest Clearcut,Forest Harvest,2010,2010,0,Iteration and Timestep,NA,NA
Butte,Management: Forest Clearcut,Forest Harvest,2011,2011,200,Iteration and Timestep,100,Normal
Butte,Management: Forest Clearcut,Forest Harvest,2012,2012,100,Iteration and Timestep,50,Normal
Butte,Management: Forest Clearcut,Forest Harvest,2013,2013,100,Iteration and Timestep,50,Normal
Butte,Management: Forest Clearcut,Forest Harvest,2014,2014,0,Iteration and Timestep,NA,NA
Butte,Management: Forest Clearcut,Forest Harvest,2015,2015,0,Iteration and Timestep,NA,NA
Butte,Management: Forest Clearcut,Forest Harvest,2016,2016,0,Iteration and Timestep,NA,NA
Calaveras,Management: Forest Clearcut,Forest Harvest,1999,1999,600,Iteration and Timestep,300,Normal
Calaveras,Management: Forest Clearcut,Forest Harvest,2000,2000,200,Iteration and Timestep,100,Normal
Calaveras,Management: Forest Clearcut,Forest Harvest,2001,2001,700,Iteration and Timestep,350,Normal
Calaveras,Management: Forest Clearcut,Forest Harvest,2002,2002,300,Iteration and Timestep,150,Normal
Calaveras,Management: Forest Clearcut,Forest Harvest,2003,2003,500,Iteration and Timestep,250,Normal
Calaveras,Management: Forest Clearcut,Forest Harvest,2004,2004,900,Iteration and Timestep,450,Normal
Calaveras,Management: Forest Clearcut,Forest Harvest,2005,2005,100,Iteration and Timestep,50,Normal
Calaveras,Management: Forest Clearcut,Forest Harvest,2006,2006,600,Iteration and Timestep,300,Normal
Calaveras,Management: Forest Clearcut,Forest Harvest,2007,2007,200,Iteration and Timestep,100,Normal
Calaveras,Management: Forest Clearcut,Forest Harvest,2008,2008,0,Iteration and Timestep,NA,NA
Calaveras,Management: Forest Clearcut,Forest Harvest,2009,2009,200,Iteration and Timestep,100,Normal
Calaveras,Management: Forest Clearcut,Forest Harvest,2010,2010,0,Iteration and Timestep,NA,NA
Calaveras,Management: Forest Clearcut,Forest Harvest,2011,2011,0,Iteration and Timestep,NA,NA
Calaveras,Management: Forest Clearcut,Forest Harvest,2012,2012,0,Iteration and Timestep,NA,NA
Calaveras,Management: Forest Clearcut,Forest Harvest,2013,2013,0,Iteration and Timestep,NA,NA
Calaveras,Management: Forest Clearcut,Forest Harvest,2014,2014,0,Iteration and Timestep,NA,NA
Calaveras,Management: Forest Clearcut,Forest Harvest,2015,2015,0,Iteration and Timestep,NA,NA
Calaveras,Management: Forest Clearcut,Forest Harvest,2016,2016,0,Iteration and Timestep,NA,NA
Colusa,Management: Forest Clearcut,Forest Harvest,1999,1999,0,Iteration and Timestep,NA,NA
Colusa,Management: Forest Clearcut,Forest Harvest,2000,2000,0,Iteration and Timestep,NA,NA
Colusa,Management: Forest Clearcut,Forest Harvest,2001,2001,0,Iteration and Timestep,NA,NA
Colusa,Management: Forest Clearcut,Forest Harvest,2002,2002,0,Iteration and Timestep,NA,NA
Colusa,Management: Forest Clearcut,Forest Harvest,2003,2003,0,Iteration and Timestep,NA,NA
Colusa,Management: Forest Clearcut,Forest Harvest,2004,2004,0,Iteration and Timestep,NA,NA
Colusa,Management: Forest Clearcut,Forest Harvest,2005,2005,0,Iteration and Timestep,NA,NA
Colusa,Management: Forest Clearcut,Forest Harvest,2006,2006,0,Iteration and Timestep,NA,NA
Colusa,Management: Forest Clearcut,Forest Harvest,2007,2007,0,Iteration and Timestep,NA,NA
Colusa,Management: Forest Clearcut,Forest Harvest,2008,2008,0,Iteration and Timestep,NA,NA
Colusa,Management: Forest Clearcut,Forest Harvest,2009,2009,0,Iteration and Timestep,NA,NA
Colusa,Management: Forest Clearcut,Forest Harvest,2010,2010,0,Iteration and Timestep,NA,NA
Colusa,Management: Forest Clearcut,Forest Harvest,2011,2011,0,Iteration and Timestep,NA,NA
Colusa,Management: Forest Clearcut,Forest Harvest,2012,2012,0,Iteration and Timestep,NA,NA
Colusa,Management: Forest Clearcut,Forest Harvest,2013,2013,0,Iteration and Timestep,NA,NA
Colusa,Management: Forest Clearcut,Forest Harvest,2014,2014,0,Iteration and Timestep,NA,NA
Colusa,Management: Forest Clearcut,Forest Harvest,2015,2015,0,Iteration and Timestep,NA,NA
Colusa,Management: Forest Clearcut,Forest Harvest,2016,2016,0,Iteration and Timestep,NA,NA
Contra Costa,Management: Forest Clearcut,Forest Harvest,1999,1999,0,Iteration and Timestep,NA,NA
Contra Costa,Management: Forest Clearcut,Forest Harvest,2000,2000,0,Iteration and Timestep,NA,NA
Contra Costa,Management: Forest Clearcut,Forest Harvest,2001,2001,0,Iteration and Timestep,NA,NA
Contra Costa,Management: Forest Clearcut,Forest Harvest,2002,2002,0,Iteration and Timestep,NA,NA
Contra Costa,Management: Forest Clearcut,Forest Harvest,2003,2003,0,Iteration and Timestep,NA,NA
Contra Costa,Management: Forest Clearcut,Forest Harvest,2004,2004,0,Iteration and Timestep,NA,NA
Contra Costa,Management: Forest Clearcut,Forest Harvest,2005,2005,0,Iteration and Timestep,NA,NA
Contra Costa,Management: Forest Clearcut,Forest Harvest,2006,2006,0,Iteration and Timestep,NA,NA
Contra Costa,Management: Forest Clearcut,Forest Harvest,2007,2007,0,Iteration and Timestep,NA,NA
Contra Costa,Management: Forest Clearcut,Forest Harvest,2008,2008,0,Iteration and Timestep,NA,NA
