StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionFrequency,ValueDistributionSD
Central California Foothills and Coastal Mountains,Insect: Low Severity,Insect,2011,2011,900,Iteration and Timestep,450
Central California Foothills and Coastal Mountains,Insect: Low Severity,Insect,2012,2012,3000,Iteration and Timestep,1500
Central California Foothills and Coastal Mountains,Insect: Low Severity,Insect,2013,2013,11700,Iteration and Timestep,5850
Central California Foothills and Coastal Mountains,Insect: Low Severity,Insect,2014,2014,14200,Iteration and Timestep,7100
Central California Foothills and Coastal Mountains,Insect: Low Severity,Insect,2015,2015,35100,Iteration and Timestep,17550
Central California Foothills and Coastal Mountains,Insect: Low Severity,Insect,2016,2016,27100,Iteration and Timestep,13550
Central California Valley,Insect: Low Severity,Insect,1998,1998,0,Iteration and Timestep,0
Central California Valley,Insect: Low Severity,Insect,1999,1999,0,Iteration and Timestep,0
Central California Valley,Insect: Low Severity,Insect,2000,2000,0,Iteration and Timestep,0
Central California Valley,Insect: Low Severity,Insect,2001,2001,0,Iteration and Timestep,0
Central California Valley,Insect: Low Severity,Insect,2002,2002,0,Iteration and Timestep,0
Central California Valley,Insect: Low Severity,Insect,2003,2003,0,Iteration and Timestep,0
Central California Valley,Insect: Low Severity,Insect,2004,2004,0,Iteration and Timestep,0
Central California Valley,Insect: Low Severity,Insect,2005,2005,0,Iteration and Timestep,0
Central California Valley,Insect: Low Severity,Insect,2006,2006,0,Iteration and Timestep,0
Central California Valley,Insect: Low Severity,Insect,2007,2007,0,Iteration and Timestep,0
Central California Valley,Insect: Low Severity,Insect,2008,2008,0,Iteration and Timestep,0
Central California Valley,Insect: Low Severity,Insect,2009,2009,0,Iteration and Timestep,0
Central California Valley,Insect: Low Severity,Insect,2010,2010,0,Iteration and Timestep,0
Central California Valley,Insect: Low Severity,Insect,2011,2011,0,Iteration and Timestep,0
Central California Valley,Insect: Low Severity,Insect,2012,2012,0,Iteration and Timestep,0
Central California Valley,Insect: Low Severity,Insect,2013,2013,0,Iteration and Timestep,0
Central California Valley,Insect: Low Severity,Insect,2014,2014,100,Iteration and Timestep,50
Central California Valley,Insect: Low Severity,Insect,2015,2015,0,Iteration and Timestep,0
Central California Valley,Insect: Low Severity,Insect,2016,2016,100,Iteration and Timestep,50
Southern California Mountains,Insect: Low Severity,Insect,1998,1998,0,Iteration and Timestep,0
Southern California Mountains,Insect: Low Severity,Insect,1999,1999,0,Iteration and Timestep,0
Southern California Mountains,Insect: Low Severity,Insect,2000,2000,10800,Iteration and Timestep,5400
Southern California Mountains,Insect: Low Severity,Insect,2001,2001,2800,Iteration and Timestep,1400
Southern California Mountains,Insect: Low Severity,Insect,2002,2002,12300,Iteration and Timestep,6150
Southern California Mountains,Insect: Low Severity,Insect,2003,2003,45000,Iteration and Timestep,22500
Southern California Mountains,Insect: Low Severity,Insect,2004,2004,23800,Iteration and Timestep,11900
Southern California Mountains,Insect: Low Severity,Insect,2005,2005,6400,Iteration and Timestep,3200
Southern California Mountains,Insect: Low Severity,Insect,2006,2006,6200,Iteration and Timestep,3100
Southern California Mountains,Insect: Low Severity,Insect,2007,2007,800,Iteration and Timestep,400
Southern California Mountains,Insect: Low Severity,Insect,2008,2008,1700,Iteration and Timestep,850
Southern California Mountains,Insect: Low Severity,Insect,2009,2009,2100,Iteration and Timestep,1050
Southern California Mountains,Insect: Low Severity,Insect,2010,2010,2700,Iteration and Timestep,1350
Southern California Mountains,Insect: Low Severity,Insect,2011,2011,4000,Iteration and Timestep,2000
Southern California Mountains,Insect: Low Severity,Insect,2012,2012,2500,Iteration and Timestep,1250
Southern California Mountains,Insect: Low Severity,Insect,2013,2013,1200,Iteration and Timestep,600
Southern California Mountains,Insect: Low Severity,Insect,2014,2014,5700,Iteration and Timestep,2850
Southern California Mountains,Insect: Low Severity,Insect,2015,2015,34300,Iteration and Timestep,17150
Southern California Mountains,Insect: Low Severity,Insect,2016,2016,14800,Iteration and Timestep,7400
