StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionFrequency,ValueDistributionSD,ValueDistributionTypeID
Eastern Cascades Slopes and Foothills,Fire: Low Severity,Fire,2010,2010,2300,Iteration and Timestep,1150,Normal
Eastern Cascades Slopes and Foothills,Fire: Low Severity,Fire,2011,2011,3600,Iteration and Timestep,1800,Normal
Eastern Cascades Slopes and Foothills,Fire: Low Severity,Fire,2012,2012,14000,Iteration and Timestep,7000,Normal
Eastern Cascades Slopes and Foothills,Fire: Low Severity,Fire,2013,2013,1300,Iteration and Timestep,650,Normal
Eastern Cascades Slopes and Foothills,Fire: Low Severity,Fire,2014,2014,8400,Iteration and Timestep,4200,Normal
Eastern Cascades Slopes and Foothills,Fire: Low Severity,Fire,2015,2015,2900,Iteration and Timestep,1450,Normal
Eastern Cascades Slopes and Foothills,Fire: Low Severity,Fire,2016,2016,5200,Iteration and Timestep,2600,Normal
Central Basin and Range,Fire: Low Severity,Fire,1999,1999,1600,Iteration and Timestep,800,Normal
Central Basin and Range,Fire: Low Severity,Fire,2000,2000,400,Iteration and Timestep,200,Normal
Central Basin and Range,Fire: Low Severity,Fire,2001,2001,2700,Iteration and Timestep,1350,Normal
Central Basin and Range,Fire: Low Severity,Fire,2002,2002,700,Iteration and Timestep,350,Normal
Central Basin and Range,Fire: Low Severity,Fire,2003,2003,1200,Iteration and Timestep,600,Normal
Central Basin and Range,Fire: Low Severity,Fire,2004,2004,700,Iteration and Timestep,350,Normal
Central Basin and Range,Fire: Low Severity,Fire,2005,2005,500,Iteration and Timestep,250,Normal
Central Basin and Range,Fire: Low Severity,Fire,2006,2006,1500,Iteration and Timestep,750,Normal
Central Basin and Range,Fire: Low Severity,Fire,2007,2007,7500,Iteration and Timestep,3750,Normal
Central Basin and Range,Fire: Low Severity,Fire,2008,2008,1200,Iteration and Timestep,600,Normal
Central Basin and Range,Fire: Low Severity,Fire,2009,2009,1300,Iteration and Timestep,650,Normal
Central Basin and Range,Fire: Low Severity,Fire,2010,2010,100,Iteration and Timestep,50,Normal
Central Basin and Range,Fire: Low Severity,Fire,2011,2011,2500,Iteration and Timestep,1250,Normal
Central Basin and Range,Fire: Low Severity,Fire,2012,2012,5600,Iteration and Timestep,2800,Normal
Central Basin and Range,Fire: Low Severity,Fire,2013,2013,600,Iteration and Timestep,300,Normal
Central Basin and Range,Fire: Low Severity,Fire,2014,2014,100,Iteration and Timestep,50,Normal
Central Basin and Range,Fire: Low Severity,Fire,2015,2015,2000,Iteration and Timestep,1000,Normal
Central Basin and Range,Fire: Low Severity,Fire,2016,2016,500,Iteration and Timestep,250,Normal
Mojave Basin and Range,Fire: Low Severity,Fire,1999,1999,4300,Iteration and Timestep,2150,Normal
Mojave Basin and Range,Fire: Low Severity,Fire,2000,2000,1100,Iteration and Timestep,550,Normal
Mojave Basin and Range,Fire: Low Severity,Fire,2001,2001,0,Iteration and Timestep,NA,NA
Mojave Basin and Range,Fire: Low Severity,Fire,2002,2002,1600,Iteration and Timestep,800,Normal
Mojave Basin and Range,Fire: Low Severity,Fire,2003,2003,4000,Iteration and Timestep,2000,Normal
Mojave Basin and Range,Fire: Low Severity,Fire,2004,2004,1100,Iteration and Timestep,550,Normal
Mojave Basin and Range,Fire: Low Severity,Fire,2005,2005,28900,Iteration and Timestep,14450,Normal
Mojave Basin and Range,Fire: Low Severity,Fire,2006,2006,6600,Iteration and Timestep,3300,Normal
Mojave Basin and Range,Fire: Low Severity,Fire,2007,2007,3100,Iteration and Timestep,1550,Normal
Mojave Basin and Range,Fire: Low Severity,Fire,2008,2008,0,Iteration and Timestep,NA,NA
Mojave Basin and Range,Fire: Low Severity,Fire,2009,2009,300,Iteration and Timestep,150,Normal
Mojave Basin and Range,Fire: Low Severity,Fire,2010,2010,400,Iteration and Timestep,200,Normal
Mojave Basin and Range,Fire: Low Severity,Fire,2011,2011,2700,Iteration and Timestep,1350,Normal
Mojave Basin and Range,Fire: Low Severity,Fire,2012,2012,200,Iteration and Timestep,100,Normal
Mojave Basin and Range,Fire: Low Severity,Fire,2013,2013,1300,Iteration and Timestep,650,Normal
Mojave Basin and Range,Fire: Low Severity,Fire,2014,2014,0,Iteration and Timestep,NA,NA
Mojave Basin and Range,Fire: Low Severity,Fire,2015,2015,1400,Iteration and Timestep,700,Normal
Mojave Basin and Range,Fire: Low Severity,Fire,2016,2016,4100,Iteration and Timestep,2050,Normal
Klamath Mountains/California High North Coast Range,Fire: Low Severity,Fire,1999,1999,33200,Iteration and Timestep,16600,Normal
Klamath Mountains/California High North Coast Range,Fire: Low Severity,Fire,2000,2000,1300,Iteration and Timestep,650,Normal
Klamath Mountains/California High North Coast Range,Fire: Low Severity,Fire,2001,2001,5400,Iteration and Timestep,2700,Normal
Klamath Mountains/California High North Coast Range,Fire: Low Severity,Fire,2002,2002,6200,Iteration and Timestep,3100,Normal
Klamath Mountains/California High North Coast Range,Fire: Low Severity,Fire,2003,2003,5600,Iteration and Timestep,2800,Normal
Klamath Mountains/California High North Coast Range,Fire: Low Severity,Fire,2004,2004,7900,Iteration and Timestep,3950,Normal
Klamath Mountains/California High North Coast Range,Fire: Low Severity,Fire,2005,2005,3000,Iteration and Timestep,1500,Normal
Klamath Mountains/California High North Coast Range,Fire: Low Severity,Fire,2006,2006,30100,Iteration and Timestep,15050,Normal
Klamath Mountains/California High North Coast Range,Fire: Low Severity,Fire,2007,2007,7800,Iteration and Timestep,3900,Normal
Klamath Mountains/California High North Coast Range,Fire: Low Severity,Fire,2008,2008,86400,Iteration and Timestep,43200,Normal
Klamath Mountains/California High North Coast Range,Fire: Low Severity,Fire,2009,2009,12000,Iteration and Timestep,6000,Normal
Klamath Mountains/California High North Coast Range,Fire: Low Severity,Fire,2010,2010,400,Iteration and Timestep,200,Normal
Klamath Mountains/California High North Coast Range,Fire: Low Severity,Fire,2011,2011,4000,Iteration and Timestep,2000,Normal
Klamath Mountains/California High North Coast Range,Fire: Low Severity,Fire,2012,2012,26300,Iteration and Timestep,13150,Normal
Klamath Mountains/California High North Coast Range,Fire: Low Severity,Fire,2013,2013,11700,Iteration and Timestep,5850,Normal
Klamath Mountains/California High North Coast Range,Fire: Low Severity,Fire,2014,2014,29200,Iteration and Timestep,14600,Normal
Klamath Mountains/California High North Coast Range,Fire: Low Severity,Fire,2015,2015,53400,Iteration and Timestep,26700,Normal
Klamath Mountains/California High North Coast Range,Fire: Low Severity,Fire,2016,2016,8700,Iteration and Timestep,4350,Normal
Northern Basin and Range,Fire: Low Severity,Fire,1999,1999,1500,Iteration and Timestep,750,Normal
Northern Basin and Range,Fire: Low Severity,Fire,2000,2000,0,Iteration and Timestep,NA,NA
Northern Basin and Range,Fire: Low Severity,Fire,2001,2001,6800,Iteration and Timestep,3400,Normal
Northern Basin and Range,Fire: Low Severity,Fire,2002,2002,1400,Iteration and Timestep,700,Normal
Northern Basin and Range,Fire: Low Severity,Fire,2003,2003,1000,Iteration and Timestep,500,Normal
Northern Basin and Range,Fire: Low Severity,Fire,2004,2004,200,Iteration and Timestep,100,Normal
Northern Basin and Range,Fire: Low Severity,Fire,2005,2005,0,Iteration and Timestep,NA,NA
Northern Basin and Range,Fire: Low Severity,Fire,2006,2006,400,Iteration and Timestep,200,Normal
Northern Basin and Range,Fire: Low Severity,Fire,2007,2007,100,Iteration and Timestep,50,Normal
Northern Basin and Range,Fire: Low Severity,Fire,2008,2008,0,Iteration and Timestep,NA,NA
Northern Basin and Range,Fire: Low Severity,Fire,2009,2009,0,Iteration and Timestep,NA,NA
Northern Basin and Range,Fire: Low Severity,Fire,2010,2010,100,Iteration and Timestep,50,Normal
Northern Basin and Range,Fire: Low Severity,Fire,2011,2011,600,Iteration and Timestep,300,Normal
Northern Basin and Range,Fire: Low Severity,Fire,2012,2012,52200,Iteration and Timestep,26100,Normal
Northern Basin and Range,Fire: Low Severity,Fire,2013,2013,0,Iteration and Timestep,NA,NA
Northern Basin and Range,Fire: Low Severity,Fire,2014,2014,0,Iteration and Timestep,NA,NA
Northern Basin and Range,Fire: Low Severity,Fire,2015,2015,600,Iteration and Timestep,300,Normal
Northern Basin and Range,Fire: Low Severity,Fire,2016,2016,0,Iteration and Timestep,NA,NA
Sonoran Basin and Range,Fire: Low Severity,Fire,1999,1999,500,Iteration and Timestep,250,Normal
Sonoran Basin and Range,Fire: Low Severity,Fire,2000,2000,0,Iteration and Timestep,NA,NA
Sonoran Basin and Range,Fire: Low Severity,Fire,2001,2001,0,Iteration and Timestep,NA,NA
Sonoran Basin and Range,Fire: Low Severity,Fire,2002,2002,7900,Iteration and Timestep,3950,Normal
Sonoran Basin and Range,Fire: Low Severity,Fire,2003,2003,500,Iteration and Timestep,250,Normal
Sonoran Basin and Range,Fire: Low Severity,Fire,2004,2004,200,Iteration and Timestep,100,Normal
Sonoran Basin and Range,Fire: Low Severity,Fire,2005,2005,1200,Iteration and Timestep,600,Normal
Sonoran Basin and Range,Fire: Low Severity,Fire,2006,2006,0,Iteration and Timestep,NA,NA
Sonoran Basin and Range,Fire: Low Severity,Fire,2007,2007,300,Iteration and Timestep,150,Normal
Sonoran Basin and Range,Fire: Low Severity,Fire,2008,2008,100,Iteration and Timestep,50,Normal
Sonoran Basin and Range,Fire: Low Severity,Fire,2009,2009,0,Iteration and Timestep,NA,NA
Sonoran Basin and Range,Fire: Low Severity,Fire,2010,2010,100,Iteration and Timestep,50,Normal
Sonoran Basin and Range,Fire: Low Severity,Fire,2011,2011,1800,Iteration and Timestep,900,Normal
Sonoran Basin and Range,Fire: Low Severity,Fire,2012,2012,5100,Iteration and Timestep,2550,Normal
Sonoran Basin and Range,Fire: Low Severity,Fire,2013,2013,1600,Iteration and Timestep,800,Normal
Sonoran Basin and Range,Fire: Low Severity,Fire,2014,2014,0,Iteration and Timestep,NA,NA
Sonoran Basin and Range,Fire: Low Severity,Fire,2015,2015,100,Iteration and Timestep,50,Normal
Sonoran Basin and Range,Fire: Low Severity,Fire,2016,2016,300,Iteration and Timestep,150,Normal
Southern California/Northern Baja Coast,Fire: Low Severity,Fire,1999,1999,3300,Iteration and Timestep,1650,Normal
Southern California/Northern Baja Coast,Fire: Low Severity,Fire,2000,2000,1600,Iteration and Timestep,800,Normal
Southern California/Northern Baja Coast,Fire: Low Severity,Fire,2001,2001,4800,Iteration and Timestep,2400,Normal
Southern California/Northern Baja Coast,Fire: Low Severity,Fire,2002,2002,3700,Iteration and Timestep,1850,Normal
Southern California/Northern Baja Coast,Fire: Low Severity,Fire,2003,2003,50400,Iteration and Timestep,25200,Normal
Southern California/Northern Baja Coast,Fire: Low Severity,Fire,2004,2004,10800,Iteration and Timestep,5400,Normal
Southern California/Northern Baja Coast,Fire: Low Severity,Fire,2005,2005,6700,Iteration and Timestep,3350,Normal
Southern California/Northern Baja Coast,Fire: Low Severity,Fire,2006,2006,11800,Iteration and Timestep,5900,Normal
Southern California/Northern Baja Coast,Fire: Low Severity,Fire,2007,2007,49900,Iteration and Timestep,24950,Normal
Southern California/Northern Baja Coast,Fire: Low Severity,Fire,2008,2008,19700,Iteration and Timestep,9850,Normal
Southern California/Northern Baja Coast,Fire: Low Severity,Fire,2009,2009,7500,Iteration and Timestep,3750,Normal
Southern California/Northern Baja Coast,Fire: Low Severity,Fire,2010,2010,1900,Iteration and Timestep,950,Normal
Southern California/Northern Baja Coast,Fire: Low Severity,Fire,2011,2011,1300,Iteration and Timestep,650,Normal
Southern California/Northern Baja Coast,Fire: Low Severity,Fire,2012,2012,1700,Iteration and Timestep,850,Normal
Southern California/Northern Baja Coast,Fire: Low Severity,Fire,2013,2013,6000,Iteration and Timestep,3000,Normal
Southern California/Northern Baja Coast,Fire: Low Severity,Fire,2014,2014,5400,Iteration and Timestep,2700,Normal
Southern California/Northern Baja Coast,Fire: Low Severity,Fire,2015,2015,2700,Iteration and Timestep,1350,Normal
Southern California/Northern Baja Coast,Fire: Low Severity,Fire,2016,2016,4800,Iteration and Timestep,2400,Normal
