StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionFrequency,ValueDistributionSD
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,2003,2003,800,Iteration and Timestep,400
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,2004,2004,2100,Iteration and Timestep,1050
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,2005,2005,1100,Iteration and Timestep,550
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,2006,2006,7000,Iteration and Timestep,3500
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,2007,2007,3500,Iteration and Timestep,1750
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,2008,2008,1000,Iteration and Timestep,500
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,2009,2009,400,Iteration and Timestep,200
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,2010,2010,100,Iteration and Timestep,50
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,2011,2011,500,Iteration and Timestep,250
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,2012,2012,3000,Iteration and Timestep,1500
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,2013,2013,2700,Iteration and Timestep,1350
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,2014,2014,7200,Iteration and Timestep,3600
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,2015,2015,31500,Iteration and Timestep,15750
Central California Foothills and Coastal Mountains,Insect: Medium Severity,Insect,2016,2016,39400,Iteration and Timestep,19700
Central California Valley,Insect: Medium Severity,Insect,1998,1998,0,Iteration and Timestep,0
Central California Valley,Insect: Medium Severity,Insect,1999,1999,0,Iteration and Timestep,0
Central California Valley,Insect: Medium Severity,Insect,2000,2000,0,Iteration and Timestep,0
Central California Valley,Insect: Medium Severity,Insect,2001,2001,0,Iteration and Timestep,0
Central California Valley,Insect: Medium Severity,Insect,2002,2002,0,Iteration and Timestep,0
Central California Valley,Insect: Medium Severity,Insect,2003,2003,0,Iteration and Timestep,0
Central California Valley,Insect: Medium Severity,Insect,2004,2004,0,Iteration and Timestep,0
Central California Valley,Insect: Medium Severity,Insect,2005,2005,0,Iteration and Timestep,0
Central California Valley,Insect: Medium Severity,Insect,2006,2006,0,Iteration and Timestep,0
Central California Valley,Insect: Medium Severity,Insect,2007,2007,0,Iteration and Timestep,0
Central California Valley,Insect: Medium Severity,Insect,2008,2008,0,Iteration and Timestep,0
Central California Valley,Insect: Medium Severity,Insect,2009,2009,0,Iteration and Timestep,0
Central California Valley,Insect: Medium Severity,Insect,2010,2010,0,Iteration and Timestep,0
Central California Valley,Insect: Medium Severity,Insect,2011,2011,0,Iteration and Timestep,0
Central California Valley,Insect: Medium Severity,Insect,2012,2012,0,Iteration and Timestep,0
Central California Valley,Insect: Medium Severity,Insect,2013,2013,0,Iteration and Timestep,0
Central California Valley,Insect: Medium Severity,Insect,2014,2014,0,Iteration and Timestep,0
Central California Valley,Insect: Medium Severity,Insect,2015,2015,0,Iteration and Timestep,0
Central California Valley,Insect: Medium Severity,Insect,2016,2016,0,Iteration and Timestep,0
Southern California Mountains,Insect: Medium Severity,Insect,1998,1998,0,Iteration and Timestep,0
Southern California Mountains,Insect: Medium Severity,Insect,1999,1999,0,Iteration and Timestep,0
Southern California Mountains,Insect: Medium Severity,Insect,2000,2000,1100,Iteration and Timestep,550
Southern California Mountains,Insect: Medium Severity,Insect,2001,2001,0,Iteration and Timestep,0
Southern California Mountains,Insect: Medium Severity,Insect,2002,2002,6600,Iteration and Timestep,3300
Southern California Mountains,Insect: Medium Severity,Insect,2003,2003,159400,Iteration and Timestep,79700
Southern California Mountains,Insect: Medium Severity,Insect,2004,2004,13000,Iteration and Timestep,6500
Southern California Mountains,Insect: Medium Severity,Insect,2005,2005,800,Iteration and Timestep,400
Southern California Mountains,Insect: Medium Severity,Insect,2006,2006,3800,Iteration and Timestep,1900
Southern California Mountains,Insect: Medium Severity,Insect,2007,2007,200,Iteration and Timestep,100
Southern California Mountains,Insect: Medium Severity,Insect,2008,2008,100,Iteration and Timestep,50
Southern California Mountains,Insect: Medium Severity,Insect,2009,2009,700,Iteration and Timestep,350
Southern California Mountains,Insect: Medium Severity,Insect,2010,2010,1000,Iteration and Timestep,500
Southern California Mountains,Insect: Medium Severity,Insect,2011,2011,500,Iteration and Timestep,250
Southern California Mountains,Insect: Medium Severity,Insect,2012,2012,300,Iteration and Timestep,150
Southern California Mountains,Insect: Medium Severity,Insect,2013,2013,400,Iteration and Timestep,200
Southern California Mountains,Insect: Medium Severity,Insect,2014,2014,8200,Iteration and Timestep,4100
Southern California Mountains,Insect: Medium Severity,Insect,2015,2015,18200,Iteration and Timestep,9100
Southern California Mountains,Insect: Medium Severity,Insect,2016,2016,7000,Iteration and Timestep,3500
Eastern Cascades Slopes and Foothills,Insect: Medium Severity,Insect,1998,1998,0,Iteration and Timestep,0
Eastern Cascades Slopes and Foothills,Insect: Medium Severity,Insect,1999,1999,0,Iteration and Timestep,0
Eastern Cascades Slopes and Foothills,Insect: Medium Severity,Insect,2000,2000,0,Iteration and Timestep,0
Eastern Cascades Slopes and Foothills,Insect: Medium Severity,Insect,2001,2001,100,Iteration and Timestep,50
Eastern Cascades Slopes and Foothills,Insect: Medium Severity,Insect,2002,2002,4600,Iteration and Timestep,2300
Eastern Cascades Slopes and Foothills,Insect: Medium Severity,Insect,2003,2003,26600,Iteration and Timestep,13300
Eastern Cascades Slopes and Foothills,Insect: Medium Severity,Insect,2004,2004,20500,Iteration and Timestep,10250
Eastern Cascades Slopes and Foothills,Insect: Medium Severity,Insect,2005,2005,2100,Iteration and Timestep,1050
Eastern Cascades Slopes and Foothills,Insect: Medium Severity,Insect,2006,2006,4300,Iteration and Timestep,2150
Eastern Cascades Slopes and Foothills,Insect: Medium Severity,Insect,2007,2007,3000,Iteration and Timestep,1500
Eastern Cascades Slopes and Foothills,Insect: Medium Severity,Insect,2008,2008,1000,Iteration and Timestep,500
Eastern Cascades Slopes and Foothills,Insect: Medium Severity,Insect,2009,2009,1300,Iteration and Timestep,650
Eastern Cascades Slopes and Foothills,Insect: Medium Severity,Insect,2010,2010,7700,Iteration and Timestep,3850
Eastern Cascades Slopes and Foothills,Insect: Medium Severity,Insect,2011,2011,5900,Iteration and Timestep,2950
Eastern Cascades Slopes and Foothills,Insect: Medium Severity,Insect,2012,2012,6500,Iteration and Timestep,3250
Eastern Cascades Slopes and Foothills,Insect: Medium Severity,Insect,2013,2013,5200,Iteration and Timestep,2600
Eastern Cascades Slopes and Foothills,Insect: Medium Severity,Insect,2014,2014,8100,Iteration and Timestep,4050
Eastern Cascades Slopes and Foothills,Insect: Medium Severity,Insect,2015,2015,21600,Iteration and Timestep,10800
