SecondaryStratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value
San Bernardino,Harvest: Forest Selection,Forest Harvest,1999,2016,0.43548387096774194
San Diego,Harvest: Forest Clearcut,Forest Harvest,1999,2016,0.9387755102040816
San Diego,Harvest: Forest Selection,Forest Harvest,1999,2016,0.06122448979591837
San Francisco,Harvest: Forest Clearcut,Forest Harvest,1999,2016,0
San Francisco,Harvest: Forest Selection,Forest Harvest,1999,2016,0
San Joaquin,Harvest: Forest Clearcut,Forest Harvest,1999,2016,0
San Joaquin,Harvest: Forest Selection,Forest Harvest,1999,2016,0
San Luis Obispo,Harvest: Forest Clearcut,Forest Harvest,1999,2016,1
San Luis Obispo,Harvest: Forest Selection,Forest Harvest,1999,2016,0
San Mateo,Harvest: Forest Clearcut,Forest Harvest,1999,2016,0.09523809523809523
San Mateo,Harvest: Forest Selection,Forest Harvest,1999,2016,0.9047619047619048
Santa Barbara,Harvest: Forest Clearcut,Forest Harvest,1999,2016,1
Santa Barbara,Harvest: Forest Selection,Forest Harvest,1999,2016,0
Santa Clara,Harvest: Forest Clearcut,Forest Harvest,1999,2016,0.21428571428571427
Santa Clara,Harvest: Forest Selection,Forest Harvest,1999,2016,0.7857142857142857
Santa Cruz,Harvest: Forest Clearcut,Forest Harvest,1999,2016,0.03278688524590164
Santa Cruz,Harvest: Forest Selection,Forest Harvest,1999,2016,0.9672131147540984
Shasta,Harvest: Forest Clearcut,Forest Harvest,1999,2016,0.4684684684684685
Shasta,Harvest: Forest Selection,Forest Harvest,1999,2016,0.5315315315315315
Sierra Valley,Harvest: Forest Clearcut,Forest Harvest,1999,2016,0.27860696517412936
Sierra Valley,Harvest: Forest Selection,Forest Harvest,1999,2016,0.7213930348258707
Siskiyou,Harvest: Forest Clearcut,Forest Harvest,1999,2016,0.29222520107238603
Siskiyou,Harvest: Forest Selection,Forest Harvest,1999,2016,0.7077747989276139
Solano,Harvest: Forest Clearcut,Forest Harvest,1999,2016,1
