StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionFrequency,ValueDistributionSD
Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,2006,2006,900,Iteration and Timestep,450
Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,2007,2007,3400,Iteration and Timestep,1700
Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,2008,2008,1200,Iteration and Timestep,600
Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,2009,2009,200,Iteration and Timestep,100
Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,2010,2010,0,Iteration and Timestep,0
Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,2011,2011,0,Iteration and Timestep,0
Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,2012,2012,1900,Iteration and Timestep,950
Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,2013,2013,1600,Iteration and Timestep,800
Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,2014,2014,4300,Iteration and Timestep,2150
Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,2015,2015,18800,Iteration and Timestep,9400
Central California Foothills and Coastal Mountains,Insect: High Severity,Insect,2016,2016,33200,Iteration and Timestep,16600
Central California Valley,Insect: High Severity,Insect,1998,1998,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,1999,1999,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2000,2000,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2001,2001,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2002,2002,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2003,2003,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2004,2004,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2005,2005,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2006,2006,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2007,2007,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2008,2008,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2009,2009,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2010,2010,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2011,2011,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2012,2012,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2013,2013,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2014,2014,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2015,2015,0,Iteration and Timestep,0
Central California Valley,Insect: High Severity,Insect,2016,2016,100,Iteration and Timestep,50
Southern California Mountains,Insect: High Severity,Insect,1998,1998,0,Iteration and Timestep,0
Southern California Mountains,Insect: High Severity,Insect,1999,1999,0,Iteration and Timestep,0
Southern California Mountains,Insect: High Severity,Insect,2000,2000,100,Iteration and Timestep,50
Southern California Mountains,Insect: High Severity,Insect,2001,2001,0,Iteration and Timestep,0
Southern California Mountains,Insect: High Severity,Insect,2002,2002,200,Iteration and Timestep,100
Southern California Mountains,Insect: High Severity,Insect,2003,2003,22200,Iteration and Timestep,11100
Southern California Mountains,Insect: High Severity,Insect,2004,2004,28200,Iteration and Timestep,14100
Southern California Mountains,Insect: High Severity,Insect,2005,2005,700,Iteration and Timestep,350
Southern California Mountains,Insect: High Severity,Insect,2006,2006,17100,Iteration and Timestep,8550
Southern California Mountains,Insect: High Severity,Insect,2007,2007,400,Iteration and Timestep,200
Southern California Mountains,Insect: High Severity,Insect,2008,2008,100,Iteration and Timestep,50
Southern California Mountains,Insect: High Severity,Insect,2009,2009,0,Iteration and Timestep,0
Southern California Mountains,Insect: High Severity,Insect,2010,2010,600,Iteration and Timestep,300
Southern California Mountains,Insect: High Severity,Insect,2011,2011,200,Iteration and Timestep,100
Southern California Mountains,Insect: High Severity,Insect,2012,2012,0,Iteration and Timestep,0
Southern California Mountains,Insect: High Severity,Insect,2013,2013,0,Iteration and Timestep,0
Southern California Mountains,Insect: High Severity,Insect,2014,2014,2100,Iteration and Timestep,1050
Southern California Mountains,Insect: High Severity,Insect,2015,2015,12200,Iteration and Timestep,6100
Southern California Mountains,Insect: High Severity,Insect,2016,2016,3100,Iteration and Timestep,1550
Eastern Cascades Slopes and Foothills,Insect: High Severity,Insect,1998,1998,0,Iteration and Timestep,0
Eastern Cascades Slopes and Foothills,Insect: High Severity,Insect,1999,1999,0,Iteration and Timestep,0
Eastern Cascades Slopes and Foothills,Insect: High Severity,Insect,2000,2000,400,Iteration and Timestep,200
Eastern Cascades Slopes and Foothills,Insect: High Severity,Insect,2001,2001,14000,Iteration and Timestep,7000
Eastern Cascades Slopes and Foothills,Insect: High Severity,Insect,2002,2002,400,Iteration and Timestep,200
Eastern Cascades Slopes and Foothills,Insect: High Severity,Insect,2003,2003,400,Iteration and Timestep,200
Eastern Cascades Slopes and Foothills,Insect: High Severity,Insect,2004,2004,1900,Iteration and Timestep,950
Eastern Cascades Slopes and Foothills,Insect: High Severity,Insect,2005,2005,0,Iteration and Timestep,0
Eastern Cascades Slopes and Foothills,Insect: High Severity,Insect,2006,2006,600,Iteration and Timestep,300
Eastern Cascades Slopes and Foothills,Insect: High Severity,Insect,2007,2007,3500,Iteration and Timestep,1750
Eastern Cascades Slopes and Foothills,Insect: High Severity,Insect,2008,2008,1700,Iteration and Timestep,850
Eastern Cascades Slopes and Foothills,Insect: High Severity,Insect,2009,2009,1200,Iteration and Timestep,600
Eastern Cascades Slopes and Foothills,Insect: High Severity,Insect,2010,2010,4400,Iteration and Timestep,2200
Eastern Cascades Slopes and Foothills,Insect: High Severity,Insect,2011,2011,1700,Iteration and Timestep,850
Eastern Cascades Slopes and Foothills,Insect: High Severity,Insect,2012,2012,1600,Iteration and Timestep,800
Eastern Cascades Slopes and Foothills,Insect: High Severity,Insect,2013,2013,1000,Iteration and Timestep,500
Eastern Cascades Slopes and Foothills,Insect: High Severity,Insect,2014,2014,1700,Iteration and Timestep,850
Eastern Cascades Slopes and Foothills,Insect: High Severity,Insect,2015,2015,11600,Iteration and Timestep,5800
Eastern Cascades Slopes and Foothills,Insect: High Severity,Insect,2016,2016,22600,Iteration and Timestep,11300
Central Basin and Range,Insect: High Severity,Insect,1998,1998,0,Iteration and Timestep,0
Central Basin and Range,Insect: High Severity,Insect,1999,1999,0,Iteration and Timestep,0
Central Basin and Range,Insect: High Severity,Insect,2000,2000,0,Iteration and Timestep,0
Central Basin and Range,Insect: High Severity,Insect,2001,2001,0,Iteration and Timestep,0
Central Basin and Range,Insect: High Severity,Insect,2002,2002,0,Iteration and Timestep,0
Central Basin and Range,Insect: High Severity,Insect,2003,2003,8000,Iteration and Timestep,4000
Central Basin and Range,Insect: High Severity,Insect,2004,2004,1200,Iteration and Timestep,600
Central Basin and Range,Insect: High Severity,Insect,2005,2005,0,Iteration and Timestep,0
Central Basin and Range,Insect: High Severity,Insect,2006,2006,0,Iteration and Timestep,0
Central Basin and Range,Insect: High Severity,Insect,2007,2007,100,Iteration and Timestep,50
Central Basin and Range,Insect: High Severity,Insect,2008,2008,0,Iteration and Timestep,0
Central Basin and Range,Insect: High Severity,Insect,2009,2009,200,Iteration and Timestep,100
Central Basin and Range,Insect: High Severity,Insect,2010,2010,0,Iteration and Timestep,0
Central Basin and Range,Insect: High Severity,Insect,2011,2011,0,Iteration and Timestep,0
Central Basin and Range,Insect: High Severity,Insect,2012,2012,0,Iteration and Timestep,0
Central Basin and Range,Insect: High Severity,Insect,2013,2013,0,Iteration and Timestep,0
Central Basin and Range,Insect: High Severity,Insect,2014,2014,100,Iteration and Timestep,50
Central Basin and Range,Insect: High Severity,Insect,2015,2015,0,Iteration and Timestep,0
Central Basin and Range,Insect: High Severity,Insect,2016,2016,1400,Iteration and Timestep,700
Mojave Basin and Range,Insect: High Severity,Insect,1998,1998,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: High Severity,Insect,1999,1999,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: High Severity,Insect,2000,2000,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: High Severity,Insect,2001,2001,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: High Severity,Insect,2002,2002,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: High Severity,Insect,2003,2003,3100,Iteration and Timestep,1550
Mojave Basin and Range,Insect: High Severity,Insect,2004,2004,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: High Severity,Insect,2005,2005,100,Iteration and Timestep,50
Mojave Basin and Range,Insect: High Severity,Insect,2006,2006,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: High Severity,Insect,2007,2007,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: High Severity,Insect,2008,2008,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: High Severity,Insect,2009,2009,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: High Severity,Insect,2010,2010,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: High Severity,Insect,2011,2011,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: High Severity,Insect,2012,2012,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: High Severity,Insect,2013,2013,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: High Severity,Insect,2014,2014,0,Iteration and Timestep,0
Mojave Basin and Range,Insect: High Severity,Insect,2015,2015,100,Iteration and Timestep,50
Mojave Basin and Range,Insect: High Severity,Insect,2016,2016,0,Iteration and Timestep,0
Klamath Mountains/California High North Coast Range,Insect: High Severity,Insect,1998,1998,2700,Iteration and Timestep,1350
Klamath Mountains/California High North Coast Range,Insect: High Severity,Insect,1999,1999,200,Iteration and Timestep,100
Klamath Mountains/California High North Coast Range,Insect: High Severity,Insect,2000,2000,1000,Iteration and Timestep,500
Klamath Mountains/California High North Coast Range,Insect: High Severity,Insect,2001,2001,4600,Iteration and Timestep,2300
Klamath Mountains/California High North Coast Range,Insect: High Severity,Insect,2002,2002,7200,Iteration and Timestep,3600
Klamath Mountains/California High North Coast Range,Insect: High Severity,Insect,2003,2003,31400,Iteration and Timestep,15700
Klamath Mountains/California High North Coast Range,Insect: High Severity,Insect,2004,2004,5100,Iteration and Timestep,2550
Klamath Mountains/California High North Coast Range,Insect: High Severity,Insect,2005,2005,1200,Iteration and Timestep,600
Klamath Mountains/California High North Coast Range,Insect: High Severity,Insect,2006,2006,19000,Iteration and Timestep,9500
Klamath Mountains/California High North Coast Range,Insect: High Severity,Insect,2007,2007,53000,Iteration and Timestep,26500
Klamath Mountains/California High North Coast Range,Insect: High Severity,Insect,2008,2008,1100,Iteration and Timestep,550
Klamath Mountains/California High North Coast Range,Insect: High Severity,Insect,2009,2009,1000,Iteration and Timestep,500
Klamath Mountains/California High North Coast Range,Insect: High Severity,Insect,2010,2010,6400,Iteration and Timestep,3200
Klamath Mountains/California High North Coast Range,Insect: High Severity,Insect,2011,2011,600,Iteration and Timestep,300
Klamath Mountains/California High North Coast Range,Insect: High Severity,Insect,2012,2012,900,Iteration and Timestep,450
Klamath Mountains/California High North Coast Range,Insect: High Severity,Insect,2013,2013,300,Iteration and Timestep,150
Klamath Mountains/California High North Coast Range,Insect: High Severity,Insect,2014,2014,800,Iteration and Timestep,400
Klamath Mountains/California High North Coast Range,Insect: High Severity,Insect,2015,2015,4700,Iteration and Timestep,2350
