Iteration,Timestep,StratumIDSource,StateClassIDSource,StratumIDDest,StateClassIDDest,SecondaryStratumID,TertiaryStratumID,TransitionTypeID,Probability,Proportion,AgeMin,AgeMax,AgeRelative,AgeReset,TSTMin,TSTMax,TSTRelative
,,,Forest: Exotic Softwoods Group,,Forest: Exotic Softwoods Group,,,Management: Forest Selection 85%,1,,,,,,,,
,,,Forest: Oak/Pine Group,,Forest: Oak/Pine Group,,,Management: Forest Selection 85%,1,,,,,,,,
,,,Forest: Oak/Hickory Group,,Forest: Oak/Hickory Group,,,Management: Forest Selection 85%,1,,,,,,,,
,,,Forest: Oak/Gum/Cypress Group,,Forest: Oak/Gum/Cypress Group,,,Management: Forest Selection 85%,1,,,,,,,,
,,,Forest: Elm/Ash/Cottonwood Group,,Forest: Elm/Ash/Cottonwood Group,,,Management: Forest Selection 85%,1,,,,,,,,
,,,Forest: Maple/Beech/Birch Group,,Forest: Maple/Beech/Birch Group,,,Management: Forest Selection 85%,1,,,,,,,,
,,,Forest: Aspen/Birch Group,,Forest: Aspen/Birch Group,,,Management: Forest Selection 85%,1,,,,,,,,
,,,Forest: Alder/Maple Group,,Forest: Alder/Maple Group,,,Management: Forest Selection 85%,1,,,,,,,,
,,,Forest: Western Oak Group,,Forest: Western Oak Group,,,Management: Forest Selection 85%,1,,,,,,,,
,,,Forest: Tanoak/Laurel Group,,Forest: Tanoak/Laurel Group,,,Management: Forest Selection 85%,1,,,,,,,,
,,,Forest: Other Western Hardwoods Group,,Forest: Other Western Hardwoods Group,,,Management: Forest Selection 85%,1,,,,,,,,
,,,Forest: Tropical Hardwoods Group,,Forest: Tropical Hardwoods Group,,,Management: Forest Selection 85%,1,,,,,,,,
,,,Forest: Exotic Hardwoods Group,,Forest: Exotic Hardwoods Group,,,Management: Forest Selection 85%,1,,,,,,,,
,,,Forest: White/Red/Jack Pine Group,,Forest: White/Red/Jack Pine Group,,,Management: Forest Selection 20%,1,,,,,FALSE,,,
,,,Forest: Spruce/Fir Group,,Forest: Spruce/Fir Group,,,Management: Forest Selection 20%,1,,,,,FALSE,,,
,,,Forest: Longleaf/Slash Pine Group,,Forest: Longleaf/Slash Pine Group,,,Management: Forest Selection 20%,1,,,,,FALSE,,,
,,,Forest: Loblolly/Shortleaf Pine Group,,Forest: Loblolly/Shortleaf Pine Group,,,Management: Forest Selection 20%,1,,,,,FALSE,,,
,,,Forest: Pinyon/Juniper Group,,Forest: Pinyon/Juniper Group,,,Management: Forest Selection 20%,1,,,,,FALSE,,,
,,,Forest: Douglas-fir Group,,Forest: Douglas-fir Group,,,Management: Forest Selection 20%,1,,,,,FALSE,,,
,,,Forest: Ponderosa Pine Group,,Forest: Ponderosa Pine Group,,,Management: Forest Selection 20%,1,,,,,FALSE,,,
,,,Forest: Western White Pine Group,,Forest: Western White Pine Group,,,Management: Forest Selection 20%,1,,,,,FALSE,,,
,,,Forest: Fir/Spruce/Mountain Hemlock Group,,Forest: Fir/Spruce/Mountain Hemlock Group,,,Management: Forest Selection 20%,1,,,,,FALSE,,,
,,,Forest: Lodgepole Pine Group,,Forest: Lodgepole Pine Group,,,Management: Forest Selection 20%,1,,,,,FALSE,,,
,,,Forest: Hemlock/Sitka Spruce Group,,Forest: Hemlock/Sitka Spruce Group,,,Management: Forest Selection 20%,1,,,,,FALSE,,,
