Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,TransitionGroupID,AttributeValue,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,,,,,Ag Contraction: Cropland to Shrubland: Desert Scrub [Type],0.88,1,,,,,
,,,,,Ag Contraction: Cropland to Shrubland: Pacific Coastal Shrub [Type],0.12,0,,,,,
,,,,,Ag Contraction: Cropland to Shrubland: Pacific Coastal Shrub [Type],0.88,1,,,,,
,,,,,Ag Contraction: Cropland to Wetland: Herbaceous [Type],0.12,0,,,,,
,,,,,Ag Contraction: Cropland to Wetland: Herbaceous [Type],0.88,1,,,,,
,,,,,Ag Contraction: Cropland to Wetland: Woody [Type],0.12,0,,,,,
,,,,,Ag Contraction: Cropland to Wetland: Woody [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Forest: Alder/Maple Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Forest: Alder/Maple Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Forest: Aspen/Birch Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Forest: Aspen/Birch Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Forest: California Mixed Conifer Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Forest: California Mixed Conifer Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Forest: Douglas-fir Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Forest: Douglas-fir Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Forest: Elm/Ash/Cottonwood Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Forest: Elm/Ash/Cottonwood Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Forest: Exotic Hardwoods Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Forest: Exotic Hardwoods Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Forest: Exotic Softwoods Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Forest: Exotic Softwoods Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Forest: Fir/Spruce/Mountain Hemlock Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Forest: Fir/Spruce/Mountain Hemlock Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Forest: Hemlock/Sitka Spruce Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Forest: Hemlock/Sitka Spruce Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Forest: Loblolly/Shortleaf Pine Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Forest: Loblolly/Shortleaf Pine Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Forest: Lodgepole Pine Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Forest: Lodgepole Pine Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Forest: Longleaf/Slash Pine Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Forest: Longleaf/Slash Pine Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Forest: Maple/Beech/Birch Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Forest: Maple/Beech/Birch Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Forest: Oak/Gum/Cypress Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Forest: Oak/Gum/Cypress Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Forest: Oak/Hickory Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Forest: Oak/Hickory Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Forest: Oak/Pine Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Forest: Oak/Pine Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Forest: Other Western Hardwoods Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Forest: Other Western Hardwoods Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Forest: Other Western Softwood Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Forest: Other Western Softwood Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Forest: Pinyon/Juniper Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Forest: Pinyon/Juniper Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Forest: Ponderosa Pine Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Forest: Ponderosa Pine Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Forest: Redwood Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Forest: Redwood Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Forest: Spruce/Fir Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Forest: Spruce/Fir Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Forest: Tanoak/Laurel Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Forest: Tanoak/Laurel Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Forest: Tropical Hardwoods Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Forest: Tropical Hardwoods Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Forest: Western Larch Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Forest: Western Larch Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Forest: Western Oak Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Forest: Western Oak Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Forest: Western White Pine Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Forest: Western White Pine Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Forest: White/Red/Jack Pine Group [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Forest: White/Red/Jack Pine Group [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Grassland: All [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Grassland: All [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Shrubland: Chaparral [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Shrubland: Chaparral [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Shrubland: Desert Scrub [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Shrubland: Desert Scrub [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Shrubland: Pacific Coastal Shrub [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Shrubland: Pacific Coastal Shrub [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Wetland: Herbaceous [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Wetland: Herbaceous [Type],0.88,1,,,,,
,,,,,Ag Contraction: Pasture to Wetland: Woody [Type],0.12,0,,,,,
,,,,,Ag Contraction: Pasture to Wetland: Woody [Type],0.88,1,,,,,
,,,,,Ag Expansion: Cropland [Type],0.12,0,,,,,
,,,,,Ag Expansion: Cropland [Type],0.88,1,,,,,
,,,,,Ag Expansion: Orchard [Type],0.12,0,,,,,
,,,,,Ag Expansion: Orchard [Type],0.88,1,,,,,
,,,,,Ag Expansion: Pasture [Type],0.12,0,,,,,
,,,,,Ag Expansion: Pasture [Type],0.88,1,,,,,
,,,,,Ag Expansion: Vineyard [Type],0.12,0,,,,,
,,,,,Ag Expansion: Vineyard [Type],0.88,1,,,,,
,,,,,Intensification: Low to High [Type],0.12,0,,,,,
,,,,,Intensification: Low to High [Type],0.88,1,,,,,
,,,,,Intensification: Low to Medium [Type],0.12,0,,,,,
,,,,,Intensification: Low to Medium [Type],0.88,1,,,,,
,,,,,Intensification: Medium to High [Type],0.12,0,,,,,
,,,,,Intensification: Medium to High [Type],0.88,1,,,,,
,,,,,Intensification: Open to High [Type],0.12,0,,,,,
,,,,,Intensification: Open to High [Type],0.88,1,,,,,
,,,,,Intensification: Open to Low [Type],0.12,0,,,,,
,,,,,Intensification: Open to Low [Type],0.88,1,,,,,
,,,,,Intensification: Open to Medium [Type],0.12,0,,,,,
,,,,,Intensification: Open to Medium [Type],0.88,1,,,,,
,,,,,Urbanization: High [Type],0.12,0,,,,,
,,,,,Urbanization: High [Type],0.88,1,,,,,
,,,,,Urbanization: Low [Type],0.12,0,,,,,
,,,,,Urbanization: Low [Type],0.88,1,,,,,
,,,,,Urbanization: Medium [Type],0.12,0,,,,,
,,,,,Urbanization: Medium [Type],0.88,1,,,,,
,,,,,Urbanization: Open [Type],0.12,0,,,,,
,,,,,Urbanization: Open [Type],0.88,1,,,,,
